city,distance,through
KAB. ACEH BARAT,1077.8716478443337,"[104, 107, 62, 0]"
KAB. ACEH BARAT DAYA,1197.563444477502,"[104, 107, 62, 0, 1]"
KAB. ACEH BESAR,1215.6114392704087,"[104, 107, 72, 5, 4, 3, 2]"
KAB. ACEH JAYA,1139.30796593331,"[104, 107, 72, 5, 4, 3]"
KAB. ACEH SELATAN,888.8427841736717,"[104, 107, 72, 5, 4]"
KAB. ACEH SINGKIL,768.1720592330903,"[104, 107, 72, 5]"
KAB. ACEH TAMIANG,977.05582042374,"[104, 107, 72, 5, 6]"
KAB. ACEH TENGAH,1017.1910965958143,"[104, 107, 72, 7]"
KAB. ACEH TENGGARA,956.8717471361563,"[104, 107, 72, 73, 67, 8]"
KAB. ACEH TIMUR,1082.133829717739,"[104, 10, 9]"
KAB. ACEH UTARA,1015.5436956292514,"[104, 10]"
KAB. BENER MERIAH,1054.6648973287522,"[104, 10, 11]"
KAB. BIREUEN,1077.9557303008253,"[104, 107, 44, 12]"
KAB. GAYO LUES,992.8223715135429,"[104, 107, 69, 70, 13]"
KAB. NAGAN RAYA,1089.9172085985615,"[104, 107, 69, 70, 13, 14]"
KAB. PIDIE,1152.4325427019467,"[104, 107, 26, 16, 15]"
KAB. PIDIE JAYA,1122.9011460693662,"[104, 107, 26, 16]"
KAB. SIMEULUE,1111.3349969203152,"[104, 107, 54, 55, 17]"
KOTA BANDA ACEH,1307.9491471538477,"[104, 107, 72, 5, 6, 18]"
KOTA LANGSA,1190.890953883476,"[104, 107, 44, 45, 20, 19]"
KOTA LHOKSEUMAWE,1069.4197324030993,"[104, 107, 44, 45, 20]"
KOTA SABANG,1267.3882020934623,"[104, 107, 72, 5, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,899.9322613789665,"[104, 107, 69, 83, 22]"
KAB. ASAHAN,1046.5048209174727,"[104, 107, 26, 25, 24, 23]"
KAB. BATUBARA,1004.1722431171186,"[104, 107, 26, 25, 24]"
KAB. DAIRI,862.8120717037853,"[104, 107, 26, 25]"
KAB. DELI SERDANG,784.3816795562236,"[104, 107, 26]"
KAB. HUMBANG HASUNDUTAN,887.913294085355,"[104, 107, 69, 70, 30, 29, 27]"
KAB. KARO,857.4558926695954,"[104, 107, 54, 55, 28]"
KAB. LABUHANBATU,709.6097657951109,"[104, 107, 69, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,658.0042003393712,"[104, 107, 69, 70, 30]"
KAB. LABUHANBATU UTARA,723.378396026166,"[104, 107, 69, 70, 30, 31]"
KAB. LANGKAT,888.7866482638524,"[104, 107, 44, 45, 32]"
KAB. MANDAILING NATAL,828.525088023142,"[104, 107, 88, 33]"
KAB. NIAS,700.0818968106852,"[104, 107, 62, 34]"
KAB. NIAS BARAT,730.2080173095312,"[104, 107, 62, 34, 35]"
KAB. NIAS SELATAN,781.445765449396,"[104, 107, 62, 34, 35, 36]"
KAB. NIAS UTARA,864.4853132327397,"[104, 107, 62, 34, 35, 36, 37]"
KAB. PADANG LAWAS,851.5416803045374,"[104, 107, 69, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,906.1111653070132,"[104, 107, 69, 70, 30, 29, 38, 39]"
KAB. PAKPAK BHARAT,790.0106030543296,"[104, 107, 72, 41, 40]"
KAB. SAMOSIR,725.3409908843689,"[104, 107, 72, 41]"
KAB. SERDANG BEDAGAI,792.341530720751,"[104, 107, 44, 43, 42]"
KAB. SIMALUNGUN,745.4554651079638,"[104, 107, 44, 43]"
KAB. TAPANULI SELATAN,589.7047313569304,"[104, 107, 44]"
KAB. TAPANULI TENGAH,660.3489430835541,"[104, 107, 44, 45]"
KAB. TAPANULI UTARA,709.3433272350685,"[104, 107, 44, 45, 46]"
KAB. TOBA SAMOSIR,749.017199451773,"[104, 107, 44, 45, 46, 47]"
KOTA BINJAI,864.040415138064,"[104, 107, 44, 43, 52, 48]"
KOTA GUNUNGSITOLI,763.5792726889748,"[104, 107, 62, 34, 35, 49]"
KOTA MEDAN,955.0035878631011,"[104, 107, 72, 73, 74, 51, 50]"
KOTA PADANGSIDEMPUAN,698.9661603804489,"[104, 107, 72, 73, 74, 51]"
KOTA PEMATANGSIANTAR,768.8371512488602,"[104, 107, 44, 43, 52]"
KOTA SIBOLGA,850.8272941069565,"[104, 107, 54, 53]"
KOTA TANJUNGBALAI,673.7291528736426,"[104, 107, 54]"
KOTA TEBING TINGGI,755.4659005452008,"[104, 107, 54, 55]"
KAB. AGAM,768.8440322715687,"[104, 107, 108, 109, 56]"
KAB. DHARMASRAYA,779.0017519273395,"[104, 107, 72, 73, 74, 80, 81, 57]"
KAB. KEPULAUAN MENTAWAI,616.582334977521,"[104, 107, 72, 73, 58]"
KAB. LIMA PULUH KOTA,569.6263971341145,"[104, 107, 62, 59]"
KAB. PADANG PARIAMAN,614.712215485785,"[104, 107, 62, 61, 60]"
KAB. PASAMAN,528.3250407047094,"[104, 107, 62, 61]"
KAB. PASAMAN BARAT,468.7027483800208,"[104, 107, 62]"
KAB. PESISIR SELATAN,516.014455360178,"[104, 107, 72, 63]"
KAB. SIJUNJUNG,521.3190094084632,"[104, 103, 65, 64]"
KAB. SOLOK,482.394715624157,"[104, 103, 65]"
