city,distance,through
KAB. ACEH BARAT,1691.3891351176878,"[161, 129, 66, 67, 73, 74, 51, 0]"
KAB. ACEH BARAT DAYA,1725.7231153780592,"[161, 162, 163, 164, 165, 1]"
KAB. ACEH BESAR,1752.388980363869,"[161, 65, 3, 2]"
KAB. ACEH JAYA,1676.0855070267703,"[161, 65, 3]"
KAB. ACEH SELATAN,1428.4311392197524,"[161, 129, 70, 4]"
KAB. ACEH SINGKIL,1310.5736853300782,"[161, 129, 66, 5]"
KAB. ACEH TAMIANG,1460.5748944301547,"[161, 129, 6]"
KAB. ACEH TENGAH,1563.356330496413,"[161, 129, 66, 67, 8, 7]"
KAB. ACEH TENGGARA,1404.5483050148314,"[161, 129, 66, 67, 8]"
KAB. ACEH TIMUR,1539.8264766871234,"[161, 129, 66, 67, 8, 9]"
KAB. ACEH UTARA,1592.872634809672,"[161, 33, 10]"
KAB. BENER MERIAH,1583.9445941003773,"[161, 129, 70, 11]"
KAB. BIREUEN,1634.9397676739989,"[161, 129, 70, 11, 12]"
KAB. GAYO LUES,1485.805720845709,"[161, 129, 70, 13]"
KAB. NAGAN RAYA,1582.9005579307277,"[161, 129, 70, 13, 14]"
KAB. PIDIE,1696.06047567085,"[161, 129, 53, 16, 15]"
KAB. PIDIE JAYA,1666.5290790382696,"[161, 129, 53, 16]"
KAB. SIMEULUE,1561.5634652230142,"[161, 129, 66, 58, 17]"
KOTA BANDA ACEH,1791.4682211602624,"[161, 129, 6, 18]"
KOTA LANGSA,1614.153015680443,"[161, 129, 130, 125, 19]"
KOTA LHOKSEUMAWE,1651.6313086450757,"[161, 129, 66, 67, 8, 7, 20]"
KOTA SABANG,1804.1657431869226,"[161, 65, 3, 2, 21]"
KOTA SUBULUSSALAM,1415.1490871161177,"[161, 65, 49, 22]"
KAB. ASAHAN,1307.1919553248006,"[161, 24, 23]"
KAB. BATUBARA,1264.8593775244465,"[161, 24]"
KAB. DAIRI,1406.2195489377798,"[161, 24, 25]"
KAB. DELI SERDANG,1341.777963797373,"[161, 129, 26]"
KAB. HUMBANG HASUNDUTAN,1369.9703027436935,"[161, 129, 130, 27]"
KAB. KARO,1402.700722631168,"[161, 129, 70, 30, 28]"
KAB. LABUHANBATU,1202.593115127277,"[161, 129, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,1150.9875496715374,"[161, 129, 70, 30]"
KAB. LABUHANBATU UTARA,1216.3617453583322,"[161, 129, 70, 30, 31]"
KAB. LANGKAT,1431.6598400151734,"[161, 33, 32]"
KAB. MANDAILING NATAL,1065.1132971745246,"[161, 33]"
KAB. NIAS,1249.8449569618442,"[161, 33, 34]"
KAB. NIAS BARAT,1279.9710774606904,"[161, 33, 34, 35]"
KAB. NIAS SELATAN,1272.7947872018394,"[161, 129, 66, 58, 36]"
KAB. NIAS UTARA,1355.8343349851832,"[161, 129, 66, 58, 36, 37]"
KAB. PADANG LAWAS,1216.9094492590793,"[161, 33, 39, 38]"
KAB. PADANG LAWAS UTARA,1162.3399642566035,"[161, 33, 39]"
KAB. PAKPAK BHARAT,1350.7985339029,"[161, 33, 39, 40]"
KAB. SAMOSIR,1333.9470641126961,"[161, 129, 66, 67, 73, 72, 41]"
KAB. SERDANG BEDAGAI,1370.0793865475225,"[161, 33, 39, 43, 42]"
KAB. SIMALUNGUN,1323.1933209347353,"[161, 33, 39, 43]"
KAB. TAPANULI SELATAN,1283.7612406333592,"[161, 129, 130, 125, 107, 44]"
KAB. TAPANULI TENGAH,1306.4914119718428,"[161, 129, 66, 67, 73, 46, 45]"
KAB. TAPANULI UTARA,1257.4970278203284,"[161, 129, 66, 67, 73, 46]"
KAB. TOBA SAMOSIR,1297.1709000370329,"[161, 129, 66, 67, 73, 46, 47]"
KOTA BINJAI,1390.928958536873,"[161, 56, 48]"
KOTA GUNUNGSITOLI,1252.4862671942064,"[161, 65, 49]"
KOTA MEDAN,1393.426574210012,"[161, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,1204.054655769513,"[161, 129, 66, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1330.7016487048602,"[161, 129, 53, 52]"
KOTA SIBOLGA,1190.0152539381497,"[161, 129, 53]"
KOTA TANJUNGBALAI,1367.1133951714637,"[161, 129, 53, 54]"
KOTA TEBING TINGGI,1336.2249779568451,"[161, 56, 55]"
KAB. AGAM,926.0237467307271,"[161, 56]"
KAB. DHARMASRAYA,850.5326199479493,"[161, 160, 57]"
KAB. KEPULAUAN MENTAWAI,1005.9888696894263,"[161, 129, 66, 58]"
KAB. LIMA PULUH KOTA,1076.0931831023981,"[161, 129, 130, 125, 126, 109, 59]"
KAB. PADANG PARIAMAN,1074.6449841583758,"[161, 160, 131, 132, 133, 60]"
KAB. PASAMAN,1089.8662588143839,"[161, 129, 130, 125, 61]"
KAB. PASAMAN BARAT,1147.60150664742,"[161, 162, 163, 164, 114, 115, 62]"
KAB. PESISIR SELATAN,895.2221463182238,"[161, 65, 63]"
KAB. SIJUNJUNG,849.871805198619,"[161, 65, 64]"
KAB. SOLOK,810.9475114143128,"[161, 65]"
KAB. SOLOK SELATAN,747.2152648417239,"[161, 129, 66]"
KAB. TANAH DATAR,875.7102735028775,"[161, 129, 66, 67]"
KOTA BUKITTINGGI,904.5831049247985,"[161, 129, 66, 67, 68]"
KOTA PADANG,942.4200603109023,"[161, 129, 70, 69]"
KOTA PADANGPANJANG,888.8944694787438,"[161, 129, 70]"
KOTA PARIAMAN,924.2581713996458,"[161, 129, 70, 71]"
KOTA PAYAKUMBUH,956.1750311777035,"[161, 129, 66, 67, 73, 72]"
KOTA SAWAHLUNTO,904.416242258072,"[161, 129, 66, 67, 73]"
KOTA SOLOK,918.8603141183489,"[161, 129, 66, 67, 73, 74]"
KAB. BENGKALIS,1186.0421074591782,"[161, 129, 66, 67, 73, 74, 75]"
KAB. INDRAGIRI HILIR,970.5827477308102,"[161, 162, 163, 164, 144, 77, 76]"
KAB. INDRAGIRI HULU,865.7720797114083,"[161, 162, 163, 164, 144, 77]"
KAB. KAMPAR,1022.0058266846119,"[161, 162, 163, 164, 144, 77, 78]"
KAB. KEPULAUAN MERANTI,946.6756185281934,"[161, 162, 79]"
KAB. KUANTAN SINGINGI,1022.9971912510134,"[161, 129, 66, 67, 73, 74, 80]"
KAB. PELALAWAN,1007.4452811822555,"[161, 160, 57, 81]"
KAB. ROKAN HILIR,1113.4463599800483,"[161, 129, 66, 67, 82]"
KAB. ROKAN HULU,1163.511968214413,"[161, 129, 70, 69, 83]"
KAB. SIAK,1047.5890056489332,"[161, 162, 163, 164, 144, 135, 84]"
KOTA DUMAI,1140.6915968615592,"[161, 162, 163, 164, 85]"
KOTA PEKANBARU,1117.286271847777,"[161, 129, 130, 125, 124, 86]"
KAB. BINTAN,1079.7164721033103,"[161, 160, 131, 88, 87]"
KAB. KARIMUN,951.673273577233,"[161, 160, 131, 88]"
KAB. KEPULAUAN ANAMBAS,1248.8301077413275,"[161, 162, 163, 164, 144, 145, 89]"
KAB. LINGGA,873.7311299126418,"[161, 162, 163, 164, 144, 143, 90]"
KAB. NATUNA,1381.7124864909988,"[161, 129, 128, 140, 91]"
KOTA BATAM,1112.4607092845908,"[161, 160, 159, 194, 195, 153, 120, 92]"
KOTA TANJUNG PINANG,1071.4104166474258,"[161, 129, 130, 125, 108, 93]"
PULAU TAMBELAN KAB. BINTAN,941.4493326144051,"[161, 162, 163, 164, 94]"
PEKAJANG KAB. LINGGA,1189.7463717340763,"[161, 160, 131, 132, 110, 95]"
PULAU SERASAN KAB. NATUNA,1232.4339946799184,"[161, 162, 97, 96]"
PULAU MIDAI KAB. NATUNA,1081.0173820843024,"[161, 162, 97]"
PULAU LAUT KAB. NATUNA,1272.6588126202214,"[161, 162, 97, 98]"
KAB. BATANGHARI,874.1767297325212,"[161, 160, 159, 194, 99]"
KAB. BUNGO,949.8897349214826,"[161, 160, 159, 102, 101, 100]"
KAB. KERINCI,893.0952728801886,"[161, 160, 159, 102, 101]"
KAB. MERANGIN,823.6194228762769,"[161, 160, 159, 102]"
KAB. MUARO JAMBI,907.0706747155082,"[161, 160, 159, 104, 103]"
KAB. SAROLANGUN,757.0296044584335,"[161, 160, 159, 104]"
KAB. TANJUNG JABUNG BARAT,820.5004712268524,"[161, 129, 130, 125, 105]"
KAB. TANJUNG JABUNG TIMUR,886.625076279382,"[161, 160, 159, 158, 157, 152, 106]"
KAB. TEBO,819.173511315271,"[161, 129, 130, 125, 107]"
KOTA JAMBI,774.6538742914995,"[161, 129, 130, 125, 108]"
KOTA SUNGAI PENUH,819.765366451541,"[161, 129, 130, 125, 126, 109]"
KAB. BENGKULU SELATAN,685.0932541077292,"[161, 160, 131, 132, 110]"
KAB. BENGKULU TENGAH,784.9955969807351,"[161, 160, 131, 132, 110, 111]"
KAB. BENGKULU UTARA,757.9363948748639,"[161, 160, 159, 158, 112]"
KAB. KAUR,724.5190339126549,"[161, 162, 163, 164, 114, 113]"
KAB. KEPAHIANG,603.6186562540377,"[161, 162, 163, 164, 114]"
KAB. LEBONG,676.3760294249212,"[161, 162, 163, 164, 114, 115]"
KAB. MUKOMUKO,778.8832666937667,"[161, 162, 163, 164, 114, 115, 116]"
KAB. REJANG LEBONG,651.4721577291921,"[161, 160, 131, 117]"
KAB. SELUMA,712.93628220857,"[161, 129, 130, 125, 118]"
KOTA BENGKULU,682.4401414737024,"[161, 160, 159, 119]"
KAB. BANYUASIN,689.4230982935492,"[161, 160, 159, 194, 195, 153, 120]"
KAB. EMPAT LAWANG,622.3971969771011,"[161, 160, 131, 122, 121]"
KAB. LAHAT,570.5971059801718,"[161, 160, 131, 122]"
KAB. MUARA ENIM,643.237063654091,"[161, 160, 131, 122, 123]"
KAB. MUSI BANYUASIN,693.7084121685665,"[161, 129, 130, 125, 124]"
KAB. MUSI RAWAS,599.233686696845,"[161, 129, 130, 125]"
KAB. MUSI RAWAS UTARA,652.5712988158247,"[161, 129, 130, 125, 126]"
KAB. OGAN ILIR,541.6213184081199,"[161, 129, 128, 127]"
KAB. OGAN KOMERING ILIR,474.12355100586296,"[161, 129, 128]"
KAB. OGAN KOMERING ULU,325.31641713400217,"[161, 129]"
KAB. OGAN KOMERING ULU SELATAN,396.4700506938553,"[161, 129, 130]"
KAB. OGAN KOMERING ULU TIMUR,415.8790365584756,"[161, 160, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,523.3093460833489,"[161, 160, 131, 132]"
KOTA LUBUKLINGGAU,651.1483854618139,"[161, 160, 131, 132, 133]"
KOTA PAGAR ALAM,720.5924220806653,"[161, 162, 163, 164, 144, 135, 134]"
KOTA PALEMBANG,511.91720458899164,"[161, 162, 163, 164, 144, 135]"
KOTA PRABUMULIH,588.9645623754585,"[161, 162, 163, 164, 144, 135, 136]"
KAB. BANGKA,821.8010654582924,"[161, 160, 159, 158, 157, 156, 137]"
KAB. BANGKA BARAT,825.281827901159,"[161, 129, 128, 140, 139, 138]"
KAB. BANGKA SELATAN,680.5814620213733,"[161, 129, 128, 140, 139]"
KAB. BANGKA TENGAH,634.5794631187405,"[161, 129, 128, 140]"
KAB. BELITUNG,726.0533302342287,"[161, 162, 163, 164, 144, 142, 141]"
KAB. BELITUNG TIMUR,680.9033162926764,"[161, 162, 163, 164, 144, 142]"
KOTA PANGKAL PINANG,610.3511326555995,"[161, 162, 163, 164, 144, 143]"
KAB. LAMPUNG TENGAH,300.43342505512953,"[161, 162, 163, 164, 144]"
KAB. LAMPUNG UTARA,362.61014035669774,"[161, 162, 163, 164, 144, 145]"
KAB. LAMPUNG SELATAN,483.8163190660995,"[161, 162, 163, 164, 144, 145, 146]"
KAB. LAMPUNG BARAT,646.8710009814059,"[161, 162, 163, 164, 144, 145, 146, 147]"
KAB. LAMPUNG TIMUR,735.3752181668631,"[161, 162, 151, 150, 149, 148]"
KAB. MESUJI,605.2397322572782,"[161, 162, 151, 150, 149]"
KAB. PESAWARAN,437.6853488544135,"[161, 162, 151, 150]"
KAB. PESISIR BARAT,329.5656017448363,"[161, 162, 151]"
KAB. PRINGSEWU,398.7741423012578,"[161, 160, 159, 158, 157, 152]"
KAB. TULANG BAWANG,482.12217328007887,"[161, 160, 159, 194, 195, 153]"
KAB. TULANG BAWANG BARAT,534.2518745073921,"[161, 160, 159, 194, 195, 153, 154]"
KAB. TANGGAMUS,496.2800007993094,"[161, 160, 159, 194, 155]"
KAB. WAY KANAN,493.5932535984075,"[161, 160, 159, 158, 157, 156]"
KOTA BANDAR LAMPUNG,366.8400661707347,"[161, 160, 159, 158, 157]"
KOTA METRO,335.461227328219,"[161, 160, 159, 158]"
KAB. LEBAK,143.63171340141503,"[161, 160, 159]"
KAB. PANDEGLANG,78.06998002963937,"[161, 160]"
KAB. SERANG,0.0,[161]
KAB. TANGERANG,49.72026801976497,"[161, 162]"
KOTA CILEGON,106.27693998480092,"[161, 162, 163]"
KOTA SERANG,127.00832814407775,"[161, 162, 163, 164]"
KOTA TANGERANG,181.99586184156823,"[161, 162, 163, 164, 165]"
KOTA TANGERANG SELATAN,193.09897540032608,"[161, 162, 163, 164, 165, 166]"
KAB. BANDUNG,331.1179026104969,"[161, 162, 163, 164, 165, 166, 167]"
KAB. BANDUNG BARAT,364.25853878371856,"[161, 162, 163, 164, 165, 166, 167, 168]"
KAB. BEKASI,417.9236593987824,"[161, 160, 159, 194, 182, 170, 169]"
KAB. BOGOR,351.2916913887506,"[161, 160, 159, 194, 182, 170]"
KAB. CIAMIS,384.9653865969008,"[161, 160, 172, 171]"
KAB. CIANJUR,257.71095357250465,"[161, 160, 172]"
KAB. CIREBON,362.7169828338889,"[161, 174, 173]"
KAB. GARUT,243.12649582049286,"[161, 174]"
KAB. INDRAMAYU,386.65557391680727,"[161, 174, 175]"
KAB. KARAWANG,495.88053346708364,"[161, 174, 175, 176]"
KAB. KUNINGAN,434.171309218907,"[161, 160, 159, 194, 177]"
KAB. MAJALENGKA,475.03929383500656,"[161, 160, 159, 194, 177, 178]"
KAB. PANGANDARAN,465.17924099030944,"[161, 160, 159, 194, 179]"
KAB. PURWAKARTA,356.1343710812301,"[161, 160, 159, 181, 180]"
KAB. SUBANG,312.3376604498702,"[161, 160, 159, 181]"
