city,distance,through
KAB. ACEH BARAT,1053.2485159448559,"[84, 52, 51, 0]"
KAB. ACEH BARAT DAYA,1172.940312578024,"[84, 52, 51, 0, 1]"
KAB. ACEH BESAR,979.6813639863731,"[84, 78, 4, 3, 2]"
KAB. ACEH JAYA,903.3778906492744,"[84, 78, 4, 3]"
KAB. ACEH SELATAN,652.912708889636,"[84, 78, 4]"
KAB. ACEH SINGKIL,737.596842915758,"[84, 71, 72, 5]"
KAB. ACEH TAMIANG,710.0680443807214,"[84, 39, 38, 6]"
KAB. ACEH TENGAH,689.5290140452661,"[84, 30, 26, 7]"
KAB. ACEH TENGGARA,848.3370395268475,"[84, 30, 26, 7, 8]"
KAB. ACEH TIMUR,844.2326080132342,"[84, 52, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,777.6424739247466,"[84, 52, 43, 42, 11, 10]"
KAB. BENER MERIAH,738.5212722252459,"[84, 52, 43, 42, 11]"
KAB. BIREUEN,789.5164457988675,"[84, 52, 43, 42, 11, 12]"
KAB. GAYO LUES,825.9199164987771,"[84, 30, 29, 25, 14, 13]"
KAB. NAGAN RAYA,728.8250794137583,"[84, 30, 29, 25, 14]"
KAB. PIDIE,805.0358276012648,"[84, 30, 15]"
KAB. PIDIE JAYA,791.2891710119338,"[84, 30, 26, 16]"
KAB. SIMEULUE,926.0026312212219,"[84, 30, 28, 55, 17]"
KOTA BANDA ACEH,906.1512666344111,"[84, 39, 18]"
KOTA LANGSA,851.9394764384289,"[84, 30, 28, 20, 19]"
KOTA LHOKSEUMAWE,730.4682549580521,"[84, 30, 28, 20]"
KOTA SABANG,945.2882061736512,"[84, 83, 22, 21]"
KOTA SUBULUSSALAM,489.60647738575835,"[84, 83, 22]"
KAB. ASAHAN,671.2201248531154,"[84, 30, 29, 25, 24, 23]"
KAB. BATUBARA,628.8875470527613,"[84, 30, 29, 25, 24]"
KAB. DAIRI,487.527375639428,"[84, 30, 29, 25]"
KAB. DELI SERDANG,452.76970449879116,"[84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,424.6384229635029,"[84, 85, 27]"
KAB. KARO,468.14354272171295,"[84, 30, 28]"
KAB. LABUHANBATU,268.0359352178221,"[84, 30, 29]"
KAB. LABUHANBATU SELATAN,216.43036976208242,"[84, 30]"
KAB. LABUHANBATU UTARA,281.8045654488772,"[84, 30, 31]"
KAB. LANGKAT,515.2923258988449,"[84, 32]"
KAB. MANDAILING NATAL,352.3471049081873,"[84, 39, 33]"
KAB. NIAS,537.0787646955068,"[84, 39, 33, 34]"
KAB. NIAS BARAT,567.2048851943529,"[84, 39, 33, 34, 35]"
KAB. NIAS SELATAN,618.4426333342177,"[84, 39, 33, 34, 35, 36]"
KAB. NIAS UTARA,579.3532916565887,"[84, 39, 38, 37]"
KAB. PADANG LAWAS,309.68992282858426,"[84, 39, 38]"
KAB. PADANG LAWAS UTARA,255.1204378261085,"[84, 39]"
KAB. PAKPAK BHARAT,443.57900747240507,"[84, 39, 40]"
KAB. SAMOSIR,508.24861964236584,"[84, 39, 40, 41]"
KAB. SERDANG BEDAGAI,457.0631910335283,"[84, 52, 43, 42]"
KAB. SIMALUNGUN,410.17712542074116,"[84, 52, 43]"
KAB. TAPANULI SELATAN,533.1375287575194,"[84, 78, 46, 45, 44]"
KAB. TAPANULI TENGAH,462.4933170308957,"[84, 78, 46, 45]"
KAB. TAPANULI UTARA,413.4989328793813,"[84, 78, 46]"
KAB. TOBA SAMOSIR,453.17280509608577,"[84, 78, 46, 47]"
KOTA BINJAI,481.9987031690486,"[84, 52, 48]"
KOTA GUNUNGSITOLI,600.5761405737965,"[84, 39, 33, 34, 35, 49]"
