city,distance,through
KAB. ACEH BARAT,1286.389363984837,"[17, 55, 28, 25, 26, 51, 0]"
KAB. ACEH BARAT DAYA,1238.4029455311102,"[17, 55, 28, 20, 21, 2, 1]"
KAB. ACEH BESAR,988.1081033275797,"[17, 55, 28, 20, 21, 2]"
KAB. ACEH JAYA,1064.4115766646785,"[17, 55, 28, 20, 21, 2, 3]"
KAB. ACEH SELATAN,992.6371830459178,"[17, 18, 6, 5, 4]"
KAB. ACEH SINGKIL,871.9664581053364,"[17, 18, 6, 5]"
KAB. ACEH TAMIANG,663.0826969146867,"[17, 18, 6]"
KAB. ACEH TENGAH,794.760222150464,"[17, 18, 6, 7]"
KAB. ACEH TENGGARA,953.5682476320454,"[17, 18, 6, 7, 8]"
KAB. ACEH TIMUR,834.3859098065132,"[17, 16, 15, 14, 13, 12, 11, 10, 9]"
KAB. ACEH UTARA,767.7957757180255,"[17, 16, 15, 14, 13, 12, 11, 10]"
KAB. BENER MERIAH,728.6745740185248,"[17, 16, 15, 14, 13, 12, 11]"
KAB. BIREUEN,677.6794004449032,"[17, 16, 15, 14, 13, 12]"
KAB. GAYO LUES,528.4722397450112,"[17, 16, 15, 14, 13]"
KAB. NAGAN RAYA,431.3774026599924,"[17, 16, 15, 14]"
KAB. PIDIE,309.352040575809,"[17, 16, 15]"
KAB. PIDIE JAYA,279.82064394322845,"[17, 16]"
KAB. SIMEULUE,0.0,[17]
KOTA BANDA ACEH,332.18937018457905,"[17, 18]"
KOTA LANGSA,649.3490257506853,"[17, 18, 19]"
KOTA LHOKSEUMAWE,720.1838007358481,"[17, 55, 28, 20]"
KOTA SABANG,936.3313405045261,"[17, 55, 28, 20, 21]"
KOTA SUBULUSSALAM,651.3716806186751,"[17, 16, 15, 22]"
KAB. ASAHAN,667.9828717766081,"[17, 55, 28, 25, 24, 23]"
KAB. BATUBARA,625.650293976254,"[17, 55, 28, 25, 24]"
KAB. DAIRI,484.29012256292066,"[17, 55, 28, 25]"
KAB. DELI SERDANG,562.7205147104822,"[17, 55, 28, 25, 26]"
KAB. HUMBANG HASUNDUTAN,564.2585264586061,"[17, 55, 28, 27]"
KAB. KARO,457.859088499509,"[17, 55, 28]"
KAB. LABUHANBATU,685.7709367117707,"[17, 55, 28, 29]"
KAB. LABUHANBATU SELATAN,709.5722614591396,"[17, 55, 28, 30]"
KAB. LABUHANBATU UTARA,774.9464571459343,"[17, 55, 28, 30, 31]"
KAB. LANGKAT,1012.4223592043487,"[17, 55, 28, 30, 31, 32]"
KAB. MANDAILING NATAL,895.6738015317758,"[17, 55, 28, 25, 38, 39, 33]"
KAB. NIAS,738.4900515813981,"[17, 55, 28, 25, 49, 35, 34]"
KAB. NIAS BARAT,708.3639310825521,"[17, 55, 28, 25, 49, 35]"
KAB. NIAS SELATAN,759.6016792224169,"[17, 55, 28, 25, 49, 35, 36]"
KAB. NIAS UTARA,757.2730806327452,"[17, 16, 15, 37]"
KAB. PADANG LAWAS,743.8776494472212,"[17, 55, 28, 25, 38]"
KAB. PADANG LAWAS UTARA,798.4471344496969,"[17, 55, 28, 25, 38, 39]"
KAB. PAKPAK BHARAT,974.5572368015788,"[17, 55, 54, 53, 52, 43, 42, 41, 40]"
KAB. SAMOSIR,909.8876246316181,"[17, 55, 54, 53, 52, 43, 42, 41]"
KAB. SERDANG BEDAGAI,825.6581318003807,"[17, 55, 54, 53, 52, 43, 42]"
KAB. SIMALUNGUN,778.7720661875935,"[17, 55, 54, 53, 52, 43]"
KAB. TAPANULI SELATAN,934.522799938627,"[17, 55, 54, 53, 52, 43, 44]"
KAB. TAPANULI TENGAH,1005.1670116652507,"[17, 55, 54, 53, 52, 43, 44, 45]"
KAB. TAPANULI UTARA,1054.1613958167652,"[17, 55, 54, 53, 52, 43, 44, 45, 46]"
KAB. TOBA SAMOSIR,1015.3950144547327,"[17, 55, 54, 53, 52, 48, 47]"
KOTA BINJAI,850.5936439359009,"[17, 55, 54, 53, 52, 48]"
KOTA GUNUNGSITOLI,674.9926757031085,"[17, 55, 28, 25, 49]"
KOTA MEDAN,805.3956876200428,"[17, 55, 28, 25, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,799.0548846366621,"[17, 55, 28, 25, 26, 51]"
KOTA PEMATANGSIANTAR,755.3903800466971,"[17, 55, 54, 53, 52]"
KOTA SIBOLGA,614.7039852799866,"[17, 55, 54, 53]"
KOTA TANJUNGBALAI,437.6058440466727,"[17, 55, 54]"
KOTA TEBING TINGGI,355.86909637511445,"[17, 55]"
KAB. AGAM,766.0703276012325,"[17, 55, 56]"
KAB. DHARMASRAYA,856.7888523358295,"[17, 58, 57]"
KAB. KEPULAUAN MENTAWAI,555.5745955335879,"[17, 58]"
KAB. LIMA PULUH KOTA,576.4916150753227,"[17, 59]"
KAB. PADANG PARIAMAN,654.5940194014739,"[17, 59, 60]"
KAB. PASAMAN,619.6793319632872,"[17, 59, 61]"
KAB. PASAMAN BARAT,677.4152638294164,"[17, 59, 62]"
KAB. PESISIR SELATAN,850.1048291627623,"[17, 59, 61, 63]"
KAB. SIJUNJUNG,917.6053532402485,"[17, 58, 66, 65, 64]"
KAB. SOLOK,878.6810594559423,"[17, 58, 66, 65]"
KAB. SOLOK SELATAN,814.3482003812903,"[17, 58, 66]"
KAB. TANAH DATAR,801.5351523972954,"[17, 58, 73, 67]"
KOTA BUKITTINGGI,830.4079838192164,"[17, 58, 73, 67, 68]"
KOTA PADANG,902.026648373422,"[17, 58, 73, 67, 68, 69]"
KOTA PADANGPANJANG,876.2168374362914,"[17, 58, 73, 71, 70]"
KOTA PARIAMAN,840.8531355153893,"[17, 58, 73, 71]"
KOTA PAYAKUMBUH,824.5879725617325,"[17, 58, 73, 72]"
KOTA SAWAHLUNTO,772.8291836421009,"[17, 58, 73]"
KOTA SOLOK,787.2732555023779,"[17, 58, 73, 74]"
KAB. BENGKALIS,702.0683871820557,"[17, 55, 75]"
KAB. INDRAGIRI HILIR,933.1648027552294,"[17, 55, 75, 76]"
KAB. INDRAGIRI HULU,1015.871289903768,"[17, 58, 78, 77]"
KAB. KAMPAR,859.6375429305645,"[17, 58, 78]"
KAB. KEPULAUAN MERANTI,908.0541173047554,"[17, 59, 61, 79]"
KAB. KUANTAN SINGINGI,850.2085339530054,"[17, 81, 80]"
KAB. PELALAWAN,746.0281391219213,"[17, 81]"
KAB. ROKAN HILIR,978.3884044640881,"[17, 81, 82]"
KAB. ROKAN HULU,987.826504779712,"[17, 16, 15, 22, 83]"
KAB. SIAK,926.0026312212219,"[17, 55, 28, 30, 84]"
KOTA DUMAI,884.0736875846177,"[17, 55, 28, 27, 85]"
KOTA PEKANBARU,924.7584657375792,"[17, 55, 28, 25, 86]"
KAB. BINTAN,1033.4871749468955,"[17, 59, 88, 87]"
KAB. KARIMUN,905.4439764208181,"[17, 59, 88]"
KAB. KEPULAUAN ANAMBAS,1265.8615673964873,"[17, 59, 88, 89]"
KAB. LINGGA,1686.4849705350805,"[17, 59, 88, 89, 90]"
KAB. NATUNA,1745.118921488985,"[17, 55, 28, 25, 24, 92, 91]"
KOTA BATAM,1180.1767038415173,"[17, 55, 28, 25, 24, 92]"
KOTA TANJUNG PINANG,1231.824603905506,"[17, 55, 28, 25, 24, 92, 93]"
PULAU TAMBELAN KAB. BINTAN,1509.4164304968888,"[17, 55, 28, 30, 94]"
PEKAJANG KAB. LINGGA,1207.5220834753084,"[17, 58, 95]"
PULAU SERASAN KAB. NATUNA,1672.5916822866743,"[17, 55, 28, 29, 96]"
PULAU MIDAI KAB. NATUNA,1696.3519726411957,"[17, 58, 95, 97]"
PULAU LAUT KAB. NATUNA,1887.9934031771147,"[17, 58, 95, 97, 98]"
KAB. BATANGHARI,1169.4557627710715,"[17, 58, 66, 65, 64, 99]"
KAB. BUNGO,1045.074009510851,"[17, 81, 101, 100]"
KAB. KERINCI,988.2795474695572,"[17, 81, 101]"
KAB. MERANGIN,1057.755397473469,"[17, 81, 101, 102]"
KAB. MUARO JAMBI,1211.0347048230246,"[17, 58, 66, 65, 103]"
KAB. SAROLANGUN,1111.3349969203152,"[17, 55, 54, 107, 104]"
KAB. TANJUNG JABUNG BARAT,1233.390840453953,"[17, 55, 54, 107, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,1151.143238140342,"[17, 55, 54, 107, 106]"
KAB. TEBO,986.2179948814731,"[17, 55, 54, 107]"
KOTA JAMBI,1084.466530750482,"[17, 59, 109, 108]"
KOTA SUNGAI PENUH,832.8194317261799,"[17, 59, 109]"
KAB. BENGKULU SELATAN,1098.744095694064,"[17, 112, 111, 110]"
KAB. BENGKULU TENGAH,998.8417528210583,"[17, 112, 111]"
KAB. BENGKULU UTARA,932.7125363632678,"[17, 112]"
KAB. KAUR,1132.2870830541324,"[17, 112, 113]"
KAB. KEPAHIANG,1014.3707242480376,"[17, 114]"
KAB. LEBONG,1087.1280974189212,"[17, 114, 115]"
KAB. MUKOMUKO,1066.438531848357,"[17, 55, 116]"
KAB. REJANG LEBONG,1113.717387746431,"[17, 59, 61, 117]"
KAB. SELUMA,1149.2017465356062,"[17, 58, 66, 118]"
KOTA BENGKULU,1206.988766709806,"[17, 58, 66, 118, 119]"
KAB. BANYUASIN,1218.3917066560193,"[17, 59, 61, 120]"
KAB. EMPAT LAWANG,1339.5437165271705,"[17, 55, 54, 122, 121]"
KAB. LAHAT,1287.7436255302412,"[17, 55, 54, 122]"
KAB. MUARA ENIM,1237.1716509696134,"[17, 58, 124, 123]"
KAB. MUSI BANYUASIN,1103.7575029535542,"[17, 58, 124]"
KAB. MUSI RAWAS,1053.351111480876,"[17, 59, 109, 126, 125]"
KAB. MUSI RAWAS UTARA,1000.0134993618963,"[17, 59, 109, 126]"
KAB. OGAN ILIR,1168.9040749633623,"[17, 127]"
KAB. OGAN KOMERING ILIR,1236.4018423656194,"[17, 127, 128]"
KAB. OGAN KOMERING ULU,1236.247048089012,"[17, 58, 66, 129]"
KAB. OGAN KOMERING ULU SELATAN,1256.1147474838656,"[17, 59, 109, 126, 125, 130]"
KAB. OGAN KOMERING ULU TIMUR,1313.3599670013741,"[17, 59, 60, 133, 132, 131]"
