city,distance,through
KAB. ACEH BARAT,2965.8435149080947,"[392, 391, 0]"
KAB. ACEH BARAT DAYA,2935.095294582229,"[392, 391, 140, 1]"
KAB. ACEH BESAR,3047.7611133960386,"[392, 346, 347, 4, 3, 2]"
KAB. ACEH JAYA,2971.45764005894,"[392, 346, 347, 4, 3]"
KAB. ACEH SELATAN,2720.9924582993017,"[392, 346, 347, 4]"
KAB. ACEH SINGKIL,2762.411996023943,"[392, 393, 137, 66, 5]"
KAB. ACEH TAMIANG,2764.000528905758,"[392, 391, 6]"
KAB. ACEH TENGAH,2853.4326955691067,"[392, 346, 345, 321, 30, 26, 7]"
KAB. ACEH TENGGARA,2758.110714164128,"[392, 393, 137, 8]"
KAB. ACEH TIMUR,2735.7551120150965,"[392, 346, 345, 9]"
KAB. ACEH UTARA,2793.645995716054,"[392, 346, 345, 10]"
KAB. BENER MERIAH,2818.0947765019955,"[392, 346, 42, 11]"
KAB. BIREUEN,2869.0899500756173,"[392, 346, 42, 11, 12]"
KAB. GAYO LUES,2771.1877589842065,"[392, 393, 13]"
KAB. NAGAN RAYA,2868.2825960692253,"[392, 393, 13, 14]"
KAB. PIDIE,2968.9395091251054,"[392, 346, 345, 321, 30, 15]"
KAB. PIDIE JAYA,2955.1928525357744,"[392, 346, 345, 321, 30, 26, 16]"
KAB. SIMEULUE,2886.9406049546615,"[392, 346, 345, 321, 55, 17]"
KOTA BANDA ACEH,3011.0482347126845,"[392, 346, 347, 19, 18]"
KOTA LANGSA,2693.888579146578,"[392, 346, 347, 19]"
KOTA LHOKSEUMAWE,2809.9852755715947,"[392, 346, 345, 20]"
KOTA SABANG,3026.132815340273,"[392, 346, 345, 20, 21]"
KOTA SUBULUSSALAM,2637.873393372267,"[392, 346, 22]"
KAB. ASAHAN,2561.425541264399,"[392, 393, 92, 24, 23]"
KAB. BATUBARA,2519.0929634640447,"[392, 393, 92, 24]"
KAB. DAIRI,2651.4310571632686,"[392, 346, 345, 321, 30, 29, 25]"
KAB. DELI SERDANG,2616.673386022632,"[392, 346, 345, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2605.1287833661036,"[392, 346, 345, 321, 84, 85, 27]"
KAB. KARO,2632.0472242455535,"[392, 346, 345, 321, 30, 28]"
KAB. LABUHANBATU,2431.9396167416626,"[392, 346, 345, 321, 30, 29]"
KAB. LABUHANBATU SELATAN,2380.334051285923,"[392, 346, 345, 321, 30]"
KAB. LABUHANBATU UTARA,2445.708246972718,"[392, 346, 345, 321, 30, 31]"
KAB. LANGKAT,2683.184149031132,"[392, 346, 345, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,2510.3203683648453,"[392, 391, 390, 33]"
KAB. NIAS,2666.7195699360236,"[392, 346, 345, 321, 322, 59, 62, 34]"
KAB. NIAS BARAT,2696.8456904348695,"[392, 346, 345, 321, 322, 59, 62, 34, 35]"
KAB. NIAS SELATAN,2724.633097895705,"[392, 393, 137, 66, 58, 36]"
