city,distance,through
KAB. ACEH BARAT,950.7630407255213,"[65, 63, 62, 0]"
KAB. ACEH BARAT DAYA,1070.4548373586895,"[65, 63, 62, 0, 1]"
KAB. ACEH BESAR,941.4414689495563,"[65, 3, 2]"
KAB. ACEH JAYA,865.1379956124575,"[65, 3]"
KAB. ACEH SELATAN,748.3620045035876,"[65, 66, 5, 4]"
KAB. ACEH SINGKIL,627.6912795630062,"[65, 66, 5]"
KAB. ACEH TAMIANG,836.5750407536559,"[65, 66, 5, 6]"
KAB. ACEH TENGAH,880.473924729341,"[65, 66, 67, 8, 7]"
KAB. ACEH TENGGARA,721.6658992477595,"[65, 66, 67, 8]"
KAB. ACEH TIMUR,856.9440709200516,"[65, 66, 67, 8, 9]"
KAB. ACEH UTARA,923.5342050085392,"[65, 66, 67, 8, 9, 10]"
KAB. BENER MERIAH,962.6554067080399,"[65, 66, 67, 8, 9, 10, 11]"
KAB. BIREUEN,1013.6505802816615,"[65, 66, 67, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,906.0955392745011,"[65, 63, 74, 73, 71, 70, 13]"
KAB. NAGAN RAYA,873.5390126944118,"[65, 49, 25, 14]"
KAB. PIDIE,946.2212157446709,"[65, 49, 22, 15]"
KAB. PIDIE JAYA,975.7526123772514,"[65, 49, 22, 15, 16]"
KAB. SIMEULUE,878.6810594559424,"[65, 66, 58, 17]"
KOTA BANDA ACEH,1154.7613668883462,"[65, 63, 33, 39, 18]"
KOTA LANGSA,965.9822108660642,"[65, 49, 35, 36, 37, 19]"
KOTA LHOKSEUMAWE,920.9970552198322,"[65, 49, 25, 28, 20]"
KOTA SABANG,993.2182317726099,"[65, 3, 2, 21]"
KOTA SUBULUSSALAM,604.2015757018048,"[65, 49, 22]"
KAB. ASAHAN,692.5502094666232,"[65, 63, 24, 23]"
KAB. BATUBARA,650.2176316662691,"[65, 63, 24]"
KAB. DAIRI,632.2413089200815,"[65, 49, 25]"
KAB. DELI SERDANG,708.8517759135467,"[65, 63, 51, 26]"
KAB. HUMBANG HASUNDUTAN,696.7970722413841,"[65, 49, 22, 27]"
KAB. KARO,658.6723429834931,"[65, 49, 25, 28]"
KAB. LABUHANBATU,622.8829335560692,"[65, 63, 74, 73, 71, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,571.2773681003296,"[65, 63, 74, 73, 71, 70, 30]"
KAB. LABUHANBATU UTARA,636.6515637871244,"[65, 63, 74, 73, 71, 70, 30, 31]"
KAB. LANGKAT,773.0504138386136,"[65, 63, 33, 32]"
KAB. MANDAILING NATAL,406.5038709979648,"[65, 63, 33]"
KAB. NIAS,505.0361316581833,"[65, 49, 35, 34]"
KAB. NIAS BARAT,474.9100111593372,"[65, 49, 35]"
KAB. NIAS SELATAN,526.147759299202,"[65, 49, 35, 36]"
KAB. NIAS UTARA,609.1873070825457,"[65, 49, 35, 36, 37]"
KAB. PADANG LAWAS,558.3000230825194,"[65, 63, 33, 39, 38]"
KAB. PADANG LAWAS UTARA,503.7305380800436,"[65, 63, 33, 39]"
KAB. PAKPAK BHARAT,686.6358501094091,"[65, 63, 51, 41, 40]"
KAB. SAMOSIR,621.9662379394484,"[65, 63, 51, 41]"
KAB. SERDANG BEDAGAI,706.1957307706858,"[65, 63, 51, 41, 42]"
KAB. SIMALUNGUN,664.5838947581755,"[65, 63, 33, 39, 43]"
KAB. TAPANULI SELATAN,678.51601555374,"[65, 63, 74, 73, 46, 45, 44]"
KAB. TAPANULI TENGAH,607.8718038271163,"[65, 63, 74, 73, 46, 45]"
KAB. TAPANULI UTARA,558.8774196756019,"[65, 63, 74, 73, 46]"
KAB. TOBA SAMOSIR,598.5512918923064,"[65, 63, 74, 73, 46, 47]"
KOTA BINJAI,719.0705056312654,"[65, 49, 48]"
KOTA GUNUNGSITOLI,441.5387557798936,"[65, 49]"
KOTA MEDAN,582.4790627956992,"[65, 64, 50]"
KOTA PADANGSIDEMPUAN,472.5174059873668,"[65, 63, 51]"
KOTA PEMATANGSIANTAR,650.1357786683395,"[65, 66, 53, 52]"
KOTA SIBOLGA,509.44938390162895,"[65, 66, 53]"
KOTA TANJUNGBALAI,686.5475251349428,"[65, 66, 53, 54]"
KOTA TEBING TINGGI,760.6623351078877,"[65, 49, 25, 28, 55]"
KAB. AGAM,745.3973354382317,"[65, 63, 74, 80, 81, 57, 56]"
KAB. DHARMASRAYA,556.5824954511231,"[65, 63, 74, 80, 81, 57]"
KAB. KEPULAUAN MENTAWAI,323.1064639223546,"[65, 66, 58]"
KAB. LIMA PULUH KOTA,357.8878489913506,"[65, 63, 61, 59]"
KAB. PADANG PARIAMAN,401.0873068844617,"[65, 63, 61, 60]"
KAB. PASAMAN,314.7001321033861,"[65, 63, 61]"
KAB. PASAMAN BARAT,341.5941412612084,"[65, 63, 62]"
KAB. PESISIR SELATAN,84.27463490391105,"[65, 63]"
KAB. SIJUNJUNG,38.924293784306165,"[65, 64]"
KAB. SOLOK,0.0,[65]
KAB. SOLOK SELATAN,64.33285907465203,"[65, 66]"
KAB. TANAH DATAR,192.82786773580563,"[65, 66, 67]"
KOTA BUKITTINGGI,221.70069915772658,"[65, 66, 67, 68]"
KOTA PADANG,293.31936371193217,"[65, 66, 67, 68, 69]"
KOTA PADANGPANJANG,309.18428790753586,"[65, 63, 74, 73, 71, 70]"
KOTA PARIAMAN,273.8205859866339,"[65, 63, 74, 73, 71]"
KOTA PAYAKUMBUH,252.72013231471277,"[65, 63, 72]"
KOTA SAWAHLUNTO,205.79663411334548,"[65, 63, 74, 73]"
KOTA SOLOK,191.35256225306856,"[65, 63, 74]"
KAB. BENGKALIS,458.5343555938979,"[65, 63, 74, 75]"
KAB. INDRAGIRI HILIR,689.6307711670715,"[65, 63, 74, 75, 76]"
KAB. INDRAGIRI HULU,777.8252250283742,"[65, 63, 74, 73, 71, 84, 78, 77]"
KAB. KAMPAR,621.5914780551707,"[65, 63, 74, 73, 71, 84, 78]"
KAB. KEPULAUAN MERANTI,493.19213814098316,"[65, 63, 74, 80, 79]"
KAB. KUANTAN SINGINGI,295.489439385733,"[65, 63, 74, 80]"
KAB. PELALAWAN,399.66983421681704,"[65, 63, 74, 80, 81]"
KAB. ROKAN HILIR,430.5639542129764,"[65, 66, 67, 82]"
KAB. ROKAN HULU,508.88588927315925,"[65, 66, 67, 82, 83]"
KAB. SIAK,519.2356059250388,"[65, 63, 74, 73, 71, 84]"
KOTA DUMAI,624.0588677625301,"[65, 63, 74, 73, 71, 84, 85]"
KOTA PEKANBARU,753.0979388045914,"[65, 63, 74, 73, 71, 84, 85, 86]"
KAB. BINTAN,637.7910773066924,"[65, 64, 99, 87]"
KAB. KARIMUN,686.840210336846,"[65, 63, 61, 59, 88]"
KAB. KEPULAUAN ANAMBAS,1047.2578013125153,"[65, 63, 61, 59, 88, 89]"
KAB. LINGGA,1241.7326963635637,"[65, 66, 145, 144, 143, 90]"
KAB. NATUNA,1065.9846880267905,"[65, 93, 92, 91]"
KOTA BATAM,501.0424703793228,"[65, 93, 92]"
KOTA TANJUNG PINANG,449.39457031533425,"[65, 93]"
PULAU TAMBELAN KAB. BINTAN,768.0951524666235,"[65, 93, 94]"
PEKAJANG KAB. LINGGA,975.0539518640751,"[65, 66, 58, 95]"
PULAU SERASAN KAB. NATUNA,1203.831944652416,"[65, 103, 138, 323, 96]"
PULAU MIDAI KAB. NATUNA,1214.9920264988195,"[65, 63, 74, 73, 71, 97]"
PULAU LAUT KAB. NATUNA,1187.6879858929744,"[65, 64, 99, 98]"
KAB. BATANGHARI,290.7747033151291,"[65, 64, 99]"
KAB. BUNGO,423.5465359298092,"[65, 64, 99, 100]"
KAB. KERINCI,480.34099797110315,"[65, 64, 99, 100, 101]"
KAB. MERANGIN,548.3813360614689,"[65, 103, 102]"
KAB. MUARO JAMBI,332.35364536708227,"[65, 103]"
KAB. SAROLANGUN,482.394715624157,"[65, 103, 104]"
KAB. TANJUNG JABUNG BARAT,623.7957653756766,"[65, 103, 104, 105]"
KAB. TANJUNG JABUNG TIMUR,640.0973314841157,"[65, 63, 72, 107, 106]"
KAB. TEBO,475.17208822524685,"[65, 63, 72, 107]"
KOTA JAMBI,621.2814864278023,"[65, 63, 72, 107, 108]"
KOTA SUNGAI PENUH,614.2156656422078,"[65, 63, 61, 59, 109]"
KAB. BENGKULU SELATAN,667.7989708989744,"[65, 63, 74, 111, 110]"
KAB. BENGKULU TENGAH,567.8966280259685,"[65, 63, 74, 111]"
KAB. BENGKULU UTARA,576.9056951190394,"[65, 66, 124, 112]"
KAB. KAUR,697.7214381024157,"[65, 63, 74, 113]"
KAB. KEPAHIANG,576.8890024895956,"[65, 63, 74, 114]"
KAB. LEBONG,615.8440373426411,"[65, 66, 67, 68, 69, 116, 115]"
KAB. MUKOMUKO,513.3368000737955,"[65, 66, 67, 68, 69, 116]"
KAB. REJANG LEBONG,465.5542015067243,"[65, 66, 118, 117]"
KAB. SELUMA,399.18640522896794,"[65, 66, 118]"
KOTA BENGKULU,456.97342540316777,"[65, 66, 118, 119]"
KAB. BANYUASIN,763.2535584326713,"[65, 66, 118, 119, 120]"
KAB. EMPAT LAWANG,624.6504127244262,"[65, 66, 124, 123, 122, 121]"
KAB. LAHAT,572.850321727497,"[65, 66, 124, 123, 122]"
KAB. MUARA ENIM,500.2103640535778,"[65, 66, 124, 123]"
KAB. MUSI BANYUASIN,366.79621603751866,"[65, 66, 124]"
KAB. MUSI RAWAS,461.2709415092402,"[65, 66, 124, 125]"
KAB. MUSI RAWAS UTARA,514.6085536282199,"[65, 66, 124, 125, 126]"
KAB. OGAN ILIR,702.5366080564914,"[65, 66, 129, 128, 127]"
KAB. OGAN KOMERING ILIR,635.0388406542345,"[65, 66, 129, 128]"
KAB. OGAN KOMERING ULU,486.2317067823737,"[65, 66, 129]"
KAB. OGAN KOMERING ULU SELATAN,537.9621685317885,"[65, 130]"
