city,distance,through
KAB. ACEH BARAT,2113.3460662081166,"[219, 77, 0]"
KAB. ACEH BARAT DAYA,1994.759620009173,"[219, 218, 1]"
KAB. ACEH BESAR,2245.0544622127036,"[219, 218, 1, 2]"
KAB. ACEH JAYA,2180.2704775441393,"[219, 77, 78, 4, 3]"
KAB. ACEH SELATAN,1929.8052957845011,"[219, 77, 78, 4]"
KAB. ACEH SINGKIL,1834.6550014476843,"[219, 66, 5]"
KAB. ACEH TAMIANG,1995.285036150994,"[219, 218, 70, 6]"
KAB. ACEH TENGAH,2058.8248686918864,"[219, 26, 7]"
KAB. ACEH TENGGARA,1928.6296211324375,"[219, 66, 67, 8]"
KAB. ACEH TIMUR,2063.9077928047295,"[219, 66, 67, 8, 9]"
KAB. ACEH UTARA,2130.497926893217,"[219, 66, 67, 8, 9, 10]"
KAB. BENER MERIAH,2099.1276642766625,"[219, 218, 201, 11]"
KAB. BIREUEN,2150.122837850284,"[219, 218, 201, 11, 12]"
KAB. GAYO LUES,2005.8119937129823,"[219, 218, 70, 13]"
KAB. NAGAN RAYA,2093.1850831734155,"[219, 220, 80, 14]"
KAB. PIDIE,2190.1164222911348,"[219, 26, 16, 15]"
KAB. PIDIE JAYA,2160.585025658554,"[219, 26, 16]"
KAB. SIMEULUE,2034.1129840520407,"[219, 156, 112, 17]"
KOTA BANDA ACEH,2326.1783628811017,"[219, 218, 70, 6, 18]"
KOTA LANGSA,2064.3311874164256,"[219, 218, 201, 186, 19]"
KOTA LHOKSEUMAWE,2100.5456369653984,"[219, 218, 28, 20]"
KOTA SABANG,2296.831225035757,"[219, 218, 1, 2, 21]"
KOTA SUBULUSSALAM,1866.354538948624,"[219, 218, 201, 22]"
KAB. ASAHAN,1814.0864247943086,"[219, 220, 24, 23]"
KAB. BATUBARA,1771.7538469939545,"[219, 220, 24]"
KAB. DAIRI,1864.6519587924709,"[219, 218, 28, 25]"
KAB. DELI SERDANG,1822.0655591454115,"[219, 26]"
KAB. HUMBANG HASUNDUTAN,1859.4197776982176,"[219, 218, 201, 186, 185, 130, 27]"
KAB. KARO,1838.220924729059,"[219, 218, 28]"
KAB. LABUHANBATU,1722.5993879945502,"[219, 218, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,1670.9938225388105,"[219, 218, 70, 30]"
KAB. LABUHANBATU UTARA,1736.3680182256053,"[219, 218, 70, 30, 31]"
KAB. LANGKAT,1941.4223341981083,"[219, 220, 221, 153, 32]"
KAB. MANDAILING NATAL,1671.7444765142695,"[219, 220, 167, 166, 165, 164, 144, 33]"
KAB. NIAS,1752.892946980178,"[219, 62, 34]"
KAB. NIAS BARAT,1783.0190674790242,"[219, 62, 34, 35]"
KAB. NIAS SELATAN,1795.1804721647827,"[219, 220, 221, 153, 58, 36]"
KAB. NIAS UTARA,1864.893525317087,"[219, 220, 221, 153, 120, 37]"
KAB. PADANG LAWAS,1652.4453279855352,"[219, 220, 221, 134, 133, 38]"
KAB. PADANG LAWAS UTARA,1706.2606161300612,"[219, 218, 201, 186, 187, 39]"
KAB. PAKPAK BHARAT,1894.7191857763578,"[219, 218, 201, 186, 187, 39, 40]"
KAB. SAMOSIR,1852.7626119372771,"[219, 218, 201, 192, 41]"
KAB. SERDANG BEDAGAI,1831.2892402136088,"[219, 218, 52, 43, 42]"
KAB. SIMALUNGUN,1784.4031746008216,"[219, 218, 52, 43]"
KAB. TAPANULI SELATAN,1717.1347759113037,"[219, 220, 221, 153, 123, 124, 44]"
KAB. TAPANULI TENGAH,1739.3859039257607,"[219, 77, 78, 46, 45]"
KAB. TAPANULI UTARA,1690.3915197742463,"[219, 77, 78, 46]"
KAB. TOBA SAMOSIR,1730.0653919909507,"[219, 77, 78, 46, 47]"
KOTA BINJAI,1856.224752349129,"[219, 218, 52, 48]"
KOTA GUNUNGSITOLI,1777.1681958138756,"[219, 66, 65, 49]"
KOTA MEDAN,1897.9821025045298,"[219, 218, 102, 50]"
KOTA PADANGSIDEMPUAN,1725.5958448690762,"[219, 220, 221, 111, 74, 51]"
KOTA PEMATANGSIANTAR,1761.0214884599252,"[219, 218, 52]"
KOTA SIBOLGA,1697.1717853190826,"[219, 77, 78, 53]"
KOTA TANJUNGBALAI,1831.1108415753529,"[219, 220, 221, 134, 54]"
KOTA TEBING TINGGI,1819.8579333717275,"[219, 218, 201, 76, 75, 55]"
KAB. AGAM,1523.8812104085846,"[219, 218, 201, 186, 187, 56]"
KAB. DHARMASRAYA,1410.484901279654,"[219, 220, 221, 214, 213, 57]"
KAB. KEPULAUAN MENTAWAI,1528.3745546523696,"[219, 220, 221, 153, 58]"
KAB. LIMA PULUH KOTA,1547.1386918068492,"[219, 218, 201, 192, 191, 125, 126, 109, 59]"
KAB. PADANG PARIAMAN,1479.377083147268,"[219, 220, 221, 134, 133, 60]"
KAB. PASAMAN,1536.5086130288305,"[219, 220, 221, 153, 120, 61]"
KAB. PASAMAN BARAT,1521.5137985495137,"[219, 62]"
KAB. PESISIR SELATAN,1379.9022714352996,"[219, 220, 167, 166, 165, 164, 144, 145, 63]"
KAB. SIJUNJUNG,1374.5537338182883,"[219, 66, 65, 64]"
KAB. SOLOK,1335.629440033982,"[219, 66, 65]"
KAB. SOLOK SELATAN,1271.29658095933,"[219, 66]"
KAB. TANAH DATAR,1399.7915896204836,"[219, 66, 67]"
KOTA BUKITTINGGI,1428.6644210424045,"[219, 66, 67, 68]"
KOTA PADANG,1452.8419495665353,"[219, 220, 167, 166, 165, 164, 69]"
KOTA PADANGPANJANG,1408.9007423460168,"[219, 218, 70]"
KOTA PARIAMAN,1424.714761867145,"[219, 218, 71]"
KOTA PAYAKUMBUH,1480.2563472953098,"[219, 66, 67, 73, 72]"
KOTA SAWAHLUNTO,1428.4975583756782,"[219, 66, 67, 73]"
KOTA SOLOK,1440.4015032179122,"[219, 220, 221, 111, 74]"
KAB. BENGKALIS,1473.6586425647863,"[219, 218, 201, 76, 75]"
KAB. INDRAGIRI HILIR,1242.5622269916128,"[219, 218, 201, 76]"
KAB. INDRAGIRI HULU,1223.0147120517934,"[219, 77]"
KAB. KAMPAR,1379.248459024997,"[219, 77, 78]"
KAB. KEPULAUAN MERANTI,1447.0312991916644,"[219, 220, 167, 166, 79]"
KAB. KUANTAN SINGINGI,1337.9777752273665,"[219, 220, 80]"
KAB. PELALAWAN,1442.1581700584504,"[219, 220, 80, 81]"
KAB. ROKAN HILIR,1637.5276760976544,"[219, 66, 67, 82]"
KAB. ROKAN HULU,1634.7559843798501,"[219, 77, 78, 84, 83]"
KAB. SIAK,1481.6043311551286,"[219, 77, 78, 84]"
KOTA DUMAI,1586.42759299262,"[219, 77, 78, 84, 85]"
KOTA PEKANBARU,1466.3208864621172,"[219, 220, 221, 153, 123, 124, 86]"
KAB. BINTAN,1441.5901580319555,"[219, 220, 353, 87]"
KAB. KARIMUN,1420.1887755400437,"[219, 218, 201, 192, 108, 88]"
KAB. KEPULAUAN ANAMBAS,1453.497979997143,"[219, 218, 217, 89]"
KAB. LINGGA,1223.8533379485443,"[219, 220, 221, 168, 149, 90]"
KAB. NATUNA,1785.3395264824003,"[219, 220, 221, 215, 142, 141, 140, 91]"
KOTA BATAM,1360.83384932714,"[219, 220, 221, 153, 120, 92]"
KOTA TANJUNG PINANG,1327.9386691584,"[219, 218, 201, 186, 93]"
PULAU TAMBELAN KAB. BINTAN,1354.9952232426167,"[219, 220, 167, 166, 94]"
PEKAJANG KAB. LINGGA,1488.9884507063557,"[219, 218, 217, 227, 228, 229, 95]"
PULAU SERASAN KAB. NATUNA,1168.0264493116922,"[219, 324, 323, 96]"
PULAU MIDAI KAB. NATUNA,1319.4430619073082,"[219, 324, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,1511.0844924432272,"[219, 324, 323, 96, 97, 98]"
KAB. BATANGHARI,1186.4064871346811,"[219, 218, 201, 155, 99]"
KAB. BUNGO,1284.4987462143145,"[219, 101, 100]"
KAB. KERINCI,1227.7042841730206,"[219, 101]"
KAB. MERANGIN,1158.451554766698,"[219, 218, 102]"
