city,distance,through
KAB. ACEH BARAT,3030.06009161545,"[308, 309, 77, 0]"
KAB. ACEH BARAT DAYA,2947.974198048279,"[308, 309, 275, 274, 273, 140, 1]"
KAB. ACEH BESAR,3173.287976288571,"[308, 309, 77, 78, 4, 3, 2]"
KAB. ACEH JAYA,3096.984502951472,"[308, 309, 77, 78, 4, 3]"
KAB. ACEH SELATAN,2846.519321191834,"[308, 309, 77, 78, 4]"
KAB. ACEH SINGKIL,2746.3229446416153,"[308, 72, 5]"
KAB. ACEH TAMIANG,2862.150578589023,"[308, 309, 275, 276, 258, 86, 6]"
KAB. ACEH TENGAH,2951.0171389649336,"[308, 309, 85, 7]"
KAB. ACEH TENGGARA,2838.2913217753307,"[308, 309, 275, 276, 258, 241, 8]"
KAB. ACEH TIMUR,2898.70315688728,"[308, 309, 275, 9]"
KAB. ACEH UTARA,2965.2932909757674,"[308, 309, 275, 9, 10]"
KAB. BENER MERIAH,2977.168327563466,"[308, 309, 275, 276, 258, 42, 11]"
KAB. BIREUEN,3028.1635011370877,"[308, 309, 275, 276, 258, 42, 11, 12]"
KAB. GAYO LUES,2909.8317408304774,"[308, 309, 275, 276, 258, 80, 13]"
KAB. NAGAN RAYA,2979.944273590304,"[308, 309, 275, 276, 258, 86, 25, 14]"
KAB. PIDIE,3099.8692227182196,"[308, 309, 275, 261, 16, 15]"
KAB. PIDIE JAYA,3070.337826085639,"[308, 309, 275, 261, 16]"
KAB. SIMEULUE,2961.4530559180757,"[308, 309, 275, 276, 268, 17]"
KOTA BANDA ACEH,3193.0439053191308,"[308, 309, 275, 276, 258, 86, 6, 18]"
KOTA LANGSA,2878.4997192707324,"[308, 309, 282, 19]"
KOTA LHOKSEUMAWE,2999.970940751109,"[308, 309, 282, 19, 20]"
KOTA SABANG,3193.391231315749,"[308, 309, 275, 21]"
KOTA SUBULUSSALAM,2758.0465432041865,"[308, 309, 275, 27, 22]"
KAB. ASAHAN,2769.937378976385,"[308, 309, 282, 281, 242, 200, 224, 24, 23]"
KAB. BATUBARA,2727.604801176031,"[308, 309, 282, 281, 242, 200, 224, 24]"
KAB. DAIRI,2738.6465698159736,"[308, 309, 275, 276, 258, 86, 25]"
KAB. DELI SERDANG,2759.258658143281,"[308, 309, 275, 276, 258, 241, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2665.451046664607,"[308, 309, 275, 27]"
KAB. KARO,2765.077603879385,"[308, 309, 275, 276, 258, 86, 25, 28]"
KAB. LABUHANBATU,2557.3192876363087,"[308, 309, 282, 281, 242, 29]"
KAB. LABUHANBATU SELATAN,2522.9193234065724,"[308, 309, 275, 276, 258, 241, 84, 30]"
KAB. LABUHANBATU UTARA,2588.293519093367,"[308, 309, 275, 276, 258, 241, 84, 30, 31]"
KAB. LANGKAT,2821.7812795433347,"[308, 309, 275, 276, 258, 241, 84, 32]"
KAB. MANDAILING NATAL,2500.4240773658835,"[308, 309, 33]"
KAB. NIAS,2683.184681477811,"[308, 309, 275, 107, 62, 34]"
KAB. NIAS BARAT,2713.310801976657,"[308, 309, 275, 107, 62, 34, 35]"
KAB. NIAS SELATAN,2684.9615932096467,"[308, 309, 275, 276, 268, 229, 36]"
KAB. NIAS UTARA,2737.4550532591575,"[308, 309, 275, 199, 100, 37]"
KAB. PADANG LAWAS,2572.592321363483,"[308, 309, 282, 281, 257, 194, 195, 38]"
KAB. PADANG LAWAS UTARA,2561.6093914705984,"[308, 309, 275, 276, 258, 241, 84, 39]"
KAB. PAKPAK BHARAT,2750.067961116895,"[308, 309, 275, 276, 258, 241, 84, 39, 40]"
KAB. SAMOSIR,2703.491876292894,"[308, 72, 41]"
KAB. SERDANG BEDAGAI,2695.7102463717483,"[308, 309, 275, 276, 258, 42]"
KAB. SIMALUNGUN,2694.207097955413,"[308, 309, 275, 276, 52, 43]"
KAB. TAPANULI SELATAN,2565.583034356943,"[308, 309, 275, 276, 258, 44]"
KAB. TAPANULI TENGAH,2636.2272460835666,"[308, 309, 275, 276, 258, 44, 45]"
KAB. TAPANULI UTARA,2607.105545181579,"[308, 309, 77, 78, 46]"
KAB. TOBA SAMOSIR,2646.779417398284,"[308, 309, 77, 78, 46, 47]"
KOTA BINJAI,2766.02867570372,"[308, 309, 275, 276, 52, 48]"
KOTA GUNUNGSITOLI,2702.2750076892403,"[308, 309, 77, 49]"
KOTA MEDAN,2832.7443717888236,"[308, 309, 282, 281, 242, 243, 51, 50]"
KOTA PADANGSIDEMPUAN,2576.7069443061714,"[308, 309, 282, 281, 242, 243, 51]"
KOTA PEMATANGSIANTAR,2670.8254118145164,"[308, 309, 275, 276, 52]"
KOTA SIBOLGA,2613.8858107264155,"[308, 309, 77, 78, 53]"
KOTA TANJUNGBALAI,2628.749962054486,"[308, 309, 275, 276, 258, 241, 54]"
KOTA TEBING TINGGI,2710.486709726044,"[308, 309, 275, 276, 258, 241, 54, 55]"
KAB. AGAM,2377.888313602113,"[308, 309, 275, 276, 56]"
KAB. DHARMASRAYA,2224.878945297719,"[308, 309, 282, 204, 213, 57]"
