city,distance,through
KAB. ACEH BARAT,3141.774927802803,"[311, 310, 283, 284, 0]"
KAB. ACEH BARAT DAYA,3037.9521919564595,"[311, 310, 274, 273, 140, 1]"
KAB. ACEH BESAR,3288.24703415999,"[311, 310, 274, 273, 140, 1, 2]"
KAB. ACEH JAYA,3217.12431066344,"[311, 310, 309, 77, 78, 4, 3]"
KAB. ACEH SELATAN,2966.659128903802,"[311, 310, 309, 77, 78, 4]"
KAB. ACEH SINGKIL,2871.4146516121846,"[311, 310, 309, 275, 107, 72, 5]"
KAB. ACEH TAMIANG,2936.709707471654,"[311, 310, 6]"
KAB. ACEH TENGAH,3068.387232707431,"[311, 310, 6, 7]"
KAB. ACEH TENGGARA,2929.8451247287494,"[311, 241, 8]"
KAB. ACEH TIMUR,3018.8429645992474,"[311, 310, 309, 275, 9]"
KAB. ACEH UTARA,3085.433098687735,"[311, 310, 309, 275, 9, 10]"
KAB. BENER MERIAH,3097.308135275434,"[311, 310, 309, 275, 276, 258, 42, 11]"
KAB. BIREUEN,3148.3033088490556,"[311, 310, 309, 275, 276, 258, 42, 11, 12]"
KAB. GAYO LUES,3002.9957384579266,"[311, 241, 13]"
KAB. NAGAN RAYA,3091.7799743980954,"[311, 310, 283, 284, 25, 14]"
KAB. PIDIE,3203.0785841991733,"[311, 241, 84, 30, 15]"
KAB. PIDIE JAYA,3189.3319276098423,"[311, 241, 84, 30, 26, 16]"
KAB. SIMEULUE,3051.8788777422105,"[311, 127, 17]"
KOTA BANDA ACEH,3267.6030342017616,"[311, 310, 6, 18]"
KOTA LANGSA,2998.6395269827003,"[311, 310, 309, 282, 19]"
KOTA LHOKSEUMAWE,3120.110748463077,"[311, 310, 309, 282, 19, 20]"
KOTA SABANG,3313.5310390277164,"[311, 310, 309, 275, 21]"
KOTA SUBULUSSALAM,2878.186350916154,"[311, 310, 309, 275, 27, 22]"
KAB. ASAHAN,2864.565933578337,"[311, 94, 93, 92, 24, 23]"
KAB. BATUBARA,2822.233355777983,"[311, 94, 93, 92, 24]"
KAB. DAIRI,2850.482270623765,"[311, 310, 283, 284, 25]"
KAB. DELI SERDANG,2850.8124610966997,"[311, 241, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2785.5908543765745,"[311, 310, 309, 275, 27]"
KAB. KARO,2866.1862993196214,"[311, 241, 84, 30, 28]"
KAB. LABUHANBATU,2656.0205150351767,"[311, 310, 274, 137, 29]"
KAB. LABUHANBATU SELATAN,2614.473126359991,"[311, 241, 84, 30]"
KAB. LABUHANBATU UTARA,2679.847322046786,"[311, 241, 84, 30, 31]"
KAB. LANGKAT,2913.3350824967533,"[311, 241, 84, 32]"
KAB. MANDAILING NATAL,2620.5638850778514,"[311, 310, 309, 33]"
KAB. NIAS,2797.9343541768567,"[311, 310, 69, 34]"
KAB. NIAS BARAT,2811.7557593952433,"[311, 36, 35]"
KAB. NIAS SELATAN,2760.5180112553785,"[311, 36]"
KAB. NIAS UTARA,2843.557559038722,"[311, 36, 37]"
KAB. PADANG LAWAS,2687.8078582089984,"[311, 310, 283, 284, 259, 195, 38]"
KAB. PADANG LAWAS UTARA,2653.163194424017,"[311, 241, 84, 39]"
KAB. PAKPAK BHARAT,2841.6217640703135,"[311, 241, 84, 39, 40]"
KAB. SAMOSIR,2828.583583263463,"[311, 310, 309, 275, 107, 72, 41]"
KAB. SERDANG BEDAGAI,2815.8500540837163,"[311, 310, 309, 275, 276, 258, 42]"
KAB. SIMALUNGUN,2808.2198820186495,"[311, 241, 84, 52, 43]"
KAB. TAPANULI SELATAN,2685.7228420689107,"[311, 310, 309, 275, 276, 258, 44]"
KAB. TAPANULI TENGAH,2756.3670537955345,"[311, 310, 309, 275, 276, 258, 44, 45]"
KAB. TAPANULI UTARA,2727.245352893547,"[311, 310, 309, 77, 78, 46]"
KAB. TOBA SAMOSIR,2766.919225110252,"[311, 310, 309, 77, 78, 46, 47]"
KOTA BINJAI,2880.041459766957,"[311, 241, 84, 52, 48]"
KOTA GUNUNGSITOLI,2822.414815401208,"[311, 310, 309, 77, 49]"
KOTA MEDAN,2924.921548054034,"[311, 241, 212, 64, 50]"
KOTA PADANGSIDEMPUAN,2696.8467520181393,"[311, 310, 309, 282, 281, 242, 243, 51]"
KOTA PEMATANGSIANTAR,2784.838195877753,"[311, 241, 84, 52]"
KOTA SIBOLGA,2734.0256184383834,"[311, 310, 309, 77, 78, 53]"
KOTA TANJUNGBALAI,2720.3037650079045,"[311, 241, 54]"
KOTA TEBING TINGGI,2802.0405126794626,"[311, 241, 54, 55]"
KAB. AGAM,2498.0281213140806,"[311, 310, 309, 275, 276, 56]"
KAB. DHARMASRAYA,2345.0187530096864,"[311, 310, 309, 282, 204, 213, 57]"
KAB. KEPULAUAN MENTAWAI,2567.500209859221,"[311, 310, 309, 282, 153, 58]"
KAB. LIMA PULUH KOTA,2528.941867983868,"[311, 127, 126, 109, 59]"
KAB. PADANG PARIAMAN,2530.3529606341435,"[311, 310, 226, 221, 134, 133, 60]"
KAB. PASAMAN,2530.340687146292,"[311, 310, 309, 282, 61]"
KAB. PASAMAN BARAT,2571.9453407591145,"[311, 310, 309, 275, 107, 62]"
KAB. PESISIR SELATAN,2371.912988060866,"[311, 310, 309, 275, 145, 63]"
KAB. SIJUNJUNG,2381.3667790426407,"[311, 241, 212, 64]"
KAB. SOLOK,2396.5278135001718,"[311, 310, 283, 284, 65]"
KAB. SOLOK SELATAN,2341.6957385013075,"[311, 241, 129, 66]"
KAB. TANAH DATAR,2463.526300123811,"[311, 310, 309, 282, 153, 67]"
KOTA BUKITTINGGI,2480.7970195815583,"[311, 310, 309, 282, 120, 68]"
KOTA PADANG,2424.235124103488,"[311, 310, 69]"
KOTA PADANGPANJANG,2471.627479329595,"[311, 241, 125, 70]"
KOTA PARIAMAN,2497.0960076592974,"[311, 310, 309, 282, 281, 242, 71]"
KOTA PAYAKUMBUH,2450.8115503284703,"[311, 310, 309, 275, 107, 72]"
KOTA SAWAHLUNTO,2454.064318072839,"[311, 310, 309, 282, 281, 242, 269, 270, 73]"
KOTA SOLOK,2460.317117903605,"[311, 310, 309, 275, 276, 258, 80, 74]"
KAB. BENGKALIS,2491.239791103471,"[311, 310, 309, 282, 281, 242, 76, 75]"
KAB. INDRAGIRI HILIR,2260.1433755302974,"[311, 310, 309, 282, 281, 242, 76]"
KAB. INDRAGIRI HULU,2259.8685451710944,"[311, 310, 309, 77]"
KAB. KAMPAR,2416.1022921442977,"[311, 310, 309, 77, 78]"
KAB. KEPULAUAN MERANTI,2329.376170052954,"[311, 241, 79]"
KAB. KUANTAN SINGINGI,2356.1802407709406,"[311, 310, 309, 275, 276, 258, 80]"
KAB. PELALAWAN,2412.8913816978848,"[311, 310, 309, 282, 281, 251, 267, 81]"
KAB. ROKAN HILIR,2520.38875920932,"[311, 82]"
KAB. ROKAN HULU,2551.19440982263,"[311, 241, 84, 83]"
KAB. SIAK,2398.0427565979085,"[311, 241, 84]"
KOTA DUMAI,2477.3868988466493,"[311, 310, 309, 85]"
KOTA PEKANBARU,2418.318034353283,"[311, 310, 309, 275, 276, 258, 86]"
KAB. BINTAN,2281.4713382024656,"[311, 310, 332, 352, 353, 87]"
KAB. KARIMUN,2306.8382940918355,"[311, 310, 309, 282, 204, 88]"
KAB. KEPULAUAN ANAMBAS,2358.700397749347,"[311, 310, 309, 282, 281, 251, 89]"
KAB. LINGGA,2087.70364059048,"[311, 310, 309, 275, 261, 143, 90]"
KAB. NATUNA,2113.2786058517563,"[311, 310, 332, 333, 91]"
KOTA BATAM,2267.7069459127197,"[311, 94, 93, 92]"
KOTA TANJUNG PINANG,2216.0590458487313,"[311, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,1897.3584636974422,"[311, 94]"
PEKAJANG KAB. LINGGA,2058.328790980264,"[311, 310, 95]"
PULAU SERASAN KAB. NATUNA,1955.3755632880052,"[311, 321, 322, 323, 96]"
PULAU MIDAI KAB. NATUNA,2106.792175883621,"[311, 321, 322, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,2137.4433416056636,"[311, 321, 98]"
KAB. BATANGHARI,2205.600229757827,"[311, 310, 309, 282, 281, 251, 235, 99]"
KAB. BUNGO,2259.4512818749317,"[311, 310, 309, 275, 199, 100]"
KAB. KERINCI,2275.9967835604066,"[311, 102, 101]"
KAB. MERANGIN,2206.5209335564946,"[311, 102]"
KAB. MUARO JAMBI,2099.370248161217,"[311, 310, 274, 137, 138, 103]"
KAB. SAROLANGUN,2125.4864034018865,"[311, 104]"
KAB. TANJUNG JABUNG BARAT,2169.4834225061322,"[311, 310, 283, 284, 105]"
KAB. TANJUNG JABUNG TIMUR,2182.9748869528726,"[311, 310, 309, 282, 281, 215, 106]"
KAB. TEBO,2228.359594417936,"[311, 310, 309, 275, 107]"
KOTA JAMBI,2115.819002019275,"[311, 310, 309, 282, 281, 251, 108]"
KOTA SUNGAI PENUH,2272.614051333011,"[311, 127, 126, 109]"
KAB. BENGKULU SELATAN,2031.9929719845431,"[311, 310, 309, 282, 281, 247, 248, 110]"
KAB. BENGKULU TENGAH,2114.8333149318873,"[311, 310, 226, 221, 111]"
KAB. BENGKULU UTARA,2170.3298484685824,"[311, 310, 309, 275, 112]"
KAB. KAUR,1978.2779428637728,"[311, 113]"
KAB. KEPAHIANG,2099.17832052239,"[311, 113, 114]"
KAB. LEBONG,2154.002315871751,"[311, 173, 115]"
KAB. MUKOMUKO,2256.5095531405964,"[311, 173, 115, 116]"
KAB. REJANG LEBONG,2095.7736236637647,"[311, 310, 309, 282, 117]"
KAB. SELUMA,2063.805763691894,"[311, 310, 309, 275, 118]"
KOTA BENGKULU,2121.5927838660937,"[311, 310, 309, 275, 118, 119]"
KAB. BANYUASIN,1931.6922092381697,"[311, 310, 309, 282, 120]"
KAB. EMPAT LAWANG,2072.8945826445474,"[311, 310, 309, 282, 153, 123, 122, 121]"
KAB. LAHAT,2021.094491647618,"[311, 310, 309, 282, 153, 123, 122]"
KAB. MUARA ENIM,1948.4545339736987,"[311, 310, 309, 282, 153, 123]"
KAB. MUSI BANYUASIN,2081.868681989758,"[311, 310, 309, 282, 153, 123, 124]"
KAB. MUSI RAWAS,2053.9841677876802,"[311, 241, 125]"
KAB. MUSI RAWAS UTARA,2105.419983697295,"[311, 127, 126]"
KAB. OGAN ILIR,1882.9748027788485,"[311, 127]"
KAB. OGAN KOMERING ILIR,1820.00269726978,"[311, 128]"
KAB. OGAN KOMERING ULU,1919.7968907935856,"[311, 241, 129]"
KAB. OGAN KOMERING ULU SELATAN,1927.984785324112,"[311, 310, 226, 185, 130]"
KAB. OGAN KOMERING ULU TIMUR,2006.3646630407038,"[311, 310, 309, 275, 276, 268, 160, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,2032.9196678626442,"[311, 310, 309, 282, 281, 242, 269, 171, 132]"
KOTA LUBUKLINGGAU,2106.856361937582,"[311, 310, 226, 221, 134, 133]"
KOTA PAGAR ALAM,2014.6241398689422,"[311, 310, 226, 221, 134]"
KOTA PALEMBANG,1926.0021679578208,"[311, 310, 309, 275, 276, 268, 135]"
KOTA PRABUMULIH,1933.92829878147,"[311, 310, 274, 136]"
KAB. BANGKA,1862.9262334787554,"[311, 310, 274, 137]"
KAB. BANGKA BARAT,1910.0315799721268,"[311, 310, 274, 137, 138]"
KAB. BANGKA SELATAN,1851.155753096414,"[311, 310, 274, 273, 140, 139]"
KAB. BANGKA TENGAH,1805.153754193781,"[311, 310, 274, 273, 140]"
KAB. BELITUNG,1682.1800632860331,"[311, 310, 283, 284, 259, 141]"
KAB. BELITUNG TIMUR,1667.286791057706,"[311, 310, 309, 282, 281, 251, 252, 142]"
KOTA PANGKAL PINANG,1824.3236433334378,"[311, 310, 309, 275, 261, 143]"
KAB. LAMPUNG TENGAH,1764.7658315124038,"[311, 310, 309, 275, 276, 144]"
KAB. LAMPUNG UTARA,1822.4673785780908,"[311, 310, 309, 275, 145]"
KAB. LAMPUNG SELATAN,1746.3859552271433,"[311, 310, 283, 284, 277, 278, 146]"
KAB. LAMPUNG BARAT,1896.2309659783452,"[311, 310, 283, 147]"
KAB. LAMPUNG TIMUR,1925.8816278719219,"[311, 241, 219, 218, 217, 148]"
KAB. MESUJI,1811.1254478679512,"[311, 310, 309, 282, 281, 242, 149]"
KAB. PESAWARAN,1765.2834391977558,"[311, 310, 309, 275, 150]"
KAB. PESISIR BARAT,1873.403186307333,"[311, 310, 309, 275, 150, 151]"
KAB. PRINGSEWU,1778.6850697374955,"[311, 310, 226, 221, 152]"
KAB. TULANG BAWANG,1769.620968529479,"[311, 310, 309, 282, 153]"
KAB. TULANG BAWANG BARAT,1805.1692920102491,"[311, 310, 309, 282, 204, 203, 154]"
KAB. TANGGAMUS,1833.134267638296,"[311, 310, 309, 282, 281, 257, 194, 155]"
KAB. WAY KANAN,1853.7105582481722,"[311, 310, 309, 156]"
KOTA BANDAR LAMPUNG,1780.266240023155,"[311, 310, 158, 157]"
KOTA METRO,1748.8874011806392,"[311, 310, 158]"
KAB. LEBAK,1609.3467659574849,"[311, 310, 226, 159]"
KAB. PANDEGLANG,1668.5556065118676,"[311, 310, 309, 275, 276, 268, 160]"
KAB. SERANG,1648.8151256961446,"[311, 310, 309, 282, 281, 251, 161]"
KAB. TANGERANG,1599.64982212608,"[311, 310, 309, 282, 281, 251, 162]"
KOTA CILEGON,1648.2984110803152,"[311, 241, 165, 164, 163]"
KOTA SERANG,1627.5670229210384,"[311, 241, 165, 164]"
KOTA TANGERANG,1572.5794892235479,"[311, 241, 165]"
KOTA TANGERANG SELATAN,1573.1559576607137,"[311, 310, 309, 282, 281, 251, 198, 166]"
KAB. BANDUNG,1443.5485012445233,"[311, 310, 167]"
KAB. BANDUNG BARAT,1470.7360882143985,"[311, 310, 226, 221, 168]"
KAB. BEKASI,1523.3279205005783,"[311, 310, 309, 282, 204, 169]"
KAB. BOGOR,1579.788336950424,"[311, 310, 309, 282, 281, 242, 269, 171, 170]"
KAB. CIAMIS,1371.0295406321566,"[311, 310, 309, 282, 281, 242, 269, 171]"
KAB. CIANJUR,1498.2839736565527,"[311, 310, 309, 282, 281, 242, 269, 171, 172]"
KAB. CIREBON,1355.8330392758814,"[311, 173]"
KAB. GARUT,1442.0303698789817,"[311, 241, 174]"
KAB. INDRAMAYU,1441.153427781545,"[311, 310, 283, 284, 223, 222, 175]"
KAB. KARAWANG,1507.7780939317104,"[311, 310, 274, 273, 176]"
KAB. KUNINGAN,1499.1663282291627,"[311, 241, 179, 178, 177]"
KAB. MAJALENGKA,1458.298343613063,"[311, 241, 179, 178]"
KAB. PANGANDARAN,1362.3993105672032,"[311, 241, 179]"
KAB. PURWAKARTA,1497.6407570072497,"[311, 310, 309, 275, 276, 181, 180]"
KAB. SUBANG,1453.8440463758898,"[311, 310, 309, 275, 276, 181]"
KAB. SUKABUMI,1539.3235256980086,"[311, 310, 309, 282, 281, 242, 243, 183, 182]"
KAB. SUMEDANG,1428.9089086826825,"[311, 310, 309, 282, 281, 242, 243, 183]"
KAB. TASIKMALAYA,1365.254946282962,"[311, 184]"
KOTA BANDUNG,1456.6111812987217,"[311, 310, 226, 185]"
KOTA BANJAR,1377.8939028363388,"[311, 310, 283, 284, 277, 278, 186]"
KOTA BEKASI,1536.7205408905184,"[311, 241, 187]"
KOTA BOGOR,1559.7704039736946,"[311, 310, 309, 282, 204, 203, 188]"
KOTA CIMAHI,1517.5379576960252,"[311, 310, 309, 282, 281, 251, 267, 189]"
KOTA CIREBON,1630.4372837417,"[311, 310, 309, 282, 281, 251, 267, 189, 190]"
KOTA DEPOK,1565.5781815080854,"[311, 310, 309, 282, 281, 242, 243, 183, 191]"
KOTA SUKABUMI,1537.6140648486316,"[311, 310, 309, 282, 281, 242, 200, 201, 192]"
KOTA TASIKMALAYA,1439.288181214996,"[311, 310, 309, 275, 261, 193]"
KOTA JAKARTA,1560.8588103822658,"[311, 310, 309, 282, 281, 257, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,1624.2729754090271,"[311, 310, 283, 284, 259, 195]"
KAB. BANJARNEGARA,1310.7157515672652,"[311, 310, 309, 282, 281, 251, 252, 253, 196]"
KAB. BANYUMAS,1308.3233287917874,"[311, 310, 309, 282, 281, 251, 198, 197]"
KAB. BATANG,1210.8737304795145,"[311, 310, 309, 282, 281, 251, 198]"
KAB. BLORA,1049.7631354265147,"[311, 310, 309, 275, 199]"
KAB. BOYOLALI,1115.955498029325,"[311, 310, 309, 282, 281, 242, 200]"
KAB. BREBES,1319.8405779255297,"[311, 310, 309, 282, 281, 242, 200, 201]"
KAB. CILACAP,1303.5261925194568,"[311, 310, 309, 275, 202]"
KAB. DEMAK,1132.1518542035847,"[311, 310, 309, 282, 204, 203]"
KAB. GROBOGAN,1091.499202551046,"[311, 310, 309, 282, 204]"
KAB. JEPARA,1161.7843812338479,"[311, 310, 309, 282, 204, 205]"
KAB. KARANGANYAR,1065.5067391083946,"[311, 310, 309, 282, 206]"
KAB. KEBUMEN,1219.111272886825,"[311, 310, 309, 282, 206, 207]"
KAB. KENDAL,1206.1081450031322,"[311, 310, 309, 282, 281, 251, 209, 208]"
KAB. KLATEN,1118.3983075617282,"[311, 310, 309, 282, 281, 251, 209]"
KAB. KUDUS,1219.6430803145315,"[311, 310, 309, 282, 281, 251, 209, 210]"
KAB. MAGELANG,1198.387560494526,"[311, 241, 212, 211]"
KAB. PATI,1084.8321144828494,"[311, 241, 212]"
KAB. PEKALONGAN,1239.1793883594798,"[311, 310, 309, 282, 204, 213]"
KAB. PEMALANG,1260.2103450418567,"[311, 310, 309, 282, 204, 213, 214]"
KAB. PURBALINGGA,1254.7028014676835,"[311, 310, 309, 282, 281, 215]"
KAB. PURWOREJO,1214.1727992695799,"[311, 310, 309, 282, 204, 225, 216]"
KAB. REMBANG,1263.784041243438,"[311, 241, 219, 218, 217]"
KAB. SEMARANG,1150.8401108126716,"[311, 241, 219, 218]"
KAB. SRAGEN,1085.4021732383194,"[311, 241, 219]"
KAB. SUKOHARJO,1114.998628868886,"[311, 241, 219, 220]"
