city,distance,through
KAB. ACEH BARAT,2485.75585207231,"[261, 235, 0]"
KAB. ACEH BARAT DAYA,2439.765763421997,"[261, 260, 259, 141, 140, 1]"
KAB. ACEH BESAR,2580.8021162388145,"[261, 143, 22, 21, 2]"
KAB. ACEH JAYA,2540.3195299760114,"[261, 318, 319, 4, 3]"
KAB. ACEH SELATAN,2289.854348216373,"[261, 318, 319, 4]"
KAB. ACEH SINGKIL,2206.4757534335363,"[261, 235, 124, 66, 5]"
KAB. ACEH TAMIANG,2328.2041876092335,"[261, 235, 124, 86, 6]"
KAB. ACEH TENGAH,2427.821721130096,"[261, 94, 30, 26, 7]"
KAB. ACEH TENGGARA,2300.4503731182895,"[261, 235, 124, 66, 67, 8]"
KAB. ACEH TIMUR,2303.635551432326,"[261, 318, 88, 9]"
KAB. ACEH UTARA,2370.2256855208134,"[261, 318, 88, 9, 10]"
KAB. BENER MERIAH,2362.5977151035554,"[261, 44, 43, 42, 11]"
KAB. BIREUEN,2366.7538334919122,"[261, 44, 12]"
KAB. GAYO LUES,2350.838205222369,"[261, 235, 99, 13]"
KAB. NAGAN RAYA,2445.997882610515,"[261, 235, 124, 86, 25, 14]"
KAB. PIDIE,2410.167744504372,"[261, 16, 15]"
KAB. PIDIE JAYA,2380.6363478717913,"[261, 16]"
KAB. SIMEULUE,2396.541329271413,"[261, 193, 194, 155, 17]"
KOTA BANDA ACEH,2579.353898627898,"[261, 318, 317, 19, 18]"
KOTA LANGSA,2262.194243061792,"[261, 318, 317, 19]"
KOTA LHOKSEUMAWE,2358.217835594186,"[261, 44, 45, 20]"
KOTA SABANG,2529.025353415761,"[261, 143, 22, 21]"
KOTA SUBULUSSALAM,2073.343624627868,"[261, 143, 22]"
KAB. ASAHAN,2122.0863776900587,"[261, 94, 93, 92, 24, 23]"
KAB. BATUBARA,2079.7537998897046,"[261, 94, 93, 92, 24]"
KAB. DAIRI,2204.7001788361845,"[261, 235, 124, 86, 25]"
KAB. DELI SERDANG,2191.0624115836213,"[261, 94, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2158.795438561828,"[261, 193, 194, 117, 27]"
KAB. KARO,2206.436249806543,"[261, 94, 30, 28]"
KAB. LABUHANBATU,2006.3286423026523,"[261, 94, 30, 29]"
KAB. LABUHANBATU SELATAN,1954.7230768469126,"[261, 94, 30]"
KAB. LABUHANBATU UTARA,1997.5316441752054,"[261, 318, 319, 31]"
KAB. LANGKAT,2177.5847514549396,"[261, 44, 45, 32]"
KAB. MANDAILING NATAL,1985.7006080811057,"[261, 318, 88, 33]"
KAB. NIAS,2131.613497088897,"[261, 193, 194, 62, 34]"
KAB. NIAS BARAT,2161.739617587743,"[261, 193, 194, 62, 34, 35]"
KAB. NIAS SELATAN,2120.8858029227263,"[261, 235, 58, 36]"
KAB. NIAS UTARA,2186.1613830540646,"[261, 235, 99, 100, 37]"
KAB. PADANG LAWAS,1959.7594587964911,"[261, 193, 194, 195, 38]"
KAB. PADANG LAWAS UTARA,2014.328943798967,"[261, 193, 194, 195, 38, 39]"
KAB. PAKPAK BHARAT,2144.6513442562796,"[261, 318, 88, 40]"
KAB. SAMOSIR,2165.369126743075,"[261, 44, 43, 42, 41]"
KAB. SERDANG BEDAGAI,2081.139633911838,"[261, 44, 43, 42]"
KAB. SIMALUNGUN,2034.2535682990508,"[261, 44, 43]"
KAB. TAPANULI SELATAN,1878.5028345480173,"[261, 44]"
KAB. TAPANULI TENGAH,1949.147046274641,"[261, 44, 45]"
KAB. TAPANULI UTARA,1998.1414304261555,"[261, 44, 45, 46]"
KAB. TOBA SAMOSIR,2037.81530264286,"[261, 44, 45, 46, 47]"
KOTA BINJAI,2152.838518329151,"[261, 44, 43, 52, 48]"
KOTA GUNUNGSITOLI,2148.9889477997276,"[261, 235, 124, 66, 65, 49]"
KOTA MEDAN,2250.6511498854074,"[261, 235, 99, 64, 50]"
KOTA PADANGSIDEMPUAN,2048.4449326330946,"[261, 193, 194, 195, 73, 74, 51]"
KOTA PEMATANGSIANTAR,2057.6352544399474,"[261, 44, 43, 52]"
KOTA SIBOLGA,2088.233857772159,"[261, 235, 124, 66, 53]"
KOTA TANJUNGBALAI,2137.6372415748656,"[261, 193, 125, 107, 54]"
KOTA TEBING TINGGI,2219.3739892464237,"[261, 193, 125, 107, 54, 55]"
KAB. AGAM,1823.0100552147762,"[261, 193, 56]"
KAB. DHARMASRAYA,1723.7026843989595,"[261, 235, 234, 159, 160, 57]"
KAB. KEPULAUAN MENTAWAI,1854.0798854103132,"[261, 235, 58]"
KAB. LIMA PULUH KOTA,1843.302461344204,"[261, 193, 109, 59]"
KAB. PADANG PARIAMAN,1889.087574377701,"[261, 193, 194, 155, 132, 133, 60]"
KAB. PASAMAN,1859.717838239178,"[261, 193, 125, 61]"
KAB. PASAMAN BARAT,1900.2343486582326,"[261, 193, 194, 62]"
KAB. PESISIR SELATAN,1779.2222667689373,"[261, 235, 234, 159, 160, 131, 63]"
KAB. SIJUNJUNG,1707.0963808740144,"[261, 235, 99, 64]"
KAB. SOLOK,1707.450192019834,"[261, 235, 124, 66, 65]"
KAB. SOLOK SELATAN,1643.117332945182,"[261, 235, 124, 66]"
KAB. TANAH DATAR,1771.6123416063356,"[261, 235, 124, 66, 67]"
KOTA BUKITTINGGI,1800.4851730282564,"[261, 235, 124, 66, 67, 68]"
KOTA PADANG,1766.597950024875,"[261, 193, 194, 117, 116, 69]"
KOTA PADANGPANJANG,1786.7285776635545,"[261, 193, 125, 70]"
KOTA PARIAMAN,1816.8304709949423,"[261, 193, 194, 195, 73, 71]"
KOTA PAYAKUMBUH,1800.5653080412853,"[261, 193, 194, 195, 73, 72]"
KOTA SAWAHLUNTO,1748.8065191216538,"[261, 193, 194, 195, 73]"
KOTA SOLOK,1763.2505909819306,"[261, 193, 194, 195, 73, 74]"
KAB. BENGKALIS,1944.741453454875,"[261, 260, 259, 266, 267, 251, 76, 75]"
KAB. INDRAGIRI HILIR,1713.6450378817015,"[261, 260, 259, 266, 267, 251, 76]"
KAB. INDRAGIRI HULU,1735.1827328911909,"[261, 262, 243, 77]"
KAB. KAMPAR,1808.216318646078,"[261, 318, 79, 78]"
KAB. KEPULAUAN MERANTI,1619.9422884455514,"[261, 318, 79]"
KAB. KUANTAN SINGINGI,1817.6449872008016,"[261, 318, 79, 80]"
KAB. PELALAWAN,1793.8141378200985,"[261, 260, 259, 266, 267, 81]"
KAB. ROKAN HILIR,1842.3184372982844,"[261, 318, 88, 82]"
KAB. ROKAN HULU,1867.8204552982093,"[261, 318, 88, 83]"
KAB. SIAK,1877.4920622184534,"[261, 235, 234, 233, 153, 123, 122, 84]"
