city,distance,through
KAB. ACEH BARAT,2412.519503690347,"[337, 338, 142, 141, 140, 1, 0]"
KAB. ACEH BARAT DAYA,2292.827707057179,"[337, 338, 142, 141, 140, 1]"
KAB. ACEH BESAR,2543.1225492607095,"[337, 338, 142, 141, 140, 1, 2]"
KAB. ACEH JAYA,2516.3196442839817,"[337, 338, 67, 3]"
KAB. ACEH SELATAN,2289.939350501328,"[337, 338, 142, 141, 73, 72, 5, 4]"
KAB. ACEH SINGKIL,2169.268625560747,"[337, 338, 142, 141, 73, 72, 5]"
KAB. ACEH TAMIANG,2235.5485899261043,"[337, 338, 142, 86, 6]"
KAB. ACEH TENGAH,2362.619814217058,"[337, 338, 321, 30, 26, 7]"
KAB. ACEH TENGGARA,2243.443670330649,"[337, 338, 67, 8]"
KAB. ACEH TIMUR,2254.7412148702256,"[337, 338, 353, 87, 88, 9]"
KAB. ACEH UTARA,2279.5622063580313,"[337, 338, 353, 87, 10]"
KAB. BENER MERIAH,2318.6834080575322,"[337, 338, 353, 87, 10, 11]"
KAB. BIREUEN,2369.678581631154,"[337, 338, 353, 87, 10, 11, 12]"
KAB. GAYO LUES,2362.1601146654875,"[337, 338, 339, 137, 13]"
KAB. NAGAN RAYA,2353.342284927385,"[337, 338, 142, 86, 25, 14]"
KAB. PIDIE,2414.2272697874578,"[337, 338, 16, 15]"
KAB. PIDIE JAYA,2384.695873154877,"[337, 338, 16]"
KAB. SIMEULUE,2393.319021687126,"[337, 338, 353, 87, 88, 59, 17]"
KOTA BANDA ACEH,2495.722196751084,"[337, 338, 353, 87, 18]"
KOTA LANGSA,2300.590383362999,"[337, 336, 96, 97, 19]"
KOTA LHOKSEUMAWE,2400.8003274528055,"[337, 338, 142, 86, 25, 28, 20]"
KOTA SABANG,2592.149574193843,"[337, 338, 142, 143, 22, 21]"
KOTA SUBULUSSALAM,2136.46784540595,"[337, 338, 142, 143, 22]"
KAB. ASAHAN,2088.900732482538,"[337, 338, 339, 92, 24, 23]"
KAB. BATUBARA,2046.5681546821838,"[337, 338, 339, 92, 24]"
KAB. DAIRI,2112.044581153055,"[337, 338, 142, 86, 25]"
KAB. DELI SERDANG,2125.860504670583,"[337, 338, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2114.315902014054,"[337, 338, 321, 84, 85, 27]"
KAB. KARO,2138.4756152164664,"[337, 338, 142, 86, 25, 28]"
KAB. LABUHANBATU,1941.126735389614,"[337, 338, 321, 30, 29]"
KAB. LABUHANBATU SELATAN,1889.5211699338743,"[337, 338, 321, 30]"
KAB. LABUHANBATU UTARA,1954.895365620669,"[337, 338, 321, 30, 31]"
KAB. LANGKAT,2192.3712676790833,"[337, 338, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,1936.8062715190053,"[337, 338, 353, 87, 88, 33]"
KAB. NIAS,2113.294582262804,"[337, 338, 353, 87, 34]"
KAB. NIAS BARAT,2143.42070276165,"[337, 338, 353, 87, 34, 35]"
KAB. NIAS SELATAN,2129.3684779468367,"[337, 58, 36]"
KAB. NIAS UTARA,2130.7057183410834,"[337, 338, 142, 57, 37]"
KAB. PADANG LAWAS,1934.0618433328584,"[337, 338, 39, 38]"
KAB. PADANG LAWAS UTARA,1879.4923583303826,"[337, 338, 39]"
KAB. PAKPAK BHARAT,2067.950927976679,"[337, 338, 39, 40]"
KAB. SAMOSIR,2126.4375572120257,"[337, 338, 142, 141, 73, 72, 41]"
KAB. SERDANG BEDAGAI,2071.5362332521554,"[337, 338, 321, 320, 43, 42]"
KAB. SIMALUNGUN,2024.6501676393682,"[337, 338, 321, 320, 43]"
KAB. TAPANULI SELATAN,1945.184434142328,"[337, 338, 353, 87, 44]"
KAB. TAPANULI TENGAH,2001.736967390671,"[337, 338, 46, 45]"
KAB. TAPANULI UTARA,1952.7425832391566,"[337, 338, 46]"
KAB. TOBA SAMOSIR,1992.416455455861,"[337, 338, 46, 47]"
KOTA BINJAI,2143.2351176694683,"[337, 338, 321, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,2125.587100313168,"[337, 338, 66, 65, 49]"
KOTA MEDAN,2226.3135483259725,"[337, 338, 339, 92, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,1996.5451488688423,"[337, 338, 142, 141, 73, 74, 51]"
KOTA PEMATANGSIANTAR,2048.0318537802646,"[337, 338, 321, 320, 43, 52]"
KOTA SIBOLGA,2064.8320102855987,"[337, 338, 66, 53]"
KOTA TANJUNGBALAI,2079.8234890082517,"[337, 338, 142, 141, 140, 139, 138, 54]"
KOTA TEBING TINGGI,2040.2586272274978,"[337, 338, 321, 55]"
KAB. AGAM,1778.0588556109647,"[337, 338, 142, 57, 56]"
KAB. DHARMASRAYA,1589.244015623856,"[337, 338, 142, 57]"
KAB. KEPULAUAN MENTAWAI,1862.5625604344236,"[337, 58]"
KAB. LIMA PULUH KOTA,1816.8274066118033,"[337, 338, 353, 87, 88, 59]"
KAB. PADANG PARIAMAN,1894.9298109379547,"[337, 338, 353, 87, 88, 59, 60]"
KAB. PASAMAN,1860.015123499768,"[337, 338, 353, 87, 88, 59, 61]"
KAB. PASAMAN BARAT,1917.751055365897,"[337, 338, 353, 87, 88, 59, 62]"
KAB. PESISIR SELATAN,1768.322979437185,"[337, 338, 66, 65, 63]"
KAB. SIJUNJUNG,1722.9726383175803,"[337, 338, 66, 65, 64]"
KAB. SOLOK,1684.048344533274,"[337, 338, 66, 65]"
KAB. SOLOK SELATAN,1619.715485458622,"[337, 338, 66]"
KAB. TANAH DATAR,1714.6056388186953,"[337, 338, 67]"
KOTA BUKITTINGGI,1743.4784702406162,"[337, 338, 67, 68]"
KOTA PADANG,1815.0971347948216,"[337, 338, 67, 68, 69]"
KOTA PADANGPANJANG,1800.294389151592,"[337, 338, 142, 141, 73, 71, 70]"
