city,distance,through
KAB. ACEH BARAT,815.6788616148103,"[67, 73, 74, 51, 0]"
KAB. ACEH BARAT DAYA,935.3706582479786,"[67, 73, 74, 51, 0, 1]"
KAB. ACEH BESAR,878.0174788023853,"[67, 3, 2]"
KAB. ACEH JAYA,801.7140054652866,"[67, 3]"
KAB. ACEH SELATAN,621.7385838991215,"[67, 73, 72, 5, 4]"
KAB. ACEH SINGKIL,501.06785895854017,"[67, 73, 72, 5]"
KAB. ACEH TAMIANG,709.9516201491899,"[67, 73, 72, 5, 6]"
KAB. ACEH TENGAH,687.6460569935354,"[67, 8, 7]"
KAB. ACEH TENGGARA,528.8380315119539,"[67, 8]"
KAB. ACEH TIMUR,664.1162031842459,"[67, 8, 9]"
KAB. ACEH UTARA,730.7063372727335,"[67, 8, 9, 10]"
KAB. BENER MERIAH,769.8275389722343,"[67, 8, 9, 10, 11]"
KAB. BIREUEN,820.8227125458559,"[67, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,729.0048739163502,"[67, 73, 71, 70, 13]"
KAB. NAGAN RAYA,826.099711001369,"[67, 73, 71, 70, 13, 14]"
KAB. PIDIE,898.5742368426261,"[67, 73, 74, 16, 15]"
KAB. PIDIE JAYA,869.0428402100456,"[67, 73, 74, 16]"
KAB. SIMEULUE,801.5351523972954,"[67, 73, 58, 17]"
KOTA BANDA ACEH,1040.8449468792976,"[67, 73, 72, 5, 6, 18]"
KOTA LANGSA,897.3922566225748,"[67, 8, 7, 20, 19]"
KOTA LHOKSEUMAWE,775.921035142198,"[67, 8, 7, 20]"
KOTA SABANG,929.7942416254389,"[67, 3, 2, 21]"
KOTA SUBULUSSALAM,652.5128456983905,"[67, 82, 83, 22]"
KAB. ASAHAN,721.7946255927224,"[67, 73, 74, 51, 50, 23]"
KAB. BATUBARA,716.1709647269869,"[67, 73, 74, 63, 24]"
KAB. DAIRI,643.1091443403769,"[67, 73, 74, 51, 26, 25]"
KAB. DELI SERDANG,564.6787521928153,"[67, 73, 74, 51, 26]"
KAB. HUMBANG HASUNDUTAN,624.0957964881624,"[67, 73, 71, 70, 30, 29, 27]"
KAB. KARO,645.8998757018092,"[67, 73, 71, 70, 30, 28]"
KAB. LABUHANBATU,445.79226819791825,"[67, 73, 71, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,394.18670274217857,"[67, 73, 71, 70, 30]"
KAB. LABUHANBATU UTARA,459.56089842897336,"[67, 73, 71, 70, 30, 31]"
KAB. LANGKAT,659.2188436492637,"[67, 73, 46, 45, 32]"
KAB. MANDAILING NATAL,472.4572040586827,"[67, 73, 74, 63, 33]"
KAB. NIAS,474.1907260494949,"[67, 68, 69, 34]"
KAB. NIAS BARAT,504.316846548341,"[67, 68, 69, 34, 35]"
KAB. NIAS SELATAN,512.7664743761205,"[67, 73, 58, 36]"
KAB. NIAS UTARA,595.8060221594642,"[67, 73, 58, 36, 37]"
KAB. PADANG LAWAS,587.7241827073448,"[67, 73, 71, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,569.6838711407615,"[67, 73, 74, 63, 33, 39]"
KAB. PAKPAK BHARAT,522.9064027797795,"[67, 73, 72, 41, 40]"
KAB. SAMOSIR,458.23679060981874,"[67, 73, 72, 41]"
KAB. SERDANG BEDAGAI,542.4662834410561,"[67, 73, 72, 41, 42]"
KAB. SIMALUNGUN,530.8446657243679,"[67, 73, 74, 51, 52, 43]"
KAB. TAPANULI SELATAN,501.42535019558903,"[67, 73, 46, 45, 44]"
KAB. TAPANULI TENGAH,430.78113846896537,"[67, 73, 46, 45]"
KAB. TAPANULI UTARA,381.78675431745097,"[67, 73, 46]"
KAB. TOBA SAMOSIR,421.46062653415544,"[67, 73, 46, 47]"
KOTA BINJAI,586.2619970529872,"[67, 73, 46, 47, 48]"
KOTA GUNUNGSITOLI,537.6881019277846,"[67, 68, 69, 34, 35, 49]"
KOTA MEDAN,584.3818097492876,"[67, 73, 74, 51, 50]"
KOTA PADANGSIDEMPUAN,328.3443822666354,"[67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,507.46297958347157,"[67, 73, 74, 51, 52]"
KOTA SIBOLGA,573.6115334881305,"[67, 66, 53]"
KOTA TANJUNGBALAI,738.2678724348004,"[67, 73, 74, 75, 55, 54]"
