city,distance,through
KAB. ACEH BARAT,1199.9274913779711,"[105, 106, 107, 62, 0]"
KAB. ACEH BARAT DAYA,1319.6192880111394,"[105, 106, 107, 62, 0, 1]"
KAB. ACEH BESAR,1337.6672828040464,"[105, 106, 107, 72, 5, 4, 3, 2]"
KAB. ACEH JAYA,1261.3638094669477,"[105, 106, 107, 72, 5, 4, 3]"
KAB. ACEH SELATAN,1010.8986277073093,"[105, 106, 107, 72, 5, 4]"
KAB. ACEH SINGKIL,890.2279027667279,"[105, 106, 107, 72, 5]"
KAB. ACEH TAMIANG,1099.1116639573777,"[105, 106, 107, 72, 5, 6]"
KAB. ACEH TENGAH,1139.246940129452,"[105, 106, 107, 72, 7]"
KAB. ACEH TENGGARA,1078.9275906697937,"[105, 106, 107, 72, 73, 67, 8]"
KAB. ACEH TIMUR,1214.2057623420858,"[105, 106, 107, 72, 73, 67, 8, 9]"
KAB. ACEH UTARA,1156.944745380771,"[105, 104, 10]"
KAB. BENER MERIAH,1190.7721918654295,"[105, 106, 71, 11]"
KAB. BIREUEN,1200.0115738344628,"[105, 106, 107, 44, 12]"
KAB. GAYO LUES,1114.8782150471802,"[105, 106, 107, 69, 70, 13]"
KAB. NAGAN RAYA,1211.973052132199,"[105, 106, 107, 69, 70, 13, 14]"
KAB. PIDIE,1274.4883862355841,"[105, 106, 107, 26, 16, 15]"
KAB. PIDIE JAYA,1244.9569896030036,"[105, 106, 107, 26, 16]"
KAB. SIMEULUE,1233.3908404539527,"[105, 106, 107, 54, 55, 17]"
KOTA BANDA ACEH,1430.0049906874854,"[105, 106, 107, 72, 5, 6, 18]"
KOTA LANGSA,1236.1861135136055,"[105, 125, 19]"
KOTA LHOKSEUMAWE,1191.4755759367367,"[105, 106, 107, 44, 45, 20]"
KOTA SABANG,1389.4440456271,"[105, 106, 107, 72, 5, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,1021.988104912604,"[105, 106, 107, 69, 83, 22]"
KAB. ASAHAN,1168.5606644511101,"[105, 106, 107, 26, 25, 24, 23]"
KAB. BATUBARA,1126.228086650756,"[105, 106, 107, 26, 25, 24]"
KAB. DAIRI,984.8679152374227,"[105, 106, 107, 26, 25]"
KAB. DELI SERDANG,906.4375230898611,"[105, 106, 107, 26]"
KAB. HUMBANG HASUNDUTAN,1009.9691376189925,"[105, 106, 107, 69, 70, 30, 29, 27]"
KAB. KARO,979.5117362032329,"[105, 106, 107, 54, 55, 28]"
KAB. LABUHANBATU,831.6656093287484,"[105, 106, 107, 69, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,780.0600438730087,"[105, 106, 107, 69, 70, 30]"
KAB. LABUHANBATU UTARA,845.4342395598035,"[105, 106, 107, 69, 70, 30, 31]"
KAB. LANGKAT,1010.8424917974901,"[105, 106, 107, 44, 45, 32]"
KAB. MANDAILING NATAL,950.5809315567795,"[105, 106, 107, 88, 33]"
KAB. NIAS,822.1377403443227,"[105, 106, 107, 62, 34]"
KAB. NIAS BARAT,852.2638608431687,"[105, 106, 107, 62, 34, 35]"
KAB. NIAS SELATAN,903.5016089830335,"[105, 106, 107, 62, 34, 35, 36]"
KAB. NIAS UTARA,986.5411567663772,"[105, 106, 107, 62, 34, 35, 36, 37]"
KAB. PADANG LAWAS,973.5975238381749,"[105, 106, 107, 69, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,997.3698130020583,"[105, 106, 71, 84, 39]"
KAB. PAKPAK BHARAT,912.0664465879671,"[105, 106, 107, 72, 41, 40]"
KAB. SAMOSIR,847.3968344180064,"[105, 106, 107, 72, 41]"
KAB. SERDANG BEDAGAI,914.3973742543888,"[105, 106, 107, 44, 43, 42]"
KAB. SIMALUNGUN,867.5113086416015,"[105, 106, 107, 44, 43]"
KAB. TAPANULI SELATAN,711.760574890568,"[105, 106, 107, 44]"
KAB. TAPANULI TENGAH,782.4047866171917,"[105, 106, 107, 44, 45]"
KAB. TAPANULI UTARA,831.3991707687061,"[105, 106, 107, 44, 45, 46]"
KAB. TOBA SAMOSIR,871.0730429854106,"[105, 106, 107, 44, 45, 46, 47]"
KOTA BINJAI,986.0962586717017,"[105, 106, 107, 44, 43, 52, 48]"
KOTA GUNUNGSITOLI,885.6351162226123,"[105, 106, 107, 62, 34, 35, 49]"
KOTA MEDAN,1058.6492273792928,"[105, 106, 102, 50]"
KOTA PADANGSIDEMPUAN,821.0220039140863,"[105, 106, 107, 72, 73, 74, 51]"
