city,distance,through
KAB. ACEH BARAT,845.5854965569408,"[44, 43, 52, 51, 0]"
KAB. ACEH BARAT DAYA,965.277293190109,"[44, 43, 52, 51, 0, 1]"
KAB. ACEH BESAR,747.6393036379004,"[44, 45, 20, 21, 2]"
KAB. ACEH JAYA,823.9427769749991,"[44, 45, 20, 21, 2, 3]"
KAB. ACEH SELATAN,981.3384933868916,"[44, 45, 46, 78, 4]"
KAB. ACEH SINGKIL,908.5512656212584,"[44, 45, 20, 7, 6, 5]"
KAB. ACEH TAMIANG,699.6675044306087,"[44, 45, 20, 7, 6]"
KAB. ACEH TENGAH,567.9899791948314,"[44, 45, 20, 7]"
KAB. ACEH TENGGARA,725.0843880158185,"[44, 43, 42, 11, 10, 9, 8]"
KAB. ACEH TIMUR,589.8062163435264,"[44, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,523.2160822550388,"[44, 43, 42, 11, 10]"
KAB. BENER MERIAH,484.0948805555381,"[44, 43, 42, 11]"
KAB. BIREUEN,488.2509989438948,"[44, 12]"
KAB. GAYO LUES,637.4581596437868,"[44, 12, 13]"
KAB. NAGAN RAYA,734.5529967288055,"[44, 12, 13, 14]"
KAB. PIDIE,825.8640363913407,"[44, 43, 52, 53, 16, 15]"
KAB. PIDIE JAYA,796.3326397587603,"[44, 43, 52, 53, 16]"
KAB. SIMEULUE,934.522799938627,"[44, 43, 52, 53, 54, 55, 17]"
KOTA BANDA ACEH,918.3458780926518,"[44, 45, 20, 19, 18]"
KOTA LANGSA,601.1862225265455,"[44, 45, 20, 19]"
KOTA LHOKSEUMAWE,479.71500104616877,"[44, 45, 20]"
KOTA SABANG,695.8625408148469,"[44, 45, 20, 21]"
KOTA SUBULUSSALAM,652.8227309095544,"[44, 43, 34, 35, 49, 22]"
KAB. ASAHAN,751.701260534853,"[44, 43, 52, 51, 50, 23]"
KAB. BATUBARA,772.1212737292749,"[44, 43, 39, 38, 25, 24]"
KAB. DAIRI,630.7611023159416,"[44, 43, 39, 38, 25]"
KAB. DELI SERDANG,594.5853871349458,"[44, 43, 52, 51, 26]"
KAB. HUMBANG HASUNDUTAN,691.4090182313117,"[44, 43, 39, 38, 29, 27]"
KAB. KARO,657.1921363793532,"[44, 43, 39, 38, 25, 28]"
KAB. LABUHANBATU,513.1054899410676,"[44, 43, 39, 38, 29]"
KAB. LABUHANBATU SELATAN,564.7110553968073,"[44, 43, 39, 38, 29, 30]"
KAB. LABUHANBATU UTARA,536.5578189653363,"[44, 45, 32, 31]"
KAB. LANGKAT,299.081916906922,"[44, 45, 32]"
KAB. MANDAILING NATAL,413.83075751124414,"[44, 43, 39, 33]"
KAB. NIAS,426.6625351093536,"[44, 43, 34]"
KAB. NIAS BARAT,456.78865560819963,"[44, 43, 34, 35]"
KAB. NIAS SELATAN,508.02640374806447,"[44, 43, 34, 35, 36]"
KAB. NIAS UTARA,591.0659515314081,"[44, 43, 34, 35, 36, 37]"
KAB. PADANG LAWAS,371.1735754316411,"[44, 43, 39, 38]"
KAB. PADANG LAWAS UTARA,316.60409042916535,"[44, 43, 39]"
KAB. PAKPAK BHARAT,351.5359043650187,"[44, 43, 42, 41, 40]"
KAB. SAMOSIR,286.866292195058,"[44, 43, 42, 41]"
KAB. SERDANG BEDAGAI,202.63679936382064,"[44, 43, 42]"
KAB. SIMALUNGUN,155.75073375103347,"[44, 43]"
KAB. TAPANULI SELATAN,0.0,[44]
