city,distance,through
KAB. ACEH BARAT,916.2297082835646,"[45, 44, 43, 52, 51, 0]"
KAB. ACEH BARAT DAYA,927.2899341148071,"[45, 20, 21, 2, 1]"
KAB. ACEH BESAR,676.9950919112767,"[45, 20, 21, 2]"
KAB. ACEH JAYA,753.2985652483756,"[45, 20, 21, 2, 3]"
KAB. ACEH SELATAN,910.694281660268,"[45, 46, 78, 4]"
KAB. ACEH SINGKIL,837.9070538946348,"[45, 20, 7, 6, 5]"
KAB. ACEH TAMIANG,629.023292703985,"[45, 20, 7, 6]"
KAB. ACEH TENGAH,497.3457674682078,"[45, 20, 7]"
KAB. ACEH TENGGARA,656.1537929497892,"[45, 20, 7, 8]"
KAB. ACEH TIMUR,660.4504280701501,"[45, 44, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,593.8602939816625,"[45, 44, 43, 42, 11, 10]"
KAB. BENER MERIAH,554.7390922821618,"[45, 44, 43, 42, 11]"
KAB. BIREUEN,558.8952106705185,"[45, 44, 12]"
KAB. GAYO LUES,708.1023713704105,"[45, 44, 12, 13]"
KAB. NAGAN RAYA,805.1972084554293,"[45, 44, 12, 13, 14]"
KAB. PIDIE,896.5082481179643,"[45, 44, 43, 52, 53, 16, 15]"
KAB. PIDIE JAYA,866.9768514853838,"[45, 44, 43, 52, 53, 16]"
KAB. SIMEULUE,1005.1670116652506,"[45, 44, 43, 52, 53, 54, 55, 17]"
KOTA BANDA ACEH,847.7016663660281,"[45, 20, 19, 18]"
KOTA LANGSA,530.5420107999219,"[45, 20, 19]"
KOTA LHOKSEUMAWE,409.0707893195451,"[45, 20]"
KOTA SABANG,625.2183290882232,"[45, 20, 21]"
KOTA SUBULUSSALAM,693.6641966603337,"[45, 46, 47, 48, 49, 22]"
KAB. ASAHAN,822.3454722614766,"[45, 44, 43, 52, 51, 50, 23]"
KAB. BATUBARA,839.1867070326292,"[45, 20, 28, 25, 24]"
KAB. DAIRI,697.8265356192959,"[45, 20, 28, 25]"
KAB. DELI SERDANG,665.2295988615695,"[45, 44, 43, 52, 51, 26]"
KAB. HUMBANG HASUNDUTAN,761.1968966714912,"[45, 32, 31, 30, 29, 27]"
KAB. KARO,671.3955015558843,"[45, 20, 28]"
KAB. LABUHANBATU,582.8933683812471,"[45, 32, 31, 30, 29]"
KAB. LABUHANBATU SELATAN,531.2878029255074,"[45, 32, 31, 30]"
KAB. LABUHANBATU UTARA,465.9136072387127,"[45, 32, 31]"
KAB. LANGKAT,228.43770518029834,"[45, 32]"
KAB. MANDAILING NATAL,484.4749692378678,"[45, 44, 43, 39, 33]"
KAB. NIAS,497.30674683597726,"[45, 44, 43, 34]"
KAB. NIAS BARAT,527.4328673348233,"[45, 44, 43, 34, 35]"
KAB. NIAS SELATAN,578.6706154746881,"[45, 44, 43, 34, 35, 36]"
KAB. NIAS UTARA,661.7101632580318,"[45, 44, 43, 34, 35, 36, 37]"
KAB. PADANG LAWAS,441.81778715826476,"[45, 44, 43, 39, 38]"
