city,distance,through
KAB. ACEH BARAT,4219.024973843651,"[513, 511, 510, 509, 359, 323, 0]"
KAB. ACEH BARAT DAYA,4225.354316985409,"[513, 511, 510, 509, 359, 358, 357, 1]"
KAB. ACEH BESAR,4380.2936808505965,"[513, 325, 4, 3, 2]"
KAB. ACEH JAYA,4303.990207513498,"[513, 325, 4, 3]"
KAB. ACEH SELATAN,4053.525025753859,"[513, 325, 4]"
KAB. ACEH SINGKIL,4089.1419838430984,"[513, 106, 107, 72, 5]"
KAB. ACEH TAMIANG,4011.9463105855216,"[513, 325, 6]"
KAB. ACEH TENGAH,4134.96290435198,"[513, 511, 510, 509, 359, 7]"
KAB. ACEH TENGGARA,4002.6035722744055,"[513, 511, 8]"
KAB. ACEH TIMUR,4033.841904617806,"[513, 375, 9]"
KAB. ACEH UTARA,4100.4320387062935,"[513, 375, 9, 10]"
KAB. BENER MERIAH,4109.812618827636,"[513, 375, 11]"
KAB. BIREUEN,4160.807792401257,"[513, 375, 11, 12]"
KAB. GAYO LUES,4134.3465680206245,"[513, 511, 385, 13]"
KAB. NAGAN RAYA,4227.502345907171,"[513, 511, 510, 509, 23, 24, 25, 14]"
KAB. PIDIE,4265.484474404321,"[513, 511, 510, 441, 16, 15]"
KAB. PIDIE JAYA,4235.953077771741,"[513, 511, 510, 441, 16]"
KAB. SIMEULUE,4215.989518606526,"[513, 325, 55, 17]"
KOTA BANDA ACEH,4342.839637315629,"[513, 325, 6, 18]"
KOTA LANGSA,4081.7252457332725,"[513, 511, 459, 351, 96, 97, 19]"
KOTA LHOKSEUMAWE,4154.279773270558,"[513, 511, 510, 427, 20]"
KOTA SABANG,4370.427313039236,"[513, 511, 510, 427, 20, 21]"
KOTA SUBULUSSALAM,3983.4601551266455,"[513, 511, 27, 22]"
KAB. ASAHAN,3802.511892919153,"[513, 511, 510, 509, 23]"
KAB. BATUBARA,3844.844470719507,"[513, 511, 510, 509, 23, 24]"
KAB. DAIRI,3986.2046421328405,"[513, 511, 510, 509, 23, 24, 25]"
KAB. DELI SERDANG,3990.817895717108,"[513, 375, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,3890.864658587066,"[513, 511, 27]"
KAB. KARO,3962.1104143558064,"[513, 325, 55, 28]"
KAB. LABUHANBATU,3806.084126436139,"[513, 375, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,3754.4785609803994,"[513, 375, 84, 30]"
KAB. LABUHANBATU UTARA,3815.7667163466494,"[513, 511, 447, 446, 31]"
KAB. LANGKAT,4053.2426184050637,"[513, 511, 447, 446, 31, 32]"
KAB. MANDAILING NATAL,3789.4157977210743,"[513, 325, 88, 33]"
KAB. NIAS,3974.147457508394,"[513, 325, 88, 33, 34]"
KAB. NIAS BARAT,4004.27357800724,"[513, 325, 88, 33, 34, 35]"
KAB. NIAS SELATAN,3990.2821410608813,"[513, 511, 447, 446, 36]"
KAB. NIAS UTARA,4034.8312254687025,"[513, 511, 510, 38, 37]"
KAB. PADANG LAWAS,3765.167856640698,"[513, 511, 510, 38]"
KAB. PADANG LAWAS UTARA,3793.1686290444254,"[513, 375, 84, 39]"
KAB. PAKPAK BHARAT,3948.3665338962483,"[513, 325, 88, 40]"
KAB. SAMOSIR,3957.951854335082,"[513, 368, 41]"
KAB. SERDANG BEDAGAI,3890.507039990461,"[513, 511, 510, 43, 42]"
KAB. SIMALUNGUN,3843.620974377674,"[513, 511, 510, 43]"
KAB. TAPANULI SELATAN,3860.8288521354434,"[513, 511, 447, 446, 346, 347, 44]"
KAB. TAPANULI TENGAH,3922.05349770514,"[513, 511, 459, 45]"
KAB. TAPANULI UTARA,3924.958806777965,"[513, 137, 138, 46]"
KAB. TOBA SAMOSIR,3964.6326789946697,"[513, 137, 138, 46, 47]"
KOTA BINJAI,3962.205924407774,"[513, 511, 510, 43, 52, 48]"
KOTA GUNUNGSITOLI,4037.6448333866833,"[513, 325, 88, 33, 34, 35, 49]"
KOTA MEDAN,3939.9247087625877,"[513, 511, 510, 509, 23, 50]"
KOTA PADANGSIDEMPUAN,3962.697156737353,"[513, 511, 510, 509, 322, 74, 51]"
KOTA PEMATANGSIANTAR,3867.0026605185703,"[513, 511, 510, 43, 52]"
KOTA SIBOLGA,3938.7702962888566,"[513, 137, 78, 53]"
KOTA TANJUNGBALAI,3921.972739323817,"[513, 137, 138, 54]"
KOTA TEBING TINGGI,3860.120422231412,"[513, 325, 55]"
KAB. AGAM,3729.3860982573296,"[513, 511, 447, 57, 56]"
KAB. DHARMASRAYA,3540.571258270221,"[513, 511, 447, 57]"
KAB. KEPULAUAN MENTAWAI,3825.3007109973296,"[513, 511, 66, 58]"
KAB. LIMA PULUH KOTA,3669.4369328138723,"[513, 325, 88, 59]"
KAB. PADANG PARIAMAN,3720.337086490752,"[513, 511, 459, 60]"
KAB. PASAMAN,3712.624649701837,"[513, 325, 88, 59, 61]"
KAB. PASAMAN BARAT,3770.360581567966,"[513, 325, 88, 59, 62]"
KAB. PESISIR SELATAN,3652.296069873214,"[513, 511, 447, 446, 346, 345, 63]"
KAB. SIJUNJUNG,3653.497491732963,"[513, 137, 138, 103, 65, 64]"
KAB. SOLOK,3614.5731979486573,"[513, 137, 138, 103, 65]"
KAB. SOLOK SELATAN,3566.527106149627,"[513, 511, 66]"
KAB. TANAH DATAR,3677.8929704212833,"[513, 375, 67]"
KOTA BUKITTINGGI,3706.7658018432044,"[513, 375, 67, 68]"
KOTA PADANG,3663.3554539244274,"[513, 106, 107, 69]"
KOTA PADANGPANJANG,3716.881044756586,"[513, 106, 107, 69, 70]"
KOTA PARIAMAN,3695.7484363139156,"[513, 106, 71]"
KOTA PAYAKUMBUH,3668.5388825593845,"[513, 106, 107, 72]"
KOTA SAWAHLUNTO,3668.8773410198246,"[513, 511, 385, 142, 141, 73]"
KOTA SOLOK,3677.502815086189,"[513, 511, 510, 509, 322, 74]"
KAB. BENGKALIS,3612.6775071900906,"[513, 325, 76, 75]"
KAB. INDRAGIRI HILIR,3381.581091616917,"[513, 325, 76]"
KAB. INDRAGIRI HULU,3486.0223065721348,"[513, 511, 510, 427, 77]"
KAB. KAMPAR,3620.846969994771,"[513, 137, 78]"
KAB. KEPULAUAN MERANTI,3547.110245117131,"[513, 511, 405, 393, 79]"
KAB. KUANTAN SINGINGI,3589.487565648774,"[513, 511, 510, 509, 359, 80]"
KAB. PELALAWAN,3654.5101457706696,"[513, 511, 405, 406, 407, 81]"
KAB. ROKAN HILIR,3646.0336269382533,"[513, 325, 88, 82]"
KAB. ROKAN HULU,3671.5356449381784,"[513, 325, 88, 83]"
KAB. SIAK,3538.048191218317,"[513, 375, 84]"
KOTA DUMAI,3642.871453055808,"[513, 375, 84, 85]"
KOTA PEKANBARU,3554.846954722787,"[513, 511, 86]"
KAB. BINTAN,3310.2411480642027,"[513, 511, 352, 353, 87]"
KAB. KARIMUN,3340.484571468377,"[513, 325, 88]"
KAB. KEPULAUAN ANAMBAS,3222.8243251770364,"[513, 511, 447, 89]"
KAB. LINGGA,3223.043189981692,"[513, 342, 90]"
KAB. NATUNA,3197.4760541476344,"[513, 375, 333, 91]"
KOTA BATAM,3392.2116917285975,"[513, 511, 510, 381, 339, 92]"
KOTA TANJUNG PINANG,3349.584533628987,"[513, 375, 349, 93]"
PULAU TAMBELAN KAB. BINTAN,3058.5437943586808,"[513, 511, 510, 381, 339, 94]"
PEKAJANG KAB. LINGGA,3197.295695151722,"[513, 511, 95]"
PULAU SERASAN KAB. NATUNA,2830.6668918501327,"[513, 511, 459, 351, 96]"
PULAU MIDAI KAB. NATUNA,2982.083504445749,"[513, 511, 459, 351, 96, 97]"
PULAU LAUT KAB. NATUNA,3082.257484184698,"[513, 511, 447, 98]"
KAB. BATANGHARI,3434.9737341997743,"[513, 511, 405, 99]"
