city,distance,through
KAB. ACEH BARAT,4357.895192785943,"[514, 515, 440, 0]"
KAB. ACEH BARAT DAYA,4344.950144239379,"[514, 411, 412, 363, 357, 1]"
KAB. ACEH BESAR,4482.063366108914,"[514, 385, 2]"
KAB. ACEH JAYA,4406.664700575951,"[514, 367, 3]"
KAB. ACEH SELATAN,4206.322229157288,"[514, 513, 325, 4]"
KAB. ACEH SINGKIL,4148.60269504248,"[514, 410, 5]"
KAB. ACEH TAMIANG,4164.743513988951,"[514, 513, 325, 6]"
KAB. ACEH TENGAH,4286.669509904985,"[514, 8, 7]"
KAB. ACEH TENGGARA,4127.861484423403,"[514, 8]"
KAB. ACEH TIMUR,4186.639108021235,"[514, 513, 375, 9]"
KAB. ACEH UTARA,4253.229242109723,"[514, 513, 375, 9, 10]"
KAB. BENER MERIAH,4262.609822231065,"[514, 513, 375, 11]"
KAB. BIREUEN,4283.50689558437,"[514, 430, 12]"
KAB. GAYO LUES,4232.872456881125,"[514, 385, 13]"
KAB. NAGAN RAYA,4324.863356672551,"[514, 399, 362, 14]"
KAB. PIDIE,4402.750342224756,"[514, 515, 441, 16, 15]"
KAB. PIDIE JAYA,4373.218945592176,"[514, 515, 441, 16]"
KAB. SIMEULUE,4368.786722009955,"[514, 513, 325, 55, 17]"
KOTA BANDA ACEH,4450.375697082936,"[514, 430, 96, 97, 19, 18]"
KOTA LANGSA,4133.21604151683,"[514, 430, 96, 97, 19]"
KOTA LHOKSEUMAWE,4254.687262997207,"[514, 430, 96, 97, 19, 20]"
KOTA SABANG,4448.761685402596,"[514, 430, 21]"
KOTA SUBULUSSALAM,4099.16990116504,"[514, 430, 23, 22]"
KAB. ASAHAN,3907.9554962733846,"[514, 430, 23]"
KAB. BATUBARA,3950.2880740737387,"[514, 430, 23, 24]"
KAB. DAIRI,4088.4698736302003,"[514, 430, 96, 29, 25]"
KAB. DELI SERDANG,4091.5885214712225,"[514, 410, 26]"
KAB. HUMBANG HASUNDUTAN,4043.6618619904953,"[514, 513, 511, 27]"
KAB. KARO,4096.890281420856,"[514, 430, 96, 29, 28]"
KAB. LABUHANBATU,3868.978433208594,"[514, 430, 96, 29]"
KAB. LABUHANBATU SELATAN,3873.482653824286,"[514, 446, 346, 345, 321, 30]"
KAB. LABUHANBATU UTARA,3917.0770772800624,"[514, 446, 31]"
KAB. LANGKAT,4154.552979338477,"[514, 446, 31, 32]"
KAB. MANDAILING NATAL,3942.2130011245035,"[514, 513, 325, 88, 33]"
KAB. NIAS,4105.767960054305,"[514, 430, 62, 34]"
KAB. NIAS BARAT,4135.894080553151,"[514, 430, 62, 34, 35]"
KAB. NIAS SELATAN,4091.5925019942943,"[514, 446, 36]"
KAB. NIAS UTARA,4174.632049777638,"[514, 446, 36, 37]"
KAB. PADANG LAWAS,3917.9650600441273,"[514, 513, 511, 510, 38]"
KAB. PADANG LAWAS UTARA,3923.7150253054974,"[514, 399, 362, 39]"
KAB. PAKPAK BHARAT,4101.163737299677,"[514, 513, 325, 88, 40]"
KAB. SAMOSIR,4084.71142829608,"[514, 320, 43, 42, 41]"
KAB. SERDANG BEDAGAI,4000.481935464843,"[514, 320, 43, 42]"
KAB. SIMALUNGUN,3953.595869852056,"[514, 320, 43]"
KAB. TAPANULI SELATAN,3928.0643297943056,"[514, 430, 79, 44]"
KAB. TAPANULI TENGAH,3998.7085415209294,"[514, 430, 79, 44, 45]"
KAB. TAPANULI UTARA,4023.360306571134,"[514, 410, 409, 408, 319, 46]"
KAB. TOBA SAMOSIR,4063.0341787878388,"[514, 410, 409, 408, 319, 46, 47]"
KOTA BINJAI,4072.180819882156,"[514, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,4169.265335932595,"[514, 430, 62, 34, 35, 49]"
KOTA MEDAN,4045.368312116819,"[514, 430, 23, 50]"
KOTA PADANGSIDEMPUAN,4040.569892074373,"[514, 73, 74, 51]"
KOTA PEMATANGSIANTAR,3976.977555992952,"[514, 320, 43, 52]"
KOTA SIBOLGA,4050.5045156772626,"[514, 430, 79, 78, 53]"
KOTA TANJUNGBALAI,3944.879163766141,"[514, 515, 428, 54]"
KOTA TEBING TINGGI,4012.917625634841,"[514, 513, 325, 55]"
KAB. AGAM,3848.5553501338886,"[514, 385, 142, 57, 56]"
KAB. DHARMASRAYA,3659.74051014678,"[514, 385, 142, 57]"
KAB. KEPULAUAN MENTAWAI,3958.186066671445,"[514, 73, 58]"
KAB. LIMA PULUH KOTA,3822.2341362173015,"[514, 513, 325, 88, 59]"
KAB. PADANG PARIAMAN,3873.134289894181,"[514, 513, 511, 459, 60]"
KAB. PASAMAN,3832.6819445241185,"[514, 430, 79, 61]"
KAB. PASAMAN BARAT,3874.3888116236412,"[514, 430, 62]"
KAB. PESISIR SELATAN,3753.606430806628,"[514, 446, 346, 345, 63]"
KAB. SIJUNJUNG,3786.7604149813114,"[514, 410, 381, 137, 138, 103, 65, 64]"
KAB. SOLOK,3747.8361211970055,"[514, 410, 381, 137, 138, 103, 65]"
KAB. SOLOK SELATAN,3700.668485849582,"[514, 410, 381, 137, 66]"
KAB. TANAH DATAR,3769.6374473181268,"[514, 73, 67]"
KOTA BUKITTINGGI,3798.510278740048,"[514, 73, 67, 68]"
KOTA PADANG,3799.2973400065666,"[514, 410, 381, 339, 107, 69]"
KOTA PADANGPANJANG,3844.3191323571223,"[514, 73, 71, 70]"
KOTA PARIAMAN,3808.9554304362205,"[514, 73, 71]"
KOTA PAYAKUMBUH,3792.6902674825637,"[514, 73, 72]"
KOTA SAWAHLUNTO,3740.931478562932,"[514, 73]"
KOTA SOLOK,3755.375550423209,"[514, 73, 74]"
KAB. BENGKALIS,3765.47471059352,"[514, 513, 325, 76, 75]"
KAB. INDRAGIRI HILIR,3534.3782950203463,"[514, 513, 325, 76]"
KAB. INDRAGIRI HULU,3634.361261149854,"[514, 515, 428, 427, 77]"
KAB. KAMPAR,3732.581189383177,"[514, 430, 79, 78]"
KAB. KEPULAUAN MERANTI,3544.30715918265,"[514, 430, 79]"
KAB. KUANTAN SINGINGI,3742.0098579379,"[514, 430, 79, 80]"
KAB. PELALAWAN,3807.307349174099,"[514, 513, 511, 405, 406, 407, 81]"
KAB. ROKAN HILIR,3798.8308303416825,"[514, 513, 325, 88, 82]"
KAB. ROKAN HULU,3824.3328483416076,"[514, 513, 325, 88, 83]"
KAB. SIAK,3673.638962940963,"[514, 446, 346, 345, 321, 84]"
KOTA DUMAI,3778.4622247784546,"[514, 446, 346, 345, 321, 84, 85]"
KOTA PEKANBARU,3707.644158126216,"[514, 513, 511, 86]"
KAB. BINTAN,3463.038351467632,"[514, 513, 511, 352, 353, 87]"
KAB. KARIMUN,3493.281774871806,"[514, 513, 325, 88]"
KAB. KEPULAUAN ANAMBAS,3370.400593713871,"[514, 410, 409, 408, 447, 89]"
KAB. LINGGA,3367.1205430654663,"[514, 399, 362, 90]"
KAB. NATUNA,3304.9018464038145,"[514, 385, 386, 91]"
KOTA BATAM,3455.6459822429424,"[514, 411, 93, 92]"
KOTA TANJUNG PINANG,3403.998082178954,"[514, 411, 93]"
PULAU TAMBELAN KAB. BINTAN,3127.411294110539,"[514, 410, 381, 339, 94]"
PEKAJANG KAB. LINGGA,3350.0928985551514,"[514, 513, 511, 95]"
PULAU SERASAN KAB. NATUNA,2882.1576876336903,"[514, 430, 96]"
PULAU MIDAI KAB. NATUNA,3033.5743002293066,"[514, 430, 96, 97]"
PULAU LAUT KAB. NATUNA,3180.309492073458,"[514, 399, 362, 98]"
KAB. BATANGHARI,3587.7709376032035,"[514, 513, 511, 405, 99]"
KAB. BUNGO,3647.2039244180737,"[514, 513, 100]"
KAB. KERINCI,3659.560856862045,"[514, 385, 101]"
KAB. MERANGIN,3631.51016652431,"[514, 410, 381, 137, 138, 103, 102]"
KAB. MUARO JAMBI,3415.4824758299233,"[514, 410, 381, 137, 138, 103]"
KAB. SAROLANGUN,3561.9082129703283,"[514, 394, 104]"
KAB. TANJUNG JABUNG BARAT,3482.2908839597185,"[514, 399, 105]"
KAB. TANJUNG JABUNG TIMUR,3433.958886793411,"[514, 513, 106]"
KAB. TEBO,3582.0288127309896,"[514, 410, 381, 339, 107]"
KOTA JAMBI,3486.345336597655,"[514, 513, 511, 510, 108]"
KOTA SUNGAI PENUH,3663.593924073006,"[514, 385, 142, 109]"
KAB. BENGKULU SELATAN,3498.0742004929616,"[514, 385, 142, 110]"
KAB. BENGKULU TENGAH,3564.357758897251,"[514, 410, 381, 341, 149, 111]"
KAB. BENGKULU UTARA,3607.6573546879144,"[514, 385, 390, 139, 112]"
KAB. KAUR,3450.9468435833055,"[514, 113]"
KAB. KEPAHIANG,3571.847221241923,"[514, 113, 114]"
KAB. LEBONG,3574.611311125839,"[514, 410, 115]"
KAB. MUKOMUKO,3665.1762403934576,"[514, 385, 390, 139, 116]"
KAB. REJANG LEBONG,3579.191782355124,"[514, 446, 118, 117]"
KAB. SELUMA,3512.8239860773674,"[514, 446, 118]"
KOTA BENGKULU,3570.6110062515672,"[514, 446, 118, 119]"
KAB. BANYUASIN,3363.037311096703,"[514, 513, 511, 510, 120]"
KAB. EMPAT LAWANG,3508.2349110206655,"[514, 410, 381, 341, 149, 121]"
KAB. LAHAT,3470.824039351704,"[514, 385, 390, 139, 122]"
KAB. MUARA ENIM,3414.7695013754064,"[514, 385, 142, 141, 140, 123]"
KAB. MUSI BANYUASIN,3482.5827595919573,"[514, 399, 400, 332, 124]"
KAB. MUSI RAWAS,3469.2620276489315,"[514, 446, 125]"
KAB. MUSI RAWAS UTARA,3522.5996397679114,"[514, 446, 125, 126]"
KAB. OGAN ILIR,3358.479443332559,"[514, 385, 142, 141, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,3290.981675930302,"[514, 385, 142, 141, 140, 128]"
KAB. OGAN KOMERING ULU,3419.9660332759813,"[514, 513, 511, 129]"
KAB. OGAN KOMERING ULU SELATAN,3409.2387107914865,"[514, 385, 142, 130]"
KAB. OGAN KOMERING ULU TIMUR,3344.274827910407,"[514, 513, 511, 391, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,3366.547428940442,"[514, 446, 132]"
KOTA LUBUKLINGGAU,3494.3864683189067,"[514, 446, 132, 133]"
KOTA PAGAR ALAM,3457.8138766115535,"[514, 410, 134]"
KOTA PALEMBANG,3296.593317777471,"[514, 410, 381, 341, 135]"
KOTA PRABUMULIH,3373.6406755639377,"[514, 410, 381, 341, 135, 136]"
KAB. BANGKA,3179.0384611474615,"[514, 410, 381, 137]"
KAB. BANGKA BARAT,3226.1438076408326,"[514, 410, 381, 137, 138]"
KAB. BANGKA SELATAN,3108.9690152070084,"[514, 385, 390, 139]"
KAB. BANGKA TENGAH,3130.5257638174244,"[514, 385, 142, 141, 140]"
KAB. BELITUNG,2953.7628319515884,"[514, 385, 142, 141]"
KAB. BELITUNG TIMUR,2908.612818010036,"[514, 385, 142]"
KOTA PANGKAL PINANG,3148.103072708628,"[514, 385, 142, 143]"
KAB. LAMPUNG TENGAH,3230.408090775285,"[514, 410, 409, 144]"
KAB. LAMPUNG UTARA,3292.584806076853,"[514, 410, 409, 144, 145]"
KAB. LAMPUNG SELATAN,3204.90613269397,"[514, 410, 146]"
KAB. LAMPUNG BARAT,3367.9608146092764,"[514, 410, 146, 147]"
KAB. LAMPUNG TIMUR,3290.492103772791,"[514, 399, 217, 148]"
KAB. MESUJI,3238.4939067082887,"[514, 410, 381, 341, 149]"
KAB. PESAWARAN,3326.119873854034,"[514, 411, 382, 239, 150]"
KAB. PESISIR BARAT,3372.506586456131,"[514, 446, 152, 151]"
KAB. PRINGSEWU,3276.941096727978,"[514, 446, 152]"
KAB. TULANG BAWANG,3307.4074432225652,"[514, 446, 154, 153]"
KAB. TULANG BAWANG BARAT,3255.2777419952517,"[514, 446, 154]"
KAB. TANGGAMUS,3311.736592887649,"[514, 410, 155]"
KAB. WAY KANAN,3379.9974541745423,"[514, 513, 511, 352, 353, 156]"
KOTA BANDAR LAMPUNG,3301.3636688606125,"[514, 411, 382, 383, 158, 157]"
KOTA METRO,3269.984830018097,"[514, 411, 382, 383, 158]"
KAB. LEBAK,3158.8767580814383,"[514, 411, 382, 194, 159]"
KAB. PANDEGLANG,3212.821280152357,"[514, 411, 382, 160]"
KAB. SERANG,3163.6136943192696,"[514, 410, 409, 162, 161]"
KAB. TANGERANG,3113.8934262995044,"[514, 410, 409, 162]"
KOTA CILEGON,3167.9150414173055,"[514, 394, 165, 164, 163]"
KOTA SERANG,3147.1836532580287,"[514, 394, 165, 164]"
KOTA TANGERANG,3092.196119560538,"[514, 394, 165]"
KOTA TANGERANG SELATAN,3103.299233119296,"[514, 394, 165, 166]"
KAB. BANDUNG,2998.4445496642143,"[514, 410, 167]"
KAB. BANDUNG BARAT,3031.585185837436,"[514, 410, 167, 168]"
KAB. BEKASI,3098.6961621557252,"[514, 385, 198, 169]"
KAB. BOGOR,3114.6489250169784,"[514, 394, 182, 170]"
KAB. CIAMIS,2998.9245327620524,"[514, 290, 171]"
KAB. CIANJUR,3065.494569171201,"[514, 411, 382, 173, 172]"
KAB. CIREBON,2905.9492176029844,"[514, 411, 382, 173]"
KAB. GARUT,2999.543938009222,"[514, 411, 258, 241, 174]"
KAB. INDRAMAYU,3021.3493151400908,"[514, 513, 511, 459, 396, 395, 175]"
KAB. KARAWANG,3094.703736532665,"[514, 249, 176]"
KAB. KUNINGAN,2989.184120014723,"[514, 410, 381, 341, 177]"
KAB. MAJALENGKA,2975.3745284575252,"[514, 399, 217, 178]"
KAB. PANGANDARAN,2919.912878697444,"[514, 411, 258, 241, 179]"
KAB. PURWAKARTA,3085.7086134411215,"[514, 411, 258, 241, 179, 180]"
KAB. SUBANG,3086.981647508792,"[514, 513, 511, 405, 384, 181]"
KAB. SUKABUMI,3064.6860518500766,"[514, 394, 182]"
KAB. SUMEDANG,3022.1889581060605,"[514, 411, 382, 209, 208, 183]"
KAB. TASIKMALAYA,2971.432738540521,"[514, 411, 258, 241, 219, 220, 184]"
KOTA BANDUNG,2994.6127472661865,"[514, 410, 185]"
KOTA BANJAR,2905.2846806308826,"[514, 411, 186]"
KOTA BEKASI,3094.2341090207588,"[514, 411, 258, 241, 187]"
KOTA BOGOR,3089.729118725567,"[514, 410, 189, 188]"
KOTA CIMAHI,3002.4864269971094,"[514, 410, 189]"
KOTA CIREBON,3019.434874349513,"[514, 513, 511, 510, 509, 398, 190]"
KOTA DEPOK,3148.295062021444,"[514, 410, 193, 192, 191]"
KOTA SUKABUMI,3088.00032537097,"[514, 410, 193, 192]"
KOTA TASIKMALAYA,2938.3975532588033,"[514, 410, 193]"
KOTA JAKARTA,3078.503927939574,"[514, 411, 382, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,3146.842363832788,"[514, 411, 382, 194, 195]"
KAB. BANJARNEGARA,2872.9657608851603,"[514, 411, 258, 252, 253, 196]"
KAB. BANYUMAS,2879.5302823112543,"[514, 385, 198, 197]"
KAB. BATANG,2782.0806839989814,"[514, 385, 198]"
KAB. BLORA,2705.4300013654015,"[514, 411, 382, 383, 275, 199]"
KAB. BOYOLALI,2675.789842722994,"[514, 411, 200]"
KAB. BREBES,2879.6749226191987,"[514, 411, 200, 201]"
KAB. CILACAP,2898.1824359955435,"[514, 411, 382, 239, 203, 202]"
KAB. DEMAK,2689.0879805370273,"[514, 411, 382, 239, 203]"
KAB. GROBOGAN,2711.882840774081,"[514, 513, 511, 405, 204]"
KAB. JEPARA,2763.2864418877225,"[514, 446, 245, 205]"
KAB. KARANGANYAR,2722.5165509656845,"[514, 411, 413, 206]"
KAB. KEBUMEN,2806.570699738761,"[514, 411, 200, 224, 207]"
KAB. KENDAL,2774.57964538661,"[514, 411, 382, 209, 208]"
KAB. KLATEN,2686.869807945206,"[514, 411, 382, 209]"
KAB. KUDUS,2745.350060654288,"[514, 411, 382, 380, 210]"
KAB. MAGELANG,2755.9011286247664,"[514, 411, 258, 241, 212, 211]"
KAB. PATI,2642.34568261309,"[514, 411, 258, 241, 212]"
KAB. PEKALONGAN,2803.812551811752,"[514, 411, 258, 241, 212, 213]"
KAB. PEMALANG,2824.843508494129,"[514, 411, 258, 241, 212, 213, 214]"
KAB. PURBALINGGA,2852.1974604486904,"[514, 411, 258, 241, 212, 213, 214, 215]"
KAB. PURWOREJO,2798.4897269499343,"[514, 385, 390, 216]"
KAB. REMBANG,2628.394517144307,"[514, 399, 217]"
KAB. SEMARANG,2708.353678942912,"[514, 411, 258, 241, 219, 218]"
KAB. SRAGEN,2642.91574136856,"[514, 411, 258, 241, 219]"
KAB. SUKOHARJO,2672.5121969991264,"[514, 411, 258, 241, 219, 220]"
KAB. TEGAL,2866.7497800694055,"[514, 411, 258, 241, 212, 213, 214, 221]"
KAB. TEMANGGUNG,2850.7679862596415,"[514, 410, 403, 379, 222]"
KAB. WONOGIRI,2751.129330300726,"[514, 411, 382, 380, 223]"
KAB. WONOSOBO,2763.0382777235473,"[514, 411, 200, 224]"
KOTA MAGELANG,2800.3667642166456,"[514, 411, 200, 224, 225]"
KOTA PEKALONGAN,2822.1406754363697,"[514, 399, 217, 226]"
KOTA SALATIGA,2737.473275126762,"[514, 411, 382, 239, 203, 227]"
KOTA SEMARANG,2774.478020035508,"[514, 411, 382, 239, 203, 227, 228]"
KOTA SURAKARTA,2730.025604609102,"[514, 411, 258, 259, 266, 267, 268, 229]"
KOTA TEGAL,2888.4512236013256,"[514, 249, 248, 230]"
KAB. BANTUL,2733.33894762495,"[514, 411, 258, 241, 232, 231]"
KAB. GUNUNGKIDUL,2704.3060298295795,"[514, 411, 258, 241, 232]"
KAB. KULON PROGO,2759.0813480954953,"[514, 411, 258, 241, 232, 233]"
KAB. SLEMAN,2742.4780988814005,"[514, 410, 409, 261, 235, 234]"
KOTA YOGYAKARTA,2734.5807024036626,"[514, 410, 409, 261, 235]"
KAB. BANGKALAN,2443.855353900976,"[514, 411, 382, 383, 236]"
KAB. BANYUWANGI,2570.202610145911,"[514, 513, 511, 510, 296, 237]"
KAB. BLITAR,2587.762383000215,"[514, 290, 255, 238]"
KAB. BOJONEGORO,2560.388951432752,"[514, 411, 382, 239]"
KAB. BONDOWOSO,2619.5754053148735,"[514, 411, 258, 259, 240]"
KAB. GRESIK,2467.827401818046,"[514, 411, 258, 241]"
KAB. JEMBER,2461.0293970209264,"[514, 309, 282, 281, 242]"
