city,distance,through
KAB. ACEH BARAT,1493.8681862906435,"[154, 153, 123, 62, 0]"
KAB. ACEH BARAT DAYA,1613.5599829238117,"[154, 153, 123, 62, 0, 1]"
KAB. ACEH BESAR,1607.529843106761,"[154, 153, 2]"
KAB. ACEH JAYA,1543.1858910713008,"[154, 153, 3]"
KAB. ACEH SELATAN,1299.5787378229043,"[154, 153, 5, 4]"
KAB. ACEH SINGKIL,1178.9080128823227,"[154, 153, 5]"
KAB. ACEH TAMIANG,1351.9276263145107,"[154, 153, 123, 124, 86, 6]"
KAB. ACEH TENGAH,1433.6810898151807,"[154, 153, 67, 8, 7]"
KAB. ACEH TENGGARA,1274.8730643335991,"[154, 153, 67, 8]"
KAB. ACEH TIMUR,1410.1512360058912,"[154, 153, 67, 8, 9]"
KAB. ACEH UTARA,1476.741370094379,"[154, 153, 67, 8, 9, 10]"
KAB. BENER MERIAH,1506.384693512211,"[154, 153, 123, 52, 43, 42, 11]"
KAB. BIREUEN,1527.020162759884,"[154, 153, 123, 124, 44, 12]"
KAB. GAYO LUES,1431.2961184516598,"[154, 155, 99, 13]"
KAB. NAGAN RAYA,1444.5670650418765,"[154, 153, 120, 25, 14]"
KAB. PIDIE,1566.5924271260599,"[154, 153, 120, 25, 14, 15]"
KAB. PIDIE JAYA,1588.4711215775556,"[154, 153, 123, 124, 66, 53, 16]"
KAB. SIMEULUE,1399.8313058225779,"[154, 155, 17]"
KOTA BANDA ACEH,1682.8209530446184,"[154, 153, 123, 124, 86, 6, 18]"
KOTA LANGSA,1473.7714691429119,"[154, 153, 123, 124, 125, 19]"
KOTA LHOKSEUMAWE,1492.025107567297,"[154, 153, 120, 25, 28, 20]"
KOTA SABANG,1659.3066059298146,"[154, 153, 2, 21]"
KOTA SUBULUSSALAM,1287.8150730215011,"[154, 155, 132, 22]"
KAB. ASAHAN,1279.3272248974429,"[154, 153, 120, 92, 24, 23]"
KAB. BATUBARA,1236.9946470970888,"[154, 153, 120, 92, 24]"
KAB. DAIRI,1203.2693612675462,"[154, 153, 120, 25]"
KAB. DELI SERDANG,1281.6997534151078,"[154, 153, 120, 25, 26]"
KAB. HUMBANG HASUNDUTAN,1236.8095065348757,"[154, 153, 123, 124, 86, 85, 27]"
KAB. KARO,1229.700395330958,"[154, 153, 120, 25, 28]"
KAB. LABUHANBATU,1090.5095507097058,"[154, 155, 99, 29]"
KAB. LABUHANBATU SELATAN,1061.4824865389915,"[154, 153, 123, 122, 84, 30]"
KAB. LABUHANBATU UTARA,1126.8566822257862,"[154, 153, 123, 122, 84, 30, 31]"
KAB. LANGKAT,1263.0567221027939,"[154, 153, 32]"
KAB. MANDAILING NATAL,1137.6775017230757,"[154, 153, 123, 124, 66, 65, 63, 33]"
KAB. NIAS,1116.078435256995,"[154, 153, 123, 62, 34]"
KAB. NIAS BARAT,1146.204555755841,"[154, 153, 123, 62, 34, 35]"
KAB. NIAS SELATAN,1116.814860069468,"[154, 153, 58, 36]"
KAB. NIAS UTARA,1186.5279132217727,"[154, 153, 120, 37]"
KAB. PADANG LAWAS,1065.4457957671336,"[154, 155, 132, 133, 38]"
KAB. PADANG LAWAS UTARA,1100.1725546030175,"[154, 153, 123, 122, 84, 39]"
KAB. PAKPAK BHARAT,1268.9414356014247,"[154, 153, 67, 73, 72, 41, 40]"
KAB. SAMOSIR,1204.2718234314639,"[154, 153, 67, 73, 72, 41]"
KAB. SERDANG BEDAGAI,1224.9266123204936,"[154, 153, 123, 52, 43, 42]"
KAB. SIMALUNGUN,1178.0405467077064,"[154, 153, 123, 52, 43]"
KAB. TAPANULI SELATAN,1038.7691638159893,"[154, 153, 123, 124, 44]"
KAB. TAPANULI TENGAH,1103.8422241234682,"[154, 153, 46, 45]"
KAB. TAPANULI UTARA,1054.8478399719538,"[154, 153, 46]"
KAB. TOBA SAMOSIR,1085.63664220344,"[154, 153, 123, 47]"
KOTA BINJAI,1249.8621244560138,"[154, 153, 123, 52, 48]"
KOTA GUNUNGSITOLI,1172.7123865050046,"[154, 153, 123, 124, 66, 65, 49]"
KOTA MEDAN,1310.6435005314434,"[154, 153, 120, 102, 50]"
KOTA PADANGSIDEMPUAN,1074.3794150882807,"[154, 153, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1154.65886056681,"[154, 153, 123, 52]"
KOTA SIBOLGA,1111.9572964774359,"[154, 153, 123, 124, 66, 53]"
KOTA TANJUNGBALAI,1153.7410058290207,"[154, 153, 123, 122, 54]"
KOTA TEBING TINGGI,1235.477753500579,"[154, 153, 123, 122, 54, 55]"
KAB. AGAM,925.3543529198787,"[154, 153, 123, 124, 125, 126, 109, 56]"
KAB. DHARMASRAYA,921.2338273527355,"[154, 153, 123, 124, 125, 118, 57]"
KAB. KEPULAUAN MENTAWAI,850.0089425570552,"[154, 153, 58]"
KAB. LIMA PULUH KOTA,901.3307178214803,"[154, 153, 120, 61, 59]"
KAB. PADANG PARIAMAN,892.3775509288664,"[154, 155, 132, 133, 60]"
KAB. PASAMAN,858.1430009335159,"[154, 153, 120, 61]"
KAB. PASAMAN BARAT,884.6992868263306,"[154, 153, 123, 62]"
KAB. PESISIR SELATAN,815.448265629022,"[154, 153, 123, 124, 66, 65, 63]"
KAB. SIJUNJUNG,770.0979245094171,"[154, 153, 123, 124, 66, 65, 64]"
KAB. SOLOK,731.1736307251109,"[154, 153, 123, 124, 66, 65]"
KAB. SOLOK SELATAN,666.8407716504589,"[154, 153, 123, 124, 66]"
KAB. TANAH DATAR,746.0350328216452,"[154, 153, 67]"
KOTA BUKITTINGGI,774.9078642435662,"[154, 153, 67, 68]"
KOTA PADANG,846.5265287977718,"[154, 153, 67, 68, 69]"
KOTA PADANGPANJANG,876.4954517012288,"[154, 153, 123, 124, 125, 70]"
KOTA PARIAMAN,842.7649534501281,"[154, 153, 67, 73, 71]"
KOTA PAYAKUMBUH,826.4997904964713,"[154, 153, 67, 73, 72]"
KOTA SAWAHLUNTO,774.7410015768397,"[154, 153, 67, 73]"
KOTA SOLOK,789.1850734371167,"[154, 153, 67, 73, 74]"
KAB. BENGKALIS,1056.3668667779461,"[154, 153, 67, 73, 74, 75]"
KAB. INDRAGIRI HILIR,1208.4524038996462,"[154, 153, 123, 122, 84, 78, 77, 76]"
KAB. INDRAGIRI HULU,1103.6417358802444,"[154, 153, 123, 122, 84, 78, 77]"
