city,distance,through
KAB. ACEH BARAT,4588.325350615787,"[498, 505, 373, 374, 364, 359, 323, 0]"
KAB. ACEH BARAT DAYA,4479.99369449774,"[498, 463, 357, 1]"
KAB. ACEH BESAR,4690.110077500225,"[498, 505, 373, 97, 19, 20, 21, 2]"
KAB. ACEH JAYA,4657.44786425749,"[498, 505, 373, 374, 325, 4, 3]"
KAB. ACEH SELATAN,4406.982682497852,"[498, 505, 373, 374, 325, 4]"
KAB. ACEH SINGKIL,4407.770044922038,"[498, 505, 373, 372, 371, 5]"
KAB. ACEH TAMIANG,4365.403967329515,"[498, 505, 373, 374, 325, 6]"
KAB. ACEH TENGAH,4468.526088648003,"[498, 463, 26, 7]"
KAB. ACEH TENGGARA,4400.942549422619,"[498, 505, 373, 327, 328, 8]"
KAB. ACEH TIMUR,4361.801511137564,"[498, 505, 373, 374, 375, 9]"
KAB. ACEH UTARA,4403.179229094958,"[498, 505, 373, 374, 10]"
KAB. BENER MERIAH,4437.772225347393,"[498, 505, 373, 374, 375, 11]"
KAB. BIREUEN,4488.767398921014,"[498, 505, 373, 374, 375, 11, 12]"
KAB. GAYO LUES,4385.392765434572,"[498, 463, 13]"
KAB. NAGAN RAYA,4482.48760251959,"[498, 463, 13, 14]"
KAB. PIDIE,4599.817642247252,"[498, 463, 26, 16, 15]"
KAB. PIDIE JAYA,4570.286245614671,"[498, 463, 26, 16]"
KAB. SIMEULUE,4536.874072298345,"[498, 463, 55, 17]"
KOTA BANDA ACEH,4617.874208994223,"[498, 505, 373, 97, 19, 18]"
KOTA LANGSA,4300.714553428117,"[498, 505, 373, 97, 19]"
KOTA LHOKSEUMAWE,4422.185774908494,"[498, 505, 373, 97, 19, 20]"
KOTA SABANG,4638.333314677172,"[498, 505, 373, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,4321.824748514513,"[498, 84, 83, 22]"
KAB. ASAHAN,4172.398827533827,"[498, 463, 357, 23]"
KAB. BATUBARA,4214.731405334181,"[498, 463, 357, 23, 24]"
KAB. DAIRI,4309.426002111038,"[498, 463, 55, 28, 25]"
KAB. DELI SERDANG,4231.766779101528,"[498, 463, 26]"
KAB. HUMBANG HASUNDUTAN,4256.856694092258,"[498, 84, 85, 27]"
KAB. KARO,4282.994968047626,"[498, 463, 55, 28]"
KAB. LABUHANBATU,4100.254206346577,"[498, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,4048.6486408908377,"[498, 84, 30]"
KAB. LABUHANBATU UTARA,4114.022836577632,"[498, 84, 30, 31]"
KAB. LANGKAT,4347.5105970276,"[498, 84, 32]"
KAB. MANDAILING NATAL,4136.256528821064,"[498, 505, 373, 374, 375, 33]"
KAB. NIAS,4320.988188608384,"[498, 505, 373, 374, 375, 33, 34]"
KAB. NIAS BARAT,4351.11430910723,"[498, 505, 373, 374, 375, 33, 34, 35]"
KAB. NIAS SELATAN,4402.352057247094,"[498, 505, 373, 374, 375, 33, 34, 35, 36]"
KAB. NIAS UTARA,4329.400082651598,"[498, 505, 37]"
KAB. PADANG LAWAS,4059.790217550291,"[498, 505, 38]"
KAB. PADANG LAWAS UTARA,4087.3387089548637,"[498, 84, 39]"
KAB. PAKPAK BHARAT,4275.7972786011605,"[498, 84, 39, 40]"
KAB. SAMOSIR,4282.455177251263,"[498, 505, 373, 374, 43, 42, 41]"
KAB. SERDANG BEDAGAI,4198.225684420026,"[498, 505, 373, 374, 43, 42]"
KAB. SIMALUNGUN,4151.339618807238,"[498, 505, 373, 374, 43]"
KAB. TAPANULI SELATAN,4191.564926818821,"[498, 463, 357, 79, 44]"
KAB. TAPANULI TENGAH,4195.088711494459,"[498, 505, 46, 45]"
KAB. TAPANULI UTARA,4146.094327342945,"[498, 505, 46]"
KAB. TOBA SAMOSIR,4185.7681995596495,"[498, 505, 46, 47]"
KOTA BINJAI,4269.760704293542,"[498, 505, 373, 374, 52, 48]"
KOTA GUNUNGSITOLI,4370.827024468973,"[498, 463, 357, 49]"
KOTA MEDAN,4309.811643377262,"[498, 463, 357, 23, 50]"
KOTA PADANGSIDEMPUAN,4288.23529419614,"[498, 338, 142, 141, 73, 74, 51]"
KOTA PEMATANGSIANTAR,4174.557440404338,"[498, 505, 373, 374, 52]"
KOTA SIBOLGA,4215.889646666616,"[498, 78, 53]"
KOTA TANJUNGBALAI,4199.280553195268,"[498, 463, 428, 54]"
KOTA TEBING TINGGI,4181.004975923231,"[498, 463, 55]"
KAB. AGAM,4069.749000938262,"[498, 338, 142, 57, 56]"
KAB. DHARMASRAYA,3880.934160951153,"[498, 338, 142, 57]"
KAB. KEPULAUAN MENTAWAI,4170.179235633621,"[498, 338, 66, 58]"
KAB. LIMA PULUH KOTA,4022.8945895578654,"[498, 505, 373, 374, 325, 88, 59]"
KAB. PADANG PARIAMAN,4100.996993884017,"[498, 505, 373, 374, 325, 88, 59, 60]"
KAB. PASAMAN,4066.08230644583,"[498, 505, 373, 374, 325, 88, 59, 61]"
KAB. PASAMAN BARAT,4123.818238311959,"[498, 505, 373, 374, 325, 88, 59, 62]"
KAB. PESISIR SELATAN,3966.137578335466,"[498, 505, 373, 345, 63]"
KAB. SIJUNJUNG,3950.0582290414377,"[498, 505, 373, 374, 64]"
KAB. SOLOK,3965.746513598767,"[498, 505, 373, 345, 65]"
KAB. SOLOK SELATAN,3911.4056307859187,"[498, 338, 66]"
KAB. TANAH DATAR,3967.901724654922,"[498, 505, 67]"
KOTA BUKITTINGGI,3996.774556076843,"[498, 505, 67, 68]"
KOTA PADANG,4068.3932206310487,"[498, 505, 67, 68, 69]"
KOTA PADANGPANJANG,4091.9845344788887,"[498, 338, 142, 141, 73, 71, 70]"
KOTA PARIAMAN,4056.620832557987,"[498, 338, 142, 141, 73, 71]"
KOTA PAYAKUMBUH,4040.35566960433,"[498, 338, 142, 141, 73, 72]"
KOTA SAWAHLUNTO,3988.5968806846986,"[498, 338, 142, 141, 73]"
KOTA SOLOK,4003.0409525449754,"[498, 338, 142, 141, 73, 74]"
KAB. BENGKALIS,3966.1351639340837,"[498, 505, 373, 374, 325, 76, 75]"
KAB. INDRAGIRI HILIR,3735.03874836091,"[498, 505, 373, 374, 325, 76]"
KAB. INDRAGIRI HULU,3839.849416380312,"[498, 505, 373, 374, 325, 76, 77]"
KAB. KAMPAR,3897.9663203725295,"[498, 78]"
KAB. KEPULAUAN MERANTI,3807.8077562071653,"[498, 463, 357, 79]"
KAB. KUANTAN SINGINGI,3958.7879424209095,"[498, 505, 373, 374, 364, 359, 80]"
KAB. PELALAWAN,4037.846822185459,"[498, 338, 142, 57, 81]"
KAB. ROKAN HILIR,3999.4912836822464,"[498, 505, 373, 374, 325, 88, 82]"
KAB. ROKAN HULU,3985.3699243534766,"[498, 84, 83]"
KAB. SIAK,3832.218271128755,"[498, 84]"
KOTA DUMAI,3937.0415329662465,"[498, 84, 85]"
KOTA PEKANBARU,3920.216364754236,"[498, 505, 373, 345, 321, 86]"
KAB. BINTAN,3651.521992067527,"[498, 338, 353, 87]"
KAB. KARIMUN,3693.94222821237,"[498, 505, 373, 374, 325, 88]"
KAB. KEPULAUAN ANAMBAS,3690.799383830377,"[498, 463, 464, 445, 89]"
KAB. LINGGA,3578.3936904115108,"[498, 505, 373, 374, 375, 90]"
KAB. NATUNA,3289.7207212134504,"[498, 505, 373, 372, 371, 91]"
KOTA BATAM,3729.1920402127334,"[498, 505, 373, 374, 375, 349, 93, 92]"
KOTA TANJUNG PINANG,3677.5441401487446,"[498, 505, 373, 374, 375, 349, 93]"
PULAU TAMBELAN KAB. BINTAN,3428.530162561726,"[498, 505, 400, 332, 333, 334, 94]"
PEKAJANG KAB. LINGGA,3665.36562176695,"[498, 463, 428, 318, 317, 95]"
PULAU SERASAN KAB. NATUNA,3208.360122673076,"[498, 505, 373, 374, 364, 359, 351, 96]"
PULAU MIDAI KAB. NATUNA,3201.0728121405937,"[498, 505, 373, 97]"
PULAU LAUT KAB. NATUNA,3219.5958100885045,"[498, 505, 373, 98]"
