city,distance,through
KAB. ACEH BARAT,2117.7637098956207,"[224, 207, 176, 133, 60, 61, 62, 0]"
KAB. ACEH BARAT DAYA,2027.5526456671446,"[224, 225, 216, 140, 1]"
KAB. ACEH BESAR,2214.207165108445,"[224, 116, 69, 70, 4, 3, 2]"
KAB. ACEH JAYA,2137.9036917713465,"[224, 116, 69, 70, 4, 3]"
KAB. ACEH SELATAN,1887.4385100117083,"[224, 116, 69, 70, 4]"
KAB. ACEH SINGKIL,1803.3687449888942,"[224, 225, 215, 221, 153, 5]"
KAB. ACEH TAMIANG,1934.2861340756767,"[224, 116, 69, 70, 6]"
KAB. ACEH TENGAH,2019.6323759326442,"[224, 27, 26, 7]"
KAB. ACEH TENGGARA,1870.3581354989394,"[224, 207, 176, 101, 8]"
KAB. ACEH TIMUR,1923.0987725739838,"[224, 88, 9]"
KAB. ACEH UTARA,1989.6889066624715,"[224, 88, 9, 10]"
KAB. BENER MERIAH,2026.4220965825039,"[224, 207, 176, 11]"
KAB. BIREUEN,2077.4172701561256,"[224, 207, 176, 11, 12]"
KAB. GAYO LUES,1944.813091637665,"[224, 116, 69, 70, 13]"
KAB. NAGAN RAYA,2020.409910063847,"[224, 27, 28, 25, 14]"
KAB. PIDIE,2080.8968708494535,"[224, 27, 22, 15]"
KAB. PIDIE JAYA,2110.4282674820342,"[224, 27, 22, 15, 16]"
KAB. SIMEULUE,1962.9294799739462,"[224, 207, 176, 155, 17]"
KOTA BANDA ACEH,2223.836974993709,"[224, 33, 39, 18]"
KOTA LANGSA,1937.6737770470659,"[224, 225, 19]"
KOTA LHOKSEUMAWE,2015.005884462444,"[224, 27, 28, 20]"
KOTA SABANG,2194.5589595944803,"[224, 27, 22, 21]"
KOTA SUBULUSSALAM,1738.8772308065872,"[224, 27, 22]"
KAB. ASAHAN,1686.873253658474,"[224, 24, 23]"
KAB. BATUBARA,1644.5406758581198,"[224, 24]"
KAB. DAIRI,1779.1122062895167,"[224, 27, 28, 25]"
KAB. DELI SERDANG,1782.8730663861693,"[224, 27, 26]"
KAB. HUMBANG HASUNDUTAN,1646.281734267008,"[224, 27]"
KAB. KARO,1752.681172226105,"[224, 27, 28]"
KAB. LABUHANBATU,1653.607724861074,"[224, 207, 176, 155, 99, 29]"
KAB. LABUHANBATU SELATAN,1609.9949204634931,"[224, 116, 69, 70, 30]"
KAB. LABUHANBATU UTARA,1675.369116150288,"[224, 116, 69, 70, 30, 31]"
KAB. LANGKAT,1842.1260219439769,"[224, 33, 32]"
KAB. MANDAILING NATAL,1475.579479103328,"[224, 33]"
KAB. NIAS,1660.3111388906475,"[224, 33, 34]"
KAB. NIAS BARAT,1690.4372593894936,"[224, 33, 34, 35]"
KAB. NIAS SELATAN,1741.2755921760395,"[224, 225, 215, 221, 153, 58, 36]"
KAB. NIAS UTARA,1770.1117718391915,"[224, 225, 215, 37]"
KAB. PADANG LAWAS,1535.653588163811,"[224, 207, 176, 133, 38]"
KAB. PADANG LAWAS UTARA,1572.8061461854068,"[224, 33, 39]"
KAB. PAKPAK BHARAT,1761.2647158317034,"[224, 33, 39, 40]"
KAB. SAMOSIR,1751.910884110342,"[224, 225, 215, 214, 41]"
KAB. SERDANG BEDAGAI,1775.647161712332,"[224, 225, 149, 42]"
KAB. SIMALUNGUN,1733.6595028635386,"[224, 33, 39, 43]"
KAB. TAPANULI SELATAN,1645.6182703710278,"[224, 225, 216, 107, 44]"
KAB. TAPANULI TENGAH,1639.2391436807984,"[224, 46, 45]"
KAB. TAPANULI UTARA,1590.244759529284,"[224, 46]"
KAB. TOBA SAMOSIR,1629.9186317459885,"[224, 46, 47]"
KOTA BINJAI,1794.7200022648203,"[224, 46, 47, 48]"
KOTA GUNUNGSITOLI,1723.8085147689374,"[224, 33, 34, 35, 49]"
KOTA MEDAN,1824.2860695019085,"[224, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,1671.690964880333,"[224, 225, 215, 221, 111, 74, 51]"
KOTA PEMATANGSIANTAR,1757.041189004435,"[224, 33, 39, 43, 52]"
KOTA SIBOLGA,1719.0596835189433,"[224, 225, 216, 124, 66, 53]"
KOTA TANJUNGBALAI,1669.0497357963413,"[224, 207, 176, 54]"
KOTA TEBING TINGGI,1736.7179059180903,"[224, 207, 76, 75, 55]"
KAB. AGAM,1412.9482117416273,"[224, 225, 56]"
KAB. DHARMASRAYA,1280.9781742838163,"[224, 225, 215, 214, 213, 57]"
KAB. KEPULAUAN MENTAWAI,1474.4696746636264,"[224, 225, 215, 221, 153, 58]"
KAB. LIMA PULUH KOTA,1440.6877476516952,"[224, 207, 176, 133, 60, 59]"
KAB. PADANG PARIAMAN,1362.5853433255438,"[224, 207, 176, 133, 60]"
KAB. PASAMAN,1448.9725181066194,"[224, 207, 176, 133, 60, 61]"
KAB. PASAMAN BARAT,1508.594810431308,"[224, 207, 176, 133, 60, 61, 62]"
KAB. PESISIR SELATAN,1388.1529630738164,"[224, 225, 215, 221, 168, 167, 166, 165, 164, 144, 145, 63]"
KAB. SIJUNJUNG,1303.097102365552,"[224, 225, 64]"
KAB. SOLOK,1338.2760177666185,"[224, 225, 216, 124, 66, 65]"
KAB. SOLOK SELATAN,1273.9431586919663,"[224, 225, 216, 124, 66]"
KAB. TANAH DATAR,1370.4957649282167,"[224, 225, 215, 221, 153, 67]"
