city,distance,through
KAB. ACEH BARAT,4949.363819041464,"[499, 336, 342, 0]"
KAB. ACEH BARAT DAYA,4913.088279705069,"[499, 410, 411, 412, 363, 357, 1]"
KAB. ACEH BESAR,5078.654248212485,"[499, 500, 491, 489, 2]"
KAB. ACEH JAYA,5045.877873834013,"[499, 500, 491, 489, 3]"
KAB. ACEH SELATAN,4815.532117339272,"[499, 410, 409, 408, 319, 4]"
KAB. ACEH SINGKIL,4716.738023464479,"[499, 410, 5]"
KAB. ACEH TAMIANG,4762.183250471426,"[499, 410, 409, 6]"
KAB. ACEH TENGAH,4893.860775707203,"[499, 410, 409, 6, 7]"
KAB. ACEH TENGGARA,4774.7676553642095,"[499, 410, 409, 362, 8]"
KAB. ACEH TIMUR,4793.938489341874,"[499, 373, 374, 375, 9]"
KAB. ACEH UTARA,4835.316207299267,"[499, 373, 374, 10]"
KAB. BENER MERIAH,4869.909203551702,"[499, 373, 374, 375, 11]"
KAB. BIREUEN,4920.904377125324,"[499, 373, 374, 375, 11, 12]"
KAB. GAYO LUES,4826.6706062499925,"[499, 410, 411, 13]"
KAB. NAGAN RAYA,4911.198876010921,"[499, 336, 25, 14]"
KAB. PIDIE,5027.774713038945,"[499, 410, 26, 16, 15]"
KAB. PIDIE JAYA,4998.243316406365,"[499, 410, 26, 16]"
KAB. SIMEULUE,4965.304457905811,"[499, 410, 409, 345, 321, 55, 17]"
KOTA BANDA ACEH,5050.011187198533,"[499, 373, 97, 19, 18]"
KOTA LANGSA,4732.8515316324265,"[499, 373, 97, 19]"
KOTA LHOKSEUMAWE,4854.322753112803,"[499, 373, 97, 19, 20]"
KOTA SABANG,5070.470292881481,"[499, 373, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,4740.644730789705,"[499, 410, 29, 27, 22]"
KAB. ASAHAN,4578.400674882556,"[499, 500, 491, 489, 514, 430, 23]"
KAB. BATUBARA,4578.310527573896,"[499, 410, 411, 93, 92, 24]"
KAB. DAIRI,4669.90117223659,"[499, 336, 25]"
KAB. DELI SERDANG,4659.723849893222,"[499, 410, 26]"
KAB. HUMBANG HASUNDUTAN,4648.049234250126,"[499, 410, 29, 27]"
KAB. KARO,4696.332206300002,"[499, 336, 25, 28]"
KAB. LABUHANBATU,4469.745705959882,"[499, 410, 29]"
KAB. LABUHANBATU SELATAN,4458.697904237074,"[499, 410, 409, 345, 321, 30]"
KAB. LABUHANBATU UTARA,4523.209413298105,"[499, 410, 409, 408, 319, 31]"
KAB. LANGKAT,4760.685315356519,"[499, 410, 409, 408, 319, 31, 32]"
KAB. MANDAILING NATAL,4499.443964278653,"[499, 33]"
KAB. NIAS,4684.175624065972,"[499, 33, 34]"
KAB. NIAS BARAT,4714.301744564818,"[499, 33, 34, 35]"
KAB. NIAS SELATAN,4705.993738019714,"[499, 410, 409, 408, 447, 446, 36]"
KAB. NIAS UTARA,4759.002032375578,"[499, 410, 381, 341, 38, 37]"
KAB. PADANG LAWAS,4489.338663547574,"[499, 410, 381, 341, 38]"
KAB. PADANG LAWAS UTARA,4511.296877749806,"[499, 410, 411, 343, 39]"
KAB. PAKPAK BHARAT,4698.788777950854,"[499, 410, 409, 408, 40]"
KAB. SAMOSIR,4714.5921554555725,"[499, 373, 374, 43, 42, 41]"
KAB. SERDANG BEDAGAI,4630.362662624335,"[499, 373, 374, 43, 42]"
KAB. SIMALUNGUN,4583.476597011548,"[499, 373, 374, 43]"
KAB. TAPANULI SELATAN,4576.5404490942765,"[499, 410, 409, 408, 447, 446, 346, 347, 44]"
KAB. TAPANULI TENGAH,4640.490019144647,"[499, 410, 409, 408, 319, 46, 45]"
KAB. TAPANULI UTARA,4591.495634993133,"[499, 410, 409, 408, 319, 46]"
KAB. TOBA SAMOSIR,4599.298144865752,"[499, 500, 491, 424, 47]"
