city,distance,through
KAB. ACEH BARAT,1076.5418184749133,"[18, 19, 20, 21, 2, 1, 0]"
KAB. ACEH BARAT DAYA,956.850021841745,"[18, 19, 20, 21, 2, 1]"
KAB. ACEH BESAR,706.5551796382147,"[18, 19, 20, 21, 2]"
KAB. ACEH JAYA,782.8586529753134,"[18, 19, 20, 21, 2, 3]"
KAB. ACEH SELATAN,660.4478128613388,"[18, 6, 5, 4]"
KAB. ACEH SINGKIL,539.7770879207574,"[18, 6, 5]"
KAB. ACEH TAMIANG,330.8933267301076,"[18, 6]"
KAB. ACEH TENGAH,462.5708519658848,"[18, 6, 7]"
KAB. ACEH TENGGARA,621.3788774474663,"[18, 6, 7, 8]"
KAB. ACEH TIMUR,756.6570491197583,"[18, 6, 7, 8, 9]"
KAB. ACEH UTARA,823.2471832082459,"[18, 6, 7, 8, 9, 10]"
KAB. BENER MERIAH,862.3683849077466,"[18, 6, 7, 8, 9, 10, 11]"
KAB. BIREUEN,913.3635584813683,"[18, 6, 7, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,860.6616099295902,"[18, 17, 16, 15, 14, 13]"
KAB. NAGAN RAYA,763.5667728445715,"[18, 17, 16, 15, 14]"
KAB. PIDIE,641.5414107603881,"[18, 17, 16, 15]"
KAB. PIDIE JAYA,612.0100141278075,"[18, 17, 16]"
KAB. SIMEULUE,332.18937018457905,"[18, 17]"
KOTA BANDA ACEH,0.0,[18]
KOTA LANGSA,317.15965556610627,"[18, 19]"
KOTA LHOKSEUMAWE,438.630877046483,"[18, 19, 20]"
KOTA SABANG,654.7784168151611,"[18, 19, 20, 21]"
KOTA SUBULUSSALAM,899.9505237814984,"[18, 19, 20, 28, 27, 22]"
KAB. ASAHAN,911.0793725599211,"[18, 19, 20, 28, 25, 24, 23]"
KAB. BATUBARA,868.746794759567,"[18, 19, 20, 28, 25, 24]"
KAB. DAIRI,727.3866233462337,"[18, 19, 20, 28, 25]"
KAB. DELI SERDANG,699.3301615123597,"[18, 6, 7, 26]"
KAB. HUMBANG HASUNDUTAN,807.3550272419192,"[18, 19, 20, 28, 27]"
KAB. KARO,700.9555892828221,"[18, 19, 20, 28]"
KAB. LABUHANBATU,847.5322283202048,"[18, 39, 38, 29]"
KAB. LABUHANBATU SELATAN,899.1377937759445,"[18, 39, 38, 29, 30]"
KAB. LABUHANBATU UTARA,964.5119894627393,"[18, 39, 38, 29, 30, 31]"
KAB. LANGKAT,1076.1393715463264,"[18, 19, 20, 45, 32]"
KAB. MANDAILING NATAL,748.2574958903814,"[18, 39, 33]"
KAB. NIAS,838.3579757716793,"[18, 19, 37, 36, 35, 34]"
KAB. NIAS BARAT,808.2318552728333,"[18, 19, 37, 36, 35]"
KAB. NIAS SELATAN,756.9941071329685,"[18, 19, 37, 36]"
KAB. NIAS UTARA,673.9545593496248,"[18, 19, 37]"
KAB. PADANG LAWAS,705.6003138107783,"[18, 39, 38]"
KAB. PADANG LAWAS UTARA,651.0308288083025,"[18, 39]"
KAB. PAKPAK BHARAT,839.489398454599,"[18, 39, 40]"
KAB. SAMOSIR,904.1590106245598,"[18, 39, 40, 41]"
KAB. SERDANG BEDAGAI,858.7702510992217,"[18, 39, 43, 42]"
KAB. SIMALUNGUN,811.8841854864345,"[18, 39, 43]"
KAB. TAPANULI SELATAN,918.3458780926518,"[18, 19, 20, 45, 44]"
KAB. TAPANULI TENGAH,847.7016663660281,"[18, 19, 20, 45]"
KAB. TAPANULI UTARA,896.6960505175425,"[18, 19, 20, 45, 46]"
KAB. TOBA SAMOSIR,936.369922734247,"[18, 19, 20, 45, 46, 47]"
KOTA BINJAI,930.4691355165346,"[18, 39, 43, 52, 48]"
KOTA GUNUNGSITOLI,841.6031106522769,"[18, 19, 37, 36, 35, 49]"
KOTA MEDAN,1048.4921884033558,"[18, 19, 20, 28, 25, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,935.6645314385396,"[18, 6, 7, 26, 51]"
KOTA PEMATANGSIANTAR,835.2658716273309,"[18, 39, 43, 52]"
KOTA SIBOLGA,946.8933554645656,"[18, 17, 55, 54, 53]"
KOTA TANJUNGBALAI,769.7952142312517,"[18, 17, 55, 54]"
KOTA TEBING TINGGI,688.0584665596934,"[18, 17, 55]"
KAB. AGAM,1098.2596977858116,"[18, 17, 55, 56]"
KAB. DHARMASRAYA,1188.9782225204085,"[18, 17, 58, 57]"
KAB. KEPULAUAN MENTAWAI,887.7639657181669,"[18, 17, 58]"
KAB. LIMA PULUH KOTA,871.9206704798046,"[18, 6, 59]"
KAB. PADANG PARIAMAN,950.0230748059558,"[18, 6, 59, 60]"
KAB. PASAMAN,915.1083873677691,"[18, 6, 59, 61]"
KAB. PASAMAN BARAT,972.8443192338983,"[18, 6, 59, 62]"
KAB. PESISIR SELATAN,1070.4867319844352,"[18, 39, 33, 63]"
KAB. SIJUNJUNG,1189.7936259562314,"[18, 39, 33, 63, 64]"
KAB. SOLOK,1154.7613668883462,"[18, 39, 33, 63, 65]"
KAB. SOLOK SELATAN,1103.1355084091115,"[18, 6, 5, 66]"
KAB. TANAH DATAR,1040.8449468792976,"[18, 6, 5, 72, 73, 67]"
KOTA BUKITTINGGI,1042.4218759214486,"[18, 6, 70, 69, 68]"
KOTA PADANG,970.8032113672432,"[18, 6, 70, 69]"
KOTA PADANGPANJANG,917.2776205350847,"[18, 6, 70]"
KOTA PARIAMAN,952.6413224559867,"[18, 6, 70, 71]"
KOTA PAYAKUMBUH,960.3801892044714,"[18, 6, 5, 72]"
KOTA SAWAHLUNTO,1012.138978124103,"[18, 6, 5, 72, 73]"
KOTA SOLOK,1026.5830499843798,"[18, 6, 5, 72, 73, 74]"
KAB. BENGKALIS,1034.2577573666347,"[18, 17, 55, 75]"
KAB. INDRAGIRI HILIR,1265.3541729398082,"[18, 17, 55, 75, 76]"
KAB. INDRAGIRI HULU,1164.7408857377463,"[18, 39, 84, 78, 77]"
KAB. KAMPAR,1008.5071387645429,"[18, 39, 84, 78]"
KAB. KEPULAUAN MERANTI,1196.7811689650696,"[18, 39, 84, 78, 79]"
KAB. KUANTAN SINGINGI,1130.7199271170443,"[18, 6, 5, 72, 73, 74, 80]"
KAB. PELALAWAN,1078.2175093065002,"[18, 17, 81]"
KAB. ROKAN HILIR,1137.6248549193153,"[18, 39, 84, 83, 82]"
KAB. ROKAN HULU,1059.3029198591325,"[18, 39, 84, 83]"
KAB. SIAK,906.1512666344111,"[18, 39, 84]"
KOTA DUMAI,1010.9745284719023,"[18, 39, 84, 85]"
KOTA PEKANBARU,894.8656786778156,"[18, 6, 86]"
KAB. BINTAN,1135.8903500108534,"[18, 87]"
KAB. KARIMUN,1197.1887221430788,"[18, 39, 33, 88]"
KAB. KEPULAUAN ANAMBAS,1557.6063131187482,"[18, 39, 33, 88, 89]"
KAB. LINGGA,1940.8203212574263,"[18, 149, 90]"
KAB. NATUNA,1860.745257282823,"[18, 39, 43, 52, 91]"
KOTA BATAM,1423.2732046248304,"[18, 19, 20, 28, 25, 24, 92]"
KOTA TANJUNG PINANG,1465.1882224290957,"[18, 6, 70, 71, 93]"
PULAU TAMBELAN KAB. BINTAN,1698.9819628136938,"[18, 39, 38, 29, 30, 94]"
PEKAJANG KAB. LINGGA,1539.7114536598874,"[18, 17, 58, 95]"
PULAU SERASAN KAB. NATUNA,1568.218009449246,"[18, 19, 97, 96]"
PULAU MIDAI KAB. NATUNA,1416.80139685363,"[18, 19, 97]"
PULAU LAUT KAB. NATUNA,1608.442827389549,"[18, 19, 97, 98]"
KAB. BATANGHARI,1402.3378944574285,"[18, 39, 38, 29, 99]"
KAB. BUNGO,1272.0981384458182,"[18, 19, 37, 100]"
KAB. KERINCI,1320.468917654136,"[18, 17, 81, 101]"
KAB. MERANGIN,1389.9447676580478,"[18, 17, 81, 101, 102]"
KAB. MUARO JAMBI,1376.5026207584626,"[18, 6, 70, 71, 103]"
KAB. SAROLANGUN,1307.9491471538477,"[18, 6, 5, 72, 107, 104]"
