city,distance,through
KAB. ACEH BARAT,1501.8619879512303,"[157, 115, 62, 0]"
KAB. ACEH BARAT DAYA,1621.5537845843985,"[157, 115, 62, 0, 1]"
KAB. ACEH BESAR,1646.517748776467,"[157, 115, 4, 3, 2]"
KAB. ACEH JAYA,1570.2142754393683,"[157, 115, 4, 3]"
KAB. ACEH SELATAN,1319.7490936797299,"[157, 115, 4]"
KAB. ACEH SINGKIL,1260.5096188422817,"[157, 152, 151, 107, 72, 5]"
KAB. ACEH TAMIANG,1354.8954516958045,"[157, 152, 86, 6]"
KAB. ACEH TENGAH,1479.6857252688915,"[157, 152, 151, 8, 7]"
KAB. ACEH TENGGARA,1320.87769978731,"[157, 152, 151, 8]"
KAB. ACEH TIMUR,1456.155871459602,"[157, 152, 151, 8, 9]"
KAB. ACEH UTARA,1522.7460055480897,"[157, 152, 151, 8, 9, 10]"
KAB. BENER MERIAH,1492.5680003489194,"[157, 115, 116, 69, 70, 11]"
KAB. BIREUEN,1526.8209211954684,"[157, 115, 12]"
KAB. GAYO LUES,1394.4291270942513,"[157, 115, 116, 69, 70, 13]"
KAB. NAGAN RAYA,1472.6891466970856,"[157, 152, 86, 25, 14]"
KAB. PIDIE,1594.714508781269,"[157, 152, 86, 25, 14, 15]"
KAB. PIDIE JAYA,1585.11142313759,"[157, 152, 151, 16]"
KAB. SIMEULUE,1377.1893212606124,"[157, 156, 112, 17]"
KOTA BANDA ACEH,1685.7887784259121,"[157, 152, 86, 6, 18]"
KOTA LANGSA,1537.52466631697,"[157, 58, 36, 37, 19]"
KOTA LHOKSEUMAWE,1520.147189222506,"[157, 152, 86, 25, 28, 20]"
KOTA SABANG,1682.8669042396639,"[157, 158, 21]"
KOTA SUBULUSSALAM,1301.5390169596749,"[157, 115, 116, 69, 83, 22]"
KAB. ASAHAN,1190.604868384529,"[157, 24, 23]"
KAB. BATUBARA,1148.272290584175,"[157, 24]"
KAB. DAIRI,1231.3914429227552,"[157, 152, 86, 25]"
KAB. DELI SERDANG,1276.7192391654148,"[157, 152, 151, 107, 26]"
KAB. HUMBANG HASUNDUTAN,1239.7773319161695,"[157, 152, 86, 85, 27]"
KAB. KARO,1257.822476986167,"[157, 152, 86, 25, 28]"
KAB. LABUHANBATU,1111.2165213758192,"[157, 115, 116, 69, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,1059.6109559200795,"[157, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU UTARA,1102.6253440022138,"[157, 152, 151, 31]"
KAB. LANGKAT,1287.623145396224,"[157, 32]"
KAB. MANDAILING NATAL,1243.9841809633895,"[157, 152, 153, 123, 124, 66, 65, 63, 33]"
KAB. NIAS,1103.738102149673,"[157, 34]"
KAB. NIAS BARAT,1133.8642226485192,"[157, 34, 35]"
KAB. NIAS SELATAN,1097.6902147501078,"[157, 58, 36]"
KAB. NIAS UTARA,1180.7297625334515,"[157, 58, 36, 37]"
KAB. PADANG LAWAS,1178.4038786378123,"[157, 156, 155, 132, 133, 38]"
KAB. PADANG LAWAS UTARA,1206.4792338433313,"[157, 152, 153, 123, 122, 84, 39]"
KAB. PAKPAK BHARAT,1282.3481626635212,"[157, 152, 151, 107, 72, 41, 40]"
KAB. SAMOSIR,1217.6785504935604,"[157, 152, 151, 107, 72, 41]"
KAB. SERDANG BEDAGAI,1284.6790903299425,"[157, 152, 151, 107, 44, 43, 42]"
KAB. SIMALUNGUN,1237.7930247171553,"[157, 152, 151, 107, 44, 43]"
KAB. TAPANULI SELATAN,1082.0422909661218,"[157, 152, 151, 107, 44]"
KAB. TAPANULI TENGAH,1152.6865026927453,"[157, 152, 151, 107, 44, 45]"
KAB. TAPANULI UTARA,1161.1545192122676,"[157, 152, 153, 46]"
KAB. TOBA SAMOSIR,1191.943321443754,"[157, 152, 153, 123, 47]"
KOTA BINJAI,1356.1688036963276,"[157, 152, 153, 123, 52, 48]"
KOTA GUNUNGSITOLI,1167.235478027963,"[157, 34, 35, 49]"
KOTA MEDAN,1328.0176842279636,"[157, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,1164.955766322993,"[157, 115, 114, 74, 51]"
KOTA PEMATANGSIANTAR,1260.9655398071238,"[157, 152, 153, 123, 52]"
KOTA SIBOLGA,1218.2639757177496,"[157, 152, 153, 123, 124, 66, 53]"
KOTA TANJUNGBALAI,1166.066712482834,"[157, 152, 151, 107, 54]"
KOTA TEBING TINGGI,1183.9896417633754,"[157, 156, 55]"
KAB. AGAM,1031.6610321601925,"[157, 152, 153, 123, 124, 125, 126, 109, 56]"
KAB. DHARMASRAYA,1027.5405065930493,"[157, 152, 153, 123, 124, 125, 118, 57]"
