city,distance,through
KAB. ACEH BARAT,1833.5610039349203,"[185, 130, 125, 61, 62, 0]"
KAB. ACEH BARAT DAYA,1953.2528005680886,"[185, 130, 125, 61, 62, 0, 1]"
KAB. ACEH BESAR,1936.8560199903134,"[185, 4, 3, 2]"
KAB. ACEH JAYA,1860.5525466532147,"[185, 4, 3]"
KAB. ACEH SELATAN,1610.0873648935763,"[185, 4]"
KAB. ACEH SINGKIL,1497.3890625967997,"[185, 66, 5]"
KAB. ACEH TAMIANG,1675.992141545913,"[185, 126, 109, 59, 6]"
KAB. ACEH TENGAH,1750.1717077631347,"[185, 66, 67, 8, 7]"
KAB. ACEH TENGGARA,1591.363682281553,"[185, 66, 67, 8]"
KAB. ACEH TIMUR,1723.0140162609653,"[185, 126, 109, 9]"
KAB. ACEH UTARA,1789.604150349453,"[185, 126, 109, 9, 10]"
KAB. BENER MERIAH,1786.8306761919284,"[185, 130, 125, 70, 11]"
KAB. BIREUEN,1837.82584976555,"[185, 130, 125, 70, 11, 12]"
KAB. GAYO LUES,1688.6918029372605,"[185, 130, 125, 70, 13]"
KAB. NAGAN RAYA,1785.7866400222792,"[185, 130, 125, 70, 13, 14]"
KAB. PIDIE,1869.3376627483422,"[185, 30, 15]"
KAB. PIDIE JAYA,1855.5910061590112,"[185, 30, 26, 16]"
KAB. SIMEULUE,1711.4564128715388,"[185, 126, 109, 59, 17]"
KOTA BANDA ACEH,2006.2162245780844,"[185, 130, 125, 19, 18]"
KOTA LANGSA,1689.0565690119781,"[185, 130, 125, 19]"
KOTA LHOKSEUMAWE,1794.7700901051296,"[185, 30, 28, 20]"
KOTA SABANG,1988.632782813367,"[185, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,1537.4693526148078,"[185, 130, 27, 22]"
KAB. ASAHAN,1481.4763386050001,"[185, 24, 23]"
KAB. BATUBARA,1439.143760804646,"[185, 24]"
KAB. DAIRI,1551.8292107865054,"[185, 30, 29, 25]"
KAB. DELI SERDANG,1517.0715396458686,"[185, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1444.8738560752286,"[185, 130, 27]"
KAB. KARO,1532.4453778687905,"[185, 30, 28]"
KAB. LABUHANBATU,1332.3377703648996,"[185, 30, 29]"
KAB. LABUHANBATU SELATAN,1280.73220490916,"[185, 30]"
KAB. LABUHANBATU UTARA,1346.1064005959547,"[185, 30, 31]"
KAB. LANGKAT,1583.582302654369,"[185, 30, 31, 32]"
KAB. MANDAILING NATAL,1404.8673721810624,"[185, 66, 65, 63, 33]"
KAB. NIAS,1455.7712529012717,"[185, 130, 125, 61, 62, 34]"
KAB. NIAS BARAT,1473.273512342435,"[185, 66, 65, 49, 35]"
KAB. NIAS SELATAN,1459.610164468561,"[185, 66, 58, 36]"
KAB. NIAS UTARA,1542.6497122519047,"[185, 66, 58, 36, 37]"
KAB. PADANG LAWAS,1425.5308692098038,"[185, 130, 131, 132, 133, 38]"
KAB. PADANG LAWAS UTARA,1480.1003542122796,"[185, 130, 131, 132, 133, 38, 39]"
KAB. PAKPAK BHARAT,1558.9706656622936,"[185, 130, 125, 107, 72, 41, 40]"
KAB. SAMOSIR,1494.3010534923328,"[185, 130, 125, 107, 72, 41]"
KAB. SERDANG BEDAGAI,1561.301593328715,"[185, 130, 125, 107, 44, 43, 42]"
KAB. SIMALUNGUN,1514.4155277159277,"[185, 130, 125, 107, 44, 43]"
KAB. TAPANULI SELATAN,1358.6647939648942,"[185, 130, 125, 107, 44]"
KAB. TAPANULI TENGAH,1429.309005691518,"[185, 130, 125, 107, 44, 45]"
KAB. TAPANULI UTARA,1444.3124050870504,"[185, 66, 67, 73, 46]"
KAB. TOBA SAMOSIR,1483.9862773037548,"[185, 66, 67, 73, 46, 47]"
KOTA BINJAI,1588.4967172310257,"[185, 126, 109, 59, 48]"
KOTA GUNUNGSITOLI,1439.9022569629913,"[185, 66, 65, 49]"
KOTA MEDAN,1580.8425639787965,"[185, 66, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,1390.8700330362346,"[185, 66, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1519.833561702133,"[185, 66, 53, 52]"
KOTA SIBOLGA,1379.1471669354225,"[185, 66, 53]"
KOTA TANJUNGBALAI,1442.6892154816064,"[185, 130, 125, 107, 54]"
KOTA TEBING TINGGI,1524.4259631531647,"[185, 130, 125, 107, 54, 55]"
KAB. AGAM,1124.6075141512279,"[185, 126, 109, 56]"
KAB. DHARMASRAYA,1136.5189272218017,"[185, 130, 125, 118, 57]"
KAB. KEPULAUAN MENTAWAI,1192.804246956148,"[185, 66, 58]"
KAB. LIMA PULUH KOTA,1134.964797796216,"[185, 126, 109, 59]"
KAB. PADANG PARIAMAN,1213.0672021223675,"[185, 126, 109, 59, 60]"
KAB. PASAMAN,1164.7698121459189,"[185, 130, 125, 61]"
KAB. PASAMAN BARAT,1224.3921044706074,"[185, 130, 125, 61, 62]"
KAB. PESISIR SELATAN,1082.6381360870087,"[185, 66, 65, 63]"
KAB. SIJUNJUNG,1037.2877949674037,"[185, 66, 65, 64]"
KAB. SOLOK,998.3635011830976,"[185, 66, 65]"
KAB. SOLOK SELATAN,934.0306421084456,"[185, 66]"
KAB. TANAH DATAR,1062.5256507695992,"[185, 66, 67]"
KOTA BUKITTINGGI,1091.39848219152,"[185, 66, 67, 68]"
KOTA PADANG,1111.345591922383,"[185, 130, 125, 107, 69]"
KOTA PADANGPANJANG,1091.780551570295,"[185, 130, 125, 70]"
KOTA PARIAMAN,1127.144253491197,"[185, 130, 125, 70, 71]"
KOTA PAYAKUMBUH,1116.5290205573401,"[185, 130, 125, 107, 72]"
KOTA SAWAHLUNTO,1091.2316195247938,"[185, 66, 67, 73]"
KOTA SOLOK,1105.6756913850706,"[185, 66, 67, 73, 74]"
KAB. BENGKALIS,1372.8574847259001,"[185, 66, 67, 73, 74, 75]"
KAB. INDRAGIRI HILIR,1176.1177633511259,"[185, 186, 201, 76]"
KAB. INDRAGIRI HULU,1162.1957844845092,"[185, 184, 183, 182, 170, 77]"
KAB. KAMPAR,1282.0838512953892,"[185, 186, 78]"
KAB. KEPULAUAN MERANTI,1149.9845036144673,"[185, 130, 125, 108, 79]"
KAB. KUANTAN SINGINGI,1209.8125685177351,"[185, 66, 67, 73, 74, 80]"
KAB. PELALAWAN,1293.4315884561079,"[185, 130, 125, 118, 57, 81]"
KAB. ROKAN HILIR,1300.26173724677,"[185, 66, 67, 82]"
KAB. ROKAN HULU,1332.4374998258936,"[185, 130, 125, 107, 69, 83]"
KAB. SIAK,1227.3319933354978,"[185, 130, 131, 135, 84]"
KOTA DUMAI,1232.9942626138175,"[185, 130, 85]"
KOTA PEKANBARU,1192.189825179312,"[185, 130, 125, 124, 86]"
KAB. BINTAN,1239.5911902235543,"[185, 184, 183, 182, 139, 87]"
KAB. KARIMUN,1115.2007502722429,"[185, 130, 125, 108, 88]"
KAB. KEPULAUAN ANAMBAS,1460.7906652372346,"[185, 186, 187, 149, 90, 89]"
KAB. LINGGA,1040.1672620986415,"[185, 186, 187, 149, 90]"
KAB. NATUNA,1558.957650916679,"[185, 184, 183, 182, 139, 140, 91]"
KOTA BATAM,1190.7243351091352,"[185, 186, 93, 92]"
KOTA TANJUNG PINANG,1139.0764350451466,"[185, 186, 93]"
PULAU TAMBELAN KAB. BINTAN,1374.2220713482197,"[185, 226, 225, 216, 94]"
PEKAJANG KAB. LINGGA,1367.5640119472373,"[185, 130, 131, 132, 110, 95]"
PULAU SERASAN KAB. NATUNA,1444.5874614356392,"[185, 226, 227, 203, 96]"
