city,distance,through
KAB. ACEH BARAT,2332.1689102263517,"[341, 76, 77, 0]"
KAB. ACEH BARAT DAYA,2239.9969290322497,"[341, 340, 139, 140, 1]"
KAB. ACEH BESAR,2396.410116960589,"[341, 38, 2]"
KAB. ACEH JAYA,2399.0933215623745,"[341, 76, 77, 78, 4, 3]"
KAB. ACEH SELATAN,2148.6281398027363,"[341, 76, 77, 78, 4]"
KAB. ACEH SINGKIL,2060.607551386063,"[341, 66, 5]"
KAB. ACEH TAMIANG,2115.8236065514398,"[341, 38, 6]"
KAB. ACEH TENGAH,2247.5011317872168,"[341, 38, 6, 7]"
KAB. ACEH TENGGARA,2154.582171070816,"[341, 66, 67, 8]"
KAB. ACEH TIMUR,2289.860342743108,"[341, 66, 67, 8, 9]"
KAB. ACEH UTARA,2294.674875872416,"[341, 330, 43, 42, 11, 10]"
KAB. BENER MERIAH,2255.553674172915,"[341, 330, 43, 42, 11]"
KAB. BIREUEN,2306.548847746537,"[341, 330, 43, 42, 11, 12]"
KAB. GAYO LUES,2260.981061939312,"[341, 340, 70, 13]"
KAB. NAGAN RAYA,2216.3307156579335,"[341, 38, 25, 14]"
KAB. PIDIE,2329.105147841319,"[341, 76, 75, 16, 15]"
KAB. PIDIE JAYA,2299.5737512087385,"[341, 76, 75, 16]"
KAB. SIMEULUE,2270.191690805856,"[341, 76, 75, 55, 17]"
KOTA BANDA ACEH,2421.045798810081,"[341, 38, 39, 18]"
KOTA LANGSA,2301.3591096523287,"[341, 342, 343, 97, 19]"
KOTA LHOKSEUMAWE,2212.6210830987484,"[341, 28, 20]"
KOTA SABANG,2428.7686228674265,"[341, 28, 20, 21]"
KOTA SUBULUSSALAM,2069.36520259544,"[341, 330, 331, 85, 27, 22]"
KAB. ASAHAN,1993.2220258952111,"[341, 340, 339, 92, 24, 23]"
KAB. BATUBARA,1950.889448094857,"[341, 340, 339, 92, 24]"
KAB. DAIRI,1975.0330118836032,"[341, 38, 25]"
KAB. DELI SERDANG,2053.463404031165,"[341, 38, 25, 26]"
KAB. HUMBANG HASUNDUTAN,1976.7697060558608,"[341, 330, 331, 85, 27]"
KAB. KARO,1950.2963708624093,"[341, 28]"
KAB. LABUHANBATU,1857.377399508729,"[341, 38, 29]"
KAB. LABUHANBATU SELATAN,1828.258419423927,"[341, 330, 355, 321, 30]"
KAB. LABUHANBATU UTARA,1893.6326151107219,"[341, 330, 355, 321, 30, 31]"
KAB. LANGKAT,2131.108517169136,"[341, 330, 355, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,1867.2416370838573,"[341, 38, 39, 33]"
KAB. NIAS,1992.9823667845637,"[341, 76, 35, 34]"
KAB. NIAS BARAT,1962.8562462857176,"[341, 76, 35]"
KAB. NIAS SELATAN,2014.0939944255824,"[341, 76, 35, 36]"
KAB. NIAS UTARA,1985.108853827307,"[341, 38, 37]"
KAB. PADANG LAWAS,1715.4454849993026,"[341, 38]"
KAB. PADANG LAWAS UTARA,1770.0149700017785,"[341, 38, 39]"
KAB. PAKPAK BHARAT,1958.473539648075,"[341, 38, 39, 40]"
KAB. SAMOSIR,2002.152472911625,"[341, 135, 41]"
KAB. SERDANG BEDAGAI,1974.0955929811976,"[341, 330, 43, 42]"
KAB. SIMALUNGUN,1927.2095273684104,"[341, 330, 43]"
KAB. TAPANULI SELATAN,1965.267911200464,"[341, 330, 327, 328, 44]"
KAB. TAPANULI TENGAH,1958.2087479439958,"[341, 76, 77, 78, 46, 45]"
KAB. TAPANULI UTARA,1909.2143637924814,"[341, 76, 77, 78, 46]"
KAB. TOBA SAMOSIR,1948.888236009186,"[341, 76, 77, 78, 46, 47]"
KOTA BINJAI,2045.5064105329798,"[341, 330, 331, 52, 48]"
KOTA GUNUNGSITOLI,1996.2275016651613,"[341, 76, 35, 49]"
KOTA MEDAN,2130.6348417386457,"[341, 340, 339, 92, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,1954.0885218254978,"[341, 66, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1950.303146643776,"[341, 330, 331, 52]"
KOTA SIBOLGA,1915.9946293373177,"[341, 76, 77, 78, 53]"
KOTA TANJUNGBALAI,1934.988713178057,"[341, 340, 139, 138, 54]"
KOTA TEBING TINGGI,1914.3225944307414,"[341, 76, 75, 55]"
KAB. AGAM,1725.8264118720924,"[341, 135, 109, 56]"
KAB. DHARMASRAYA,1690.5077760579215,"[341, 340, 339, 338, 142, 57]"
KAB. KEPULAUAN MENTAWAI,1756.0227357454112,"[341, 66, 58]"
KAB. LIMA PULUH KOTA,1736.1836955170807,"[341, 135, 109, 59]"
