city,distance,through
KAB. ACEH BARAT,3232.7735211706936,"[416, 331, 139, 140, 1, 0]"
KAB. ACEH BARAT DAYA,3113.0817245375256,"[416, 331, 139, 140, 1]"
KAB. ACEH BESAR,3316.2540281161937,"[416, 38, 2]"
KAB. ACEH JAYA,3326.6537886556,"[416, 65, 3]"
KAB. ACEH SELATAN,3084.500795828932,"[416, 417, 346, 347, 4]"
KAB. ACEH SINGKIL,3002.016964571012,"[416, 331, 124, 66, 5]"
KAB. ACEH TAMIANG,3005.5801693410313,"[416, 384, 6]"
KAB. ACEH TENGAH,3079.7169335997874,"[416, 331, 85, 7]"
KAB. ACEH TENGGARA,3047.8440587171754,"[416, 384, 329, 328, 8]"
KAB. ACEH TIMUR,3095.361721320905,"[416, 417, 315, 9]"
KAB. ACEH UTARA,3157.1543332456845,"[416, 417, 346, 345, 10]"
KAB. BENER MERIAH,3131.021320428863,"[416, 331, 52, 43, 42, 11]"
KAB. BIREUEN,3182.0164940024847,"[416, 331, 52, 43, 42, 11, 12]"
KAB. GAYO LUES,3130.6431166744096,"[416, 384, 383, 382, 137, 13]"
KAB. NAGAN RAYA,3099.6659586492647,"[416, 25, 14]"
KAB. PIDIE,3221.6913207334483,"[416, 25, 14, 15]"
KAB. PIDIE JAYA,3241.0385607120834,"[416, 331, 53, 16]"
KAB. SIMEULUE,3225.6210856971256,"[416, 384, 383, 335, 334, 55, 17]"
KOTA BANDA ACEH,3336.473496071139,"[416, 384, 6, 18]"
KOTA LANGSA,3057.3969166762085,"[416, 417, 346, 347, 19]"
KOTA LHOKSEUMAWE,3147.124001174685,"[416, 25, 28, 20]"
KOTA SABANG,3354.039272223019,"[416, 331, 85, 27, 22, 21]"
KOTA SUBULUSSALAM,2898.357543435126,"[416, 331, 85, 27, 22]"
KAB. ASAHAN,2902.8914530866364,"[416, 384, 383, 335, 334, 94, 93, 92, 24, 23]"
KAB. BATUBARA,2860.5588752862823,"[416, 384, 383, 335, 334, 94, 93, 92, 24]"
KAB. DAIRI,2858.3682548749343,"[416, 25]"
KAB. DELI SERDANG,2936.798647022496,"[416, 25, 26]"
KAB. HUMBANG HASUNDUTAN,2805.7620468955465,"[416, 331, 85, 27]"
KAB. KARO,2884.799288938346,"[416, 25, 28]"
KAB. LABUHANBATU,2722.817101438289,"[416, 384, 383, 335, 29]"
KAB. LABUHANBATU SELATAN,2722.6795469642802,"[416, 384, 383, 335, 334, 321, 30]"
KAB. LABUHANBATU UTARA,2788.053742651075,"[416, 384, 383, 335, 334, 321, 30, 31]"
KAB. LANGKAT,3025.5296447094893,"[416, 384, 383, 335, 334, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,2787.0855482394613,"[416, 38, 39, 33]"
KAB. NIAS,2926.8920539998217,"[416, 384, 69, 34]"
KAB. NIAS BARAT,2936.4258042024794,"[416, 65, 49, 35]"
KAB. NIAS SELATAN,2951.1840120521706,"[416, 331, 124, 58, 36]"
KAB. NIAS UTARA,2904.9527649829115,"[416, 38, 37]"
KAB. PADANG LAWAS,2635.289396154907,"[416, 38]"
KAB. PADANG LAWAS UTARA,2689.8588811573827,"[416, 38, 39]"
KAB. PAKPAK BHARAT,2878.317450803679,"[416, 38, 39, 40]"
KAB. SAMOSIR,2933.7927320683825,"[416, 331, 52, 43, 42, 41]"
KAB. SERDANG BEDAGAI,2849.5632392371454,"[416, 331, 52, 43, 42]"
KAB. SIMALUNGUN,2802.677173624358,"[416, 331, 52, 43]"
KAB. TAPANULI SELATAN,2810.586936248188,"[416, 331, 124, 44]"
KAB. TAPANULI TENGAH,2860.0539602889953,"[416, 331, 139, 138, 46, 45]"
KAB. TAPANULI UTARA,2811.0595761374807,"[416, 331, 139, 138, 46]"
KAB. TOBA SAMOSIR,2850.7334483541854,"[416, 331, 139, 138, 46, 47]"
KOTA BINJAI,2874.4987513726655,"[416, 331, 52, 48]"
KOTA GUNUNGSITOLI,2903.054548823036,"[416, 65, 49]"
KOTA MEDAN,3040.304268930071,"[416, 384, 383, 335, 334, 94, 93, 92, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,2787.3543036882675,"[416, 384, 383, 335, 51]"
KOTA PEMATANGSIANTAR,2779.295487483462,"[416, 331, 52]"
KOTA SIBOLGA,2764.5247356119635,"[416, 331, 53]"
KOTA TANJUNGBALAI,2797.0399626263543,"[416, 384, 383, 382, 54]"
KOTA TEBING TINGGI,2869.751989322011,"[416, 384, 383, 335, 334, 55]"
KAB. AGAM,2697.172125352078,"[416, 331, 124, 125, 126, 109, 56]"
KAB. DHARMASRAYA,2525.9071480696484,"[416, 384, 148, 57]"
KAB. KEPULAUAN MENTAWAI,2684.3780945397575,"[416, 331, 124, 58]"
KAB. LIMA PULUH KOTA,2676.762268429622,"[416, 384, 383, 335, 334, 321, 322, 59]"
KAB. PADANG PARIAMAN,2754.8646727557734,"[416, 384, 383, 335, 334, 321, 322, 59, 60]"
KAB. PASAMAN,2717.1010558632897,"[416, 331, 330, 341, 340, 61]"
KAB. PASAMAN BARAT,2714.2336430281857,"[416, 384, 383, 382, 62]"
KAB. PESISIR SELATAN,2544.0822256074134,"[416, 384, 148, 63]"
KAB. SIJUNJUNG,2500.4400868274483,"[416, 65, 64]"
KAB. SOLOK,2461.5157930431424,"[416, 65]"
KAB. SOLOK SELATAN,2438.658544082658,"[416, 331, 124, 66]"
KAB. TANAH DATAR,2567.1535527438114,"[416, 331, 124, 66, 67]"
KOTA BUKITTINGGI,2596.0263841657325,"[416, 331, 124, 66, 67, 68]"
KOTA PADANG,2553.1928239264535,"[416, 384, 69]"
KOTA PADANGPANJANG,2595.934409019701,"[416, 331, 103, 71, 70]"
KOTA PARIAMAN,2560.570707098799,"[416, 331, 103, 71]"
KOTA PAYAKUMBUH,2622.34706971993,"[416, 384, 383, 335, 106, 107, 72]"
KOTA SAWAHLUNTO,2581.790132161355,"[416, 384, 383, 80, 74, 73]"
KOTA SOLOK,2567.346060301078,"[416, 384, 383, 80, 74]"
KAB. BENGKALIS,2579.1528489077255,"[416, 331, 330, 341, 76, 75]"
KAB. INDRAGIRI HILIR,2348.056433334552,"[416, 331, 330, 341, 76]"
KAB. INDRAGIRI HULU,2441.0691033590165,"[416, 384, 329, 77]"
KAB. KAMPAR,2548.781160017973,"[416, 384, 383, 382, 78]"
KAB. KEPULAUAN MERANTI,2512.055200679326,"[416, 384, 383, 382, 393, 79]"
KAB. KUANTAN SINGINGI,2463.209183168414,"[416, 384, 383, 80]"
KAB. PELALAWAN,2567.3895779994978,"[416, 384, 383, 80, 81]"
KAB. ROKAN HILIR,2705.3571524824656,"[416, 384, 378, 325, 88, 82]"
KAB. ROKAN HULU,2675.9875093056785,"[416, 384, 383, 335, 334, 321, 84, 83]"
KAB. SIAK,2522.835856080957,"[416, 384, 383, 335, 334, 321, 84]"
KOTA DUMAI,2485.946885769535,"[416, 331, 85]"
KOTA PEKANBARU,2531.169706633973,"[416, 331, 330, 86]"
KAB. BINTAN,2288.400457248558,"[416, 331, 332, 352, 353, 87]"
KAB. KARIMUN,2399.8080970125893,"[416, 384, 378, 325, 88]"
KAB. KEPULAUAN ANAMBAS,2357.8699689654813,"[416, 417, 386, 387, 449, 448, 447, 89]"
KAB. LINGGA,2246.288969104888,"[416, 384, 329, 336, 342, 90]"
KAB. NATUNA,1996.4055194324947,"[416, 417, 386, 91]"
KOTA BATAM,2306.032465421019,"[416, 384, 383, 335, 334, 94, 93, 92]"
KOTA TANJUNG PINANG,2254.38456535703,"[416, 384, 383, 335, 334, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,1935.6839832057408,"[416, 384, 383, 335, 334, 94]"
PEKAJANG KAB. LINGGA,2263.598581305938,"[416, 384, 383, 335, 334, 94, 95]"
PULAU SERASAN KAB. NATUNA,1846.8150016371965,"[416, 417, 450, 96]"
PULAU MIDAI KAB. NATUNA,1997.3465362701218,"[416, 384, 97]"
PULAU LAUT KAB. NATUNA,2122.0237000009433,"[416, 384, 378, 98]"
KAB. BATANGHARI,2427.7122610832103,"[416, 251, 235, 99]"
KAB. BUNGO,2463.397273262074,"[416, 384, 148, 100]"
KAB. KERINCI,2422.212949494622,"[416, 331, 103, 102, 101]"
KAB. MERANGIN,2352.73709949071,"[416, 331, 103, 102]"
KAB. MUARO JAMBI,2136.7094087963233,"[416, 331, 103]"
KAB. SAROLANGUN,2285.064744075473,"[416, 384, 383, 104]"
KAB. TANJUNG JABUNG BARAT,2220.3998705471354,"[416, 105]"
KAB. TANJUNG JABUNG TIMUR,2234.969870550527,"[416, 384, 383, 335, 106]"
KAB. TEBO,2399.8951138093958,"[416, 384, 383, 335, 106, 107]"
KOTA JAMBI,2337.9310333446583,"[416, 251, 108]"
KOTA SUNGAI PENUH,2451.201592346209,"[416, 331, 124, 125, 126, 109]"
KAB. BENGKULU SELATAN,2255.394452918497,"[416, 247, 248, 110]"
KAB. BENGKULU TENGAH,2343.5881157103413,"[416, 251, 198, 111]"
KAB. BENGKULU UTARA,2332.969627353121,"[416, 331, 139, 112]"
KAB. KAUR,2221.5627317387894,"[416, 251, 198, 169, 187, 113]"
KAB. KEPAHIANG,2337.968964352305,"[416, 251, 198, 166, 165, 164, 114]"
KAB. LEBONG,2368.7232689007806,"[416, 384, 148, 147, 115]"
KAB. MUKOMUKO,2390.4885130586636,"[416, 331, 139, 116]"
KAB. REJANG LEBONG,2299.190887610036,"[416, 384, 118, 117]"
KAB. SELUMA,2232.8230913322795,"[416, 384, 118]"
KOTA BENGKULU,2290.6101115064794,"[416, 384, 118, 119]"
KAB. BANYUASIN,2205.260946317236,"[416, 251, 209, 208, 120]"
KAB. EMPAT LAWANG,2247.936403013839,"[416, 331, 139, 122, 121]"
