city,distance,through
KAB. ACEH BARAT,1259.0318898578862,"[119, 118, 51, 0]"
KAB. ACEH BARAT DAYA,1378.7236864910544,"[119, 118, 51, 0, 1]"
KAB. ACEH BESAR,1398.414894352724,"[119, 118, 66, 65, 3, 2]"
KAB. ACEH JAYA,1322.1114210156254,"[119, 118, 66, 65, 3]"
KAB. ACEH SELATAN,1076.6697117574513,"[119, 118, 66, 5, 4]"
KAB. ACEH SINGKIL,955.99898681687,"[119, 118, 66, 5]"
KAB. ACEH TAMIANG,1148.0190469609365,"[119, 118, 117, 116, 69, 70, 6]"
KAB. ACEH TENGAH,1207.5015086496478,"[119, 118, 101, 8, 7]"
KAB. ACEH TENGGARA,1048.6934831680662,"[119, 118, 101, 8]"
KAB. ACEH TIMUR,1183.9716548403583,"[119, 118, 101, 8, 9]"
KAB. ACEH UTARA,1250.561788928846,"[119, 118, 101, 8, 9, 10]"
KAB. BENER MERIAH,1235.79282643271,"[119, 118, 117, 11]"
KAB. BIREUEN,1286.7880000063315,"[119, 118, 117, 11, 12]"
KAB. GAYO LUES,1158.5460045229247,"[119, 118, 117, 116, 69, 70, 13]"
KAB. NAGAN RAYA,1088.9308481227,"[119, 14]"
KAB. PIDIE,1210.9562102068833,"[119, 14, 15]"
KAB. PIDIE JAYA,1240.4876068394638,"[119, 14, 15, 16]"
KAB. SIMEULUE,1206.9887667098062,"[119, 118, 66, 58, 17]"
KOTA BANDA ACEH,1478.9123736910442,"[119, 118, 117, 116, 69, 70, 6, 18]"
KOTA LANGSA,1186.408944669523,"[119, 118, 125, 19]"
KOTA LHOKSEUMAWE,1269.0308010561905,"[119, 118, 117, 27, 28, 20]"
KOTA SABANG,1448.5838761882264,"[119, 118, 117, 27, 22, 21]"
KOTA SUBULUSSALAM,992.9021474003335,"[119, 118, 117, 27, 22]"
KAB. ASAHAN,1149.5236348697908,"[119, 118, 66, 65, 63, 24, 23]"
KAB. BATUBARA,1107.1910570694367,"[119, 118, 66, 65, 63, 24]"
KAB. DAIRI,1033.1371228832631,"[119, 118, 117, 27, 28, 25]"
KAB. DELI SERDANG,1008.031780435891,"[119, 118, 51, 26]"
KAB. HUMBANG HASUNDUTAN,900.3066508607543,"[119, 118, 117, 27]"
