city,distance,through
KAB. ACEH BARAT,2321.3130430072783,"[269, 268, 229, 230, 0]"
KAB. ACEH BARAT DAYA,2230.6973877544324,"[269, 251, 252, 142, 141, 140, 1]"
KAB. ACEH BESAR,2426.5398813630077,"[269, 268, 2]"
KAB. ACEH JAYA,2360.8543263353067,"[269, 251, 78, 4, 3]"
KAB. ACEH SELATAN,2110.3891445756685,"[269, 251, 78, 4]"
KAB. ACEH SINGKIL,2012.8330907115787,"[269, 108, 107, 72, 5]"
KAB. ACEH TAMIANG,2117.1954844712154,"[269, 251, 6]"
KAB. ACEH TENGAH,2248.8730097069924,"[269, 251, 6, 7]"
KAB. ACEH TENGGARA,2098.887907706294,"[269, 251, 252, 137, 8]"
KAB. ACEH TIMUR,2234.166079378586,"[269, 251, 252, 137, 8, 9]"
KAB. ACEH UTARA,2244.118613168071,"[269, 251, 252, 10]"
KAB. BENER MERIAH,2242.9295840124355,"[269, 42, 11]"
KAB. BIREUEN,2293.9247575860572,"[269, 42, 11, 12]"
KAB. GAYO LUES,2170.3569003950497,"[269, 251, 252, 137, 13]"
KAB. NAGAN RAYA,2250.239558378707,"[269, 268, 135, 25, 14]"
KAB. PIDIE,2370.7411731163115,"[269, 270, 27, 22, 15]"
KAB. PIDIE JAYA,2342.299418190399,"[269, 251, 76, 75, 16]"
KAB. SIMEULUE,2191.9993053115372,"[269, 268, 17]"
KOTA BANDA ACEH,2448.088811201323,"[269, 251, 6, 18]"
KOTA LANGSA,2202.354387597478,"[269, 125, 19]"
KOTA LHOKSEUMAWE,2284.394853169102,"[269, 268, 28, 20]"
KOTA SABANG,2478.3166441860612,"[269, 268, 2, 21]"
KOTA SUBULUSSALAM,2028.7215330734455,"[269, 270, 27, 22]"
KAB. ASAHAN,2016.9693236406079,"[269, 247, 248, 93, 92, 24, 23]"
KAB. BATUBARA,1974.6367458402538,"[269, 247, 248, 93, 92, 24]"
KAB. DAIRI,2008.9418546043767,"[269, 268, 135, 25]"
KAB. DELI SERDANG,2023.2659508083443,"[269, 268, 229, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1936.1260365338662,"[269, 270, 27]"
KAB. KARO,2022.0701409327628,"[269, 268, 28]"
KAB. LABUHANBATU,1803.1748485953876,"[269, 247, 29]"
KAB. LABUHANBATU SELATAN,1786.9266160716356,"[269, 268, 229, 30]"
KAB. LABUHANBATU UTARA,1850.2452229117196,"[269, 251, 198, 31]"
KAB. LANGKAT,2087.3727365981003,"[269, 268, 135, 84, 32]"
KAB. MANDAILING NATAL,1781.7790033385888,"[269, 268, 229, 228, 33]"
KAB. NIAS,1944.7429282891735,"[269, 108, 107, 62, 34]"
KAB. NIAS BARAT,1966.7455907429728,"[269, 268, 229, 36, 35]"
KAB. NIAS SELATAN,1915.507842603108,"[269, 268, 229, 36]"
KAB. NIAS UTARA,1998.4441708024483,"[269, 251, 198, 213, 57, 37]"
KAB. PADANG LAWAS,1813.2495558193973,"[269, 270, 133, 38]"
KAB. PADANG LAWAS UTARA,1827.200848525364,"[269, 268, 135, 84, 39]"
KAB. PAKPAK BHARAT,2012.3952270697016,"[269, 268, 135, 41, 40]"
KAB. SAMOSIR,1947.7256148997408,"[269, 268, 135, 41]"
KAB. SERDANG BEDAGAI,1961.4715028207181,"[269, 42]"
KAB. SIMALUNGUN,1959.7431520268706,"[269, 251, 52, 43]"
KAB. TAPANULI SELATAN,1834.365762835419,"[269, 108, 107, 44]"
KAB. TAPANULI TENGAH,1905.0099745620428,"[269, 108, 107, 44, 45]"
KAB. TAPANULI UTARA,1870.9753685654136,"[269, 251, 78, 46]"
KAB. TOBA SAMOSIR,1910.649240782118,"[269, 251, 78, 46, 47]"
KOTA BINJAI,2030.4073613983276,"[269, 251, 48]"
KOTA GUNUNGSITOLI,1983.2134378228357,"[269, 251, 209, 226, 49]"
KOTA MEDAN,2072.637291495597,"[269, 270, 64, 50]"
KOTA PADANGSIDEMPUAN,1859.9551142037787,"[269, 270, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1936.3614658859742,"[269, 251, 52]"
KOTA SIBOLGA,1877.75563411025,"[269, 251, 78, 53]"
KOTA TANJUNGBALAI,1894.3979458003391,"[269, 251, 252, 137, 138, 54]"
KOTA TEBING TINGGI,1957.0482614124023,"[269, 251, 76, 75, 55]"
KAB. AGAM,1645.7973080723293,"[269, 251, 198, 213, 57, 56]"
KAB. DHARMASRAYA,1456.9824680852207,"[269, 251, 198, 213, 57]"
KAB. KEPULAUAN MENTAWAI,1683.5679048503457,"[269, 251, 58]"
KAB. LIMA PULUH KOTA,1664.2945550194331,"[269, 125, 126, 109, 59]"
KAB. PADANG PARIAMAN,1640.18131098113,"[269, 270, 133, 60]"
KAB. PASAMAN,1678.0676307314186,"[269, 125, 61]"
KAB. PASAMAN BARAT,1713.3637798585091,"[269, 108, 107, 62]"
KAB. PESISIR SELATAN,1480.970851217797,"[269, 247, 248, 63]"
KAB. SIJUNJUNG,1529.0825224842038,"[269, 270, 64]"
KAB. SOLOK,1565.245486121708,"[269, 247, 248, 63, 65]"
KAB. SOLOK SELATAN,1502.1708044864772,"[269, 251, 235, 124, 66]"
KAB. TANAH DATAR,1578.0348813727317,"[269, 251, 252, 67]"
KOTA BUKITTINGGI,1606.9077127946525,"[269, 251, 252, 67, 68]"
KOTA PADANG,1587.0465607929075,"[269, 108, 107, 69]"
KOTA PADANGPANJANG,1605.078370155795,"[269, 125, 70]"
KOTA PARIAMAN,1627.524539242641,"[269, 251, 198, 213, 214, 71]"
KOTA PAYAKUMBUH,1592.2299894278647,"[269, 108, 107, 72]"
KOTA SAWAHLUNTO,1560.316700692338,"[269, 270, 73]"
KOTA SOLOK,1574.7607725526148,"[269, 270, 73, 74]"
KAB. BENGKALIS,1610.848970605461,"[269, 251, 76, 75]"
KAB. INDRAGIRI HILIR,1379.7525550322875,"[269, 251, 76]"
KAB. INDRAGIRI HULU,1482.1212820622868,"[269, 165, 164, 144, 77]"
KAB. KAMPAR,1559.8323078161643,"[269, 251, 78]"
KAB. KEPULAUAN MERANTI,1524.095711306208,"[269, 108, 79]"
