city,distance,through
KAB. ACEH BARAT,3305.7980145619804,"[444, 445, 324, 323, 0]"
KAB. ACEH BARAT DAYA,3354.5390688704874,"[444, 443, 356, 357, 1]"
KAB. ACEH BESAR,3359.9551931046135,"[444, 445, 89, 3, 2]"
KAB. ACEH JAYA,3283.651719767515,"[444, 445, 89, 3]"
KAB. ACEH SELATAN,3167.5997220724616,"[444, 443, 5, 4]"
KAB. ACEH SINGKIL,3046.9289971318804,"[444, 443, 5]"
KAB. ACEH TAMIANG,3192.884479581391,"[444, 321, 86, 6]"
KAB. ACEH TENGAH,3177.9308588356116,"[444, 445, 434, 26, 7]"
KAB. ACEH TENGGARA,3239.380802804804,"[444, 443, 376, 375, 9, 8]"
KAB. ACEH TIMUR,3104.1026311325118,"[444, 443, 376, 375, 9]"
KAB. ACEH UTARA,3115.95273823447,"[444, 445, 89, 10]"
KAB. BENER MERIAH,3155.073939933971,"[444, 445, 89, 10, 11]"
KAB. BIREUEN,3172.5876953126462,"[444, 445, 12]"
KAB. GAYO LUES,3314.037202541556,"[444, 443, 376, 80, 13]"
KAB. NAGAN RAYA,3221.0542082648985,"[444, 443, 376, 14]"
KAB. PIDIE,3309.22241243486,"[444, 445, 434, 26, 16, 15]"
KAB. PIDIE JAYA,3279.6910158022793,"[444, 445, 434, 26, 16]"
KAB. SIMEULUE,3299.9427712539245,"[444, 445, 59, 17]"
KOTA BANDA ACEH,3468.420180716401,"[444, 443, 347, 19, 18]"
KOTA LANGSA,3151.2605251502946,"[444, 443, 347, 19]"
KOTA LHOKSEUMAWE,3266.2058369842744,"[444, 445, 434, 26, 7, 20]"
KOTA SABANG,3411.731955927667,"[444, 445, 89, 3, 2, 21]"
KOTA SUBULUSSALAM,3043.481416494446,"[444, 445, 89, 27, 22]"
KAB. ASAHAN,2921.2056559025555,"[444, 443, 376, 425, 24, 23]"
KAB. BATUBARA,2878.8730781022014,"[444, 443, 376, 425, 24]"
KAB. DAIRI,3018.9029970584747,"[444, 443, 356, 29, 25]"
KAB. DELI SERDANG,2941.1715492891367,"[444, 445, 434, 26]"
KAB. HUMBANG HASUNDUTAN,2950.8859199548665,"[444, 445, 89, 27]"
KAB. KARO,3027.3234048491304,"[444, 443, 356, 29, 28]"
KAB. LABUHANBATU,2799.4115566368687,"[444, 443, 356, 29]"
KAB. LABUHANBATU SELATAN,2794.709564232571,"[444, 321, 30]"
KAB. LABUHANBATU UTARA,2860.083759919366,"[444, 321, 30, 31]"
KAB. LANGKAT,3097.5596619777803,"[444, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,2876.028569590004,"[444, 443, 88, 33]"
KAB. NIAS,3055.75395336336,"[444, 445, 59, 62, 34]"
KAB. NIAS BARAT,3085.880073862206,"[444, 445, 59, 62, 34, 35]"
KAB. NIAS SELATAN,3137.1178220020706,"[444, 445, 59, 62, 34, 35, 36]"
KAB. NIAS UTARA,3075.2043162795003,"[444, 445, 434, 38, 37]"
KAB. PADANG LAWAS,2805.540947451496,"[444, 445, 434, 38]"
KAB. PADANG LAWAS UTARA,2849.986311175357,"[444, 321, 84, 39]"
KAB. PAKPAK BHARAT,3034.9793057651777,"[444, 443, 88, 40]"
KAB. SAMOSIR,3020.2217478326666,"[444, 443, 368, 41]"
KAB. SERDANG BEDAGAI,2976.7246275508523,"[444, 321, 320, 43, 42]"
KAB. SIMALUNGUN,2929.838561938065,"[444, 321, 320, 43]"
KAB. TAPANULI SELATAN,2926.3625565342104,"[444, 443, 347, 44]"
KAB. TAPANULI TENGAH,2997.006768260834,"[444, 443, 347, 44, 45]"
KAB. TAPANULI UTARA,3006.442451663348,"[444, 321, 320, 319, 46]"
KAB. TOBA SAMOSIR,3046.1163238800527,"[444, 321, 320, 319, 46, 47]"
KOTA BINJAI,2987.9492980067225,"[444, 443, 48]"
KOTA GUNUNGSITOLI,3073.360184983152,"[444, 443, 376, 49]"
KOTA MEDAN,3058.61847174599,"[444, 443, 376, 425, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,3001.437643332272,"[444, 445, 74, 51]"
KOTA PEMATANGSIANTAR,2953.2202480789615,"[444, 321, 320, 43, 52]"
KOTA SIBOLGA,3015.145071773466,"[444, 321, 84, 78, 53]"
KOTA TANJUNGBALAI,2929.867695289263,"[444, 443, 428, 54]"
KOTA TEBING TINGGI,2945.447021526195,"[444, 321, 55]"
KAB. AGAM,2836.244533077437,"[444, 445, 324, 323, 56]"
KAB. DHARMASRAYA,2770.453269376819,"[444, 445, 434, 337, 338, 142, 57]"
KAB. KEPULAUAN MENTAWAI,2939.795247893811,"[444, 443, 347, 58]"
KAB. LIMA PULUH KOTA,2723.4511561786017,"[444, 445, 59]"
KAB. PADANG PARIAMAN,2801.553560504753,"[444, 445, 59, 60]"
KAB. PASAMAN,2766.6388730665662,"[444, 445, 59, 61]"
KAB. PASAMAN BARAT,2824.3748049326955,"[444, 445, 59, 62]"
KAB. PESISIR SELATAN,2823.3212290302654,"[444, 445, 74, 63]"
KAB. SIJUNJUNG,2780.549424723455,"[444, 443, 376, 375, 137, 138, 103, 65, 64]"
KAB. SOLOK,2741.625130939149,"[444, 443, 376, 375, 137, 138, 103, 65]"
KAB. SOLOK SELATAN,2694.4574955917255,"[444, 443, 376, 375, 137, 66]"
KAB. TANAH DATAR,2748.1536969359886,"[444, 443, 376, 375, 67]"
KOTA BUKITTINGGI,2777.0265283579097,"[444, 443, 376, 375, 67, 68]"
KOTA PADANG,2765.900246061089,"[444, 443, 69]"
KOTA PADANGPANJANG,2809.026018912802,"[444, 445, 71, 70]"
