city,distance,through
KAB. ACEH BARAT,1497.7699949210044,"[158, 112, 0]"
KAB. ACEH BARAT DAYA,1617.4617915541726,"[158, 112, 0, 1]"
KAB. ACEH BESAR,1677.8965876189827,"[158, 157, 115, 4, 3, 2]"
KAB. ACEH JAYA,1601.593114281884,"[158, 157, 115, 4, 3]"
KAB. ACEH SELATAN,1351.1279325222456,"[158, 157, 115, 4]"
KAB. ACEH SINGKIL,1291.8884576847972,"[158, 157, 152, 151, 107, 72, 5]"
KAB. ACEH TAMIANG,1386.2742905383202,"[158, 157, 152, 86, 6]"
KAB. ACEH TENGAH,1511.0645641114072,"[158, 157, 152, 151, 8, 7]"
KAB. ACEH TENGGARA,1352.2565386298256,"[158, 157, 152, 151, 8]"
KAB. ACEH TIMUR,1487.5347103021177,"[158, 157, 152, 151, 8, 9]"
KAB. ACEH UTARA,1554.1248443906054,"[158, 157, 152, 151, 8, 9, 10]"
KAB. BENER MERIAH,1523.9468391914352,"[158, 157, 115, 116, 69, 70, 11]"
KAB. BIREUEN,1525.283046212743,"[158, 112, 13, 12]"
KAB. GAYO LUES,1376.075885512851,"[158, 112, 13]"
KAB. NAGAN RAYA,1473.1707225978698,"[158, 112, 13, 14]"
KAB. PIDIE,1595.1960846820532,"[158, 112, 13, 14, 15]"
KAB. PIDIE JAYA,1616.4902619801057,"[158, 157, 152, 151, 16]"
KAB. SIMEULUE,1355.1877039099127,"[158, 112, 17]"
KOTA BANDA ACEH,1687.3770740944917,"[158, 112, 17, 18]"
KOTA LANGSA,1568.9035051594858,"[158, 157, 58, 36, 37, 19]"
KOTA LHOKSEUMAWE,1551.5260280650216,"[158, 157, 152, 86, 25, 28, 20]"
KOTA SABANG,1651.4880653971481,"[158, 21]"
KOTA SUBULUSSALAM,1332.9178558021904,"[158, 157, 115, 116, 69, 83, 22]"
KAB. ASAHAN,1221.9837072270448,"[158, 157, 24, 23]"
KAB. BATUBARA,1179.6511294266907,"[158, 157, 24]"
KAB. DAIRI,1262.7702817652707,"[158, 157, 152, 86, 25]"
KAB. DELI SERDANG,1308.0980780079306,"[158, 157, 152, 151, 107, 26]"
KAB. HUMBANG HASUNDUTAN,1271.1561707586852,"[158, 157, 152, 86, 85, 27]"
KAB. KARO,1289.2013158286825,"[158, 157, 152, 86, 25, 28]"
KAB. LABUHANBATU,1142.595360218335,"[158, 157, 115, 116, 69, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,1090.9897947625952,"[158, 157, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU UTARA,1134.0041828447295,"[158, 157, 152, 151, 31]"
KAB. LANGKAT,1319.0019842387396,"[158, 157, 32]"
KAB. MANDAILING NATAL,1275.363019805905,"[158, 157, 152, 153, 123, 124, 66, 65, 63, 33]"
KAB. NIAS,1135.1169409921888,"[158, 157, 34]"
KAB. NIAS BARAT,1165.243061491035,"[158, 157, 34, 35]"
KAB. NIAS SELATAN,1129.0690535926235,"[158, 157, 58, 36]"
KAB. NIAS UTARA,1212.1086013759673,"[158, 157, 58, 36, 37]"
KAB. PADANG LAWAS,1209.782717480328,"[158, 157, 156, 155, 132, 133, 38]"
KAB. PADANG LAWAS UTARA,1237.8580726858468,"[158, 157, 152, 153, 123, 122, 84, 39]"
KAB. PAKPAK BHARAT,1313.7270015060367,"[158, 157, 152, 151, 107, 72, 41, 40]"
KAB. SAMOSIR,1249.0573893360759,"[158, 157, 152, 151, 107, 72, 41]"
KAB. SERDANG BEDAGAI,1316.0579291724582,"[158, 157, 152, 151, 107, 44, 43, 42]"
KAB. SIMALUNGUN,1269.171863559671,"[158, 157, 152, 151, 107, 44, 43]"
KAB. TAPANULI SELATAN,1113.4211298086375,"[158, 157, 152, 151, 107, 44]"
KAB. TAPANULI TENGAH,1184.0653415352613,"[158, 157, 152, 151, 107, 44, 45]"
KAB. TAPANULI UTARA,1192.5333580547833,"[158, 157, 152, 153, 46]"
KAB. TOBA SAMOSIR,1223.3221602862695,"[158, 157, 152, 153, 123, 47]"
KOTA BINJAI,1387.5476425388433,"[158, 157, 152, 153, 123, 52, 48]"
KOTA GUNUNGSITOLI,1198.6143168704787,"[158, 157, 34, 35, 49]"
KOTA MEDAN,1359.3965230704794,"[158, 157, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,1150.3427914284996,"[158, 112, 111, 74, 51]"
KOTA PEMATANGSIANTAR,1292.3443786496396,"[158, 157, 152, 153, 123, 52]"
KOTA SIBOLGA,1249.6428145602652,"[158, 157, 152, 153, 123, 124, 66, 53]"
KOTA TANJUNGBALAI,1197.4455513253497,"[158, 157, 152, 151, 107, 54]"
KOTA TEBING TINGGI,1215.368480605891,"[158, 157, 156, 55]"
KAB. AGAM,1063.0398710027082,"[158, 157, 152, 153, 123, 124, 125, 126, 109, 56]"
KAB. DHARMASRAYA,1029.8538872168897,"[158, 159, 160, 57]"
KAB. KEPULAUAN MENTAWAI,862.2631360802105,"[158, 157, 58]"
KAB. LIMA PULUH KOTA,1024.9955760835267,"[158, 157, 115, 62, 59]"
KAB. PADANG PARIAMAN,1036.7144726420609,"[158, 157, 156, 155, 132, 133, 60]"
KAB. PASAMAN,983.6942196541215,"[158, 157, 115, 62, 61]"
KAB. PASAMAN BARAT,924.0719273294329,"[158, 157, 115, 62]"
KAB. PESISIR SELATAN,953.1337837118513,"[158, 157, 152, 153, 123, 124, 66, 65, 63]"
KAB. SIJUNJUNG,907.7834425922464,"[158, 157, 152, 153, 123, 124, 66, 65, 64]"
KAB. SOLOK,868.8591488079402,"[158, 157, 152, 153, 123, 124, 66, 65]"
KAB. SOLOK SELATAN,804.5262897332882,"[158, 157, 152, 153, 123, 124, 66]"
KAB. TANAH DATAR,875.8626197137696,"[158, 157, 115, 116, 69, 68, 67]"
KOTA BUKITTINGGI,846.9897882918486,"[158, 157, 115, 116, 69, 68]"
KOTA PADANG,775.3711237376431,"[158, 157, 115, 116, 69]"
KOTA PADANGPANJANG,828.8967145698016,"[158, 157, 115, 116, 69, 70]"
KOTA PARIAMAN,864.2604164907036,"[158, 157, 115, 116, 69, 70, 71]"
KOTA PAYAKUMBUH,871.2853564010833,"[158, 157, 152, 151, 107, 72]"
KOTA SAWAHLUNTO,879.5925216376125,"[158, 112, 111, 74, 73]"
KOTA SOLOK,865.1484497773356,"[158, 112, 111, 74]"
KAB. BENGKALIS,1132.330243118165,"[158, 112, 111, 74, 75]"
KAB. INDRAGIRI HILIR,1306.0439750590292,"[158, 159, 160, 161, 162, 163, 164, 144, 77, 76]"
KAB. INDRAGIRI HULU,1201.2333070396273,"[158, 159, 160, 161, 162, 163, 164, 144, 77]"
KAB. KAMPAR,1061.411270225731,"[158, 157, 156, 137, 78]"
KAB. KEPULAUAN MERANTI,976.01032743309,"[158, 157, 156, 155, 99, 79]"
KAB. KUANTAN SINGINGI,969.2853269100001,"[158, 112, 111, 74, 80]"
KAB. PELALAWAN,1017.0624520775538,"[158, 157, 152, 153, 120, 101, 81]"
KAB. ROKAN HILIR,1074.7849667013365,"[158, 157, 115, 116, 69, 83, 82]"
KAB. ROKAN HULU,996.4630316411536,"[158, 157, 115, 116, 69, 83]"
KAB. SIAK,982.7376348597384,"[158, 157, 152, 153, 123, 122, 84]"
KOTA DUMAI,951.3410096326736,"[158, 157, 152, 86, 85]"
KOTA PEKANBARU,822.3019385906122,"[158, 157, 152, 86]"
KAB. BINTAN,1027.0571802772397,"[158, 157, 156, 155, 99, 87]"
KAB. KARIMUN,903.3102602221514,"[158, 157, 152, 151, 107, 88]"
KAB. KEPULAUAN ANAMBAS,1090.5369808400249,"[158, 157, 143, 90, 89]"
KAB. LINGGA,669.9135777014317,"[158, 157, 143, 90]"
KAB. NATUNA,1324.0512864038742,"[158, 157, 143, 90, 91]"
KOTA BATAM,820.1537553146547,"[158, 157, 152, 153, 120, 92]"
KOTA TANJUNG PINANG,871.8016553786433,"[158, 157, 152, 153, 120, 92, 93]"
PULAU TAMBELAN KAB. BINTAN,1020.439776990902,"[158, 157, 152, 153, 123, 94]"
PEKAJANG KAB. LINGGA,1093.1598445037885,"[158, 112, 111, 110, 95]"
PULAU SERASAN KAB. NATUNA,1198.0732186001194,"[158, 157, 152, 153, 120, 323, 96]"
PULAU MIDAI KAB. NATUNA,1166.0668621378466,"[158, 157, 152, 151, 97]"
PULAU LAUT KAB. NATUNA,1357.7082926737655,"[158, 157, 152, 151, 97, 98]"
KAB. BATANGHARI,680.0408062856765,"[158, 157, 156, 155, 99]"
KAB. BUNGO,812.8126389003565,"[158, 157, 156, 155, 99, 100]"
KAB. KERINCI,774.8110437299179,"[158, 157, 152, 153, 120, 101]"
KAB. MERANGIN,708.7984708764413,"[158, 157, 152, 153, 120, 102]"
KAB. MUARO JAMBI,722.7838528125353,"[158, 157, 156, 137, 138, 103]"
KAB. SAROLANGUN,706.4473579961582,"[158, 157, 152, 151, 150, 104]"
KAB. TANJUNG JABUNG BARAT,633.4114512647739,"[158, 157, 152, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,551.163848951163,"[158, 157, 152, 106]"
KAB. TEBO,648.8334004905491,"[158, 157, 152, 151, 107]"
KOTA JAMBI,771.9578458367977,"[158, 157, 152, 153, 123, 124, 125, 108]"
KOTA SUNGAI PENUH,817.0693379968392,"[158, 157, 152, 153, 123, 124, 125, 126, 109]"
KAB. BENGKULU SELATAN,588.5067268774413,"[158, 112, 111, 110]"
KAB. BENGKULU TENGAH,488.60438400443553,"[158, 112, 111]"
KAB. BENGKULU UTARA,422.47516754664497,"[158, 112]"
KAB. KAUR,622.0497142375096,"[158, 112, 113]"
KAB. KEPAHIANG,525.6038232778178,"[158, 157, 115, 114]"
KAB. LEBONG,452.84645010693424,"[158, 157, 115]"
KAB. MUKOMUKO,555.3536873757797,"[158, 157, 115, 116]"
KAB. REJANG LEBONG,719.2905968857611,"[158, 157, 115, 116, 117]"
KAB. SELUMA,710.2402537538682,"[158, 157, 152, 153, 123, 124, 125, 118]"
KOTA BENGKULU,703.3962773531166,"[158, 157, 152, 153, 120, 119]"
KAB. BANYUASIN,397.11614432361307,"[158, 157, 152, 153, 120]"
KAB. EMPAT LAWANG,493.08883342521096,"[158, 157, 152, 153, 123, 122, 121]"
KAB. LAHAT,441.2887424282817,"[158, 157, 152, 153, 123, 122]"
KAB. MUARA ENIM,368.6487847543625,"[158, 157, 152, 153, 123]"
KAB. MUSI BANYUASIN,502.06293277042164,"[158, 157, 152, 153, 123, 124]"
KAB. MUSI RAWAS,596.5376582421432,"[158, 157, 152, 153, 123, 124, 125]"
KAB. MUSI RAWAS UTARA,649.8752703611228,"[158, 157, 152, 153, 123, 124, 125, 126]"
KAB. OGAN ILIR,684.8980630078785,"[158, 157, 152, 151, 150, 129, 128, 127]"
KAB. OGAN KOMERING ILIR,617.4002956056215,"[158, 157, 152, 151, 150, 129, 128]"
KAB. OGAN KOMERING ULU,468.59316173376067,"[158, 157, 152, 151, 150, 129]"
KAB. OGAN KOMERING ULU SELATAN,539.7467952936138,"[158, 157, 152, 151, 150, 129, 130]"
KAB. OGAN KOMERING ULU TIMUR,592.8091440919075,"[158, 157, 156, 155, 132, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,485.3788345670341,"[158, 157, 156, 155, 132]"
KOTA LUBUKLINGGAU,613.217873945499,"[158, 157, 156, 155, 132, 133]"
KOTA PAGAR ALAM,705.4500960141385,"[158, 157, 156, 155, 132, 133, 134]"
KOTA PALEMBANG,690.7726595958272,"[158, 157, 156, 155, 132, 131, 135]"
KOTA PRABUMULIH,740.0830520482061,"[158, 157, 156, 137, 136]"
KAB. BANGKA,486.3398381300735,"[158, 157, 156, 137]"
KAB. BANGKA BARAT,533.4451846234448,"[158, 157, 156, 137, 138]"
KAB. BANGKA SELATAN,622.6982827443771,"[158, 157, 152, 151, 150, 149, 139]"
KAB. BANGKA TENGAH,652.8925223123445,"[158, 157, 152, 153, 123, 140]"
KAB. BELITUNG,691.173849084534,"[158, 157, 143, 142, 141]"
KAB. BELITUNG TIMUR,646.0238351429817,"[158, 157, 143, 142]"
KOTA PANGKAL PINANG,406.5335804443894,"[158, 157, 143]"
KAB. LAMPUNG TENGAH,635.8946523833486,"[158, 159, 160, 161, 162, 163, 164, 144]"
KAB. LAMPUNG UTARA,698.0713676849168,"[158, 159, 160, 161, 162, 163, 164, 144, 145]"
KAB. LAMPUNG SELATAN,819.2775463943185,"[158, 159, 160, 161, 162, 163, 164, 144, 145, 146]"
KAB. LAMPUNG BARAT,735.42496349833,"[158, 157, 152, 151, 150, 149, 148, 147]"
KAB. LAMPUNG TIMUR,564.6880211232184,"[158, 157, 152, 151, 150, 149, 148]"
KAB. MESUJI,434.5525352136335,"[158, 157, 152, 151, 150, 149]"
KAB. PESAWARAN,266.99815181076883,"[158, 157, 152, 151, 150]"
KAB. PESISIR BARAT,158.87840470119158,"[158, 157, 152, 151]"
KAB. PRINGSEWU,63.31291497303883,"[158, 157, 152]"
KAB. TULANG BAWANG,189.81521931014277,"[158, 157, 152, 153]"
KAB. TULANG BAWANG BARAT,241.94492053745608,"[158, 157, 152, 153, 154]"
KAB. TANGGAMUS,247.78849562369615,"[158, 157, 156, 155]"
KAB. WAY KANAN,158.13202627018848,"[158, 157, 156]"
KOTA BANDAR LAMPUNG,31.378838842515684,"[158, 157]"
KOTA METRO,0.0,[158]
KAB. LEBAK,191.82951392680397,"[158, 159]"
KAB. PANDEGLANG,257.39124729857963,"[158, 159, 160]"
KAB. SERANG,335.461227328219,"[158, 159, 160, 161]"
KAB. TANGERANG,385.18149534798397,"[158, 159, 160, 161, 162]"
KOTA CILEGON,441.7381673130199,"[158, 159, 160, 161, 162, 163]"
KOTA SERANG,462.46955547229675,"[158, 159, 160, 161, 162, 163, 164]"
KOTA TANGERANG,517.4570891697872,"[158, 159, 160, 161, 162, 163, 164, 165]"
KOTA TANGERANG SELATAN,528.560202728545,"[158, 159, 160, 161, 162, 163, 164, 165, 166]"
KAB. BANDUNG,577.7415858220882,"[158, 159, 194, 182, 170, 169, 168, 167]"
KAB. BANDUNG BARAT,544.6009496488665,"[158, 159, 194, 182, 170, 169, 168]"
KAB. BEKASI,466.12145992417135,"[158, 159, 194, 182, 170, 169]"
KAB. BOGOR,399.4894919141396,"[158, 159, 194, 182, 170]"
KAB. CIAMIS,463.5487322116749,"[158, 157, 172, 171]"
KAB. CIANJUR,336.29429918727874,"[158, 157, 172]"
KAB. CIREBON,495.8396507554953,"[158, 157, 172, 173]"
KAB. GARUT,488.6764944404487,"[158, 159, 181, 174]"
KAB. INDRAMAYU,360.4397708678109,"[158, 175]"
KAB. KARAWANG,469.6647304180873,"[158, 175, 176]"
KAB. KUNINGAN,482.369109744296,"[158, 159, 194, 177]"
KAB. MAJALENGKA,523.2370943603955,"[158, 159, 194, 177, 178]"
KAB. PANGANDARAN,513.3770415156985,"[158, 159, 194, 179]"
KAB. PURWAKARTA,404.33217160661906,"[158, 159, 181, 180]"
KAB. SUBANG,360.5354609752592,"[158, 159, 181]"
KAB. SUKABUMI,349.526618747238,"[158, 159, 194, 182]"
KAB. SUMEDANG,459.941235762564,"[158, 159, 194, 182, 183]"
KAB. TASIKMALAYA,497.0262487166956,"[158, 157, 152, 184]"
KOTA BANDUNG,597.0036614221159,"[158, 157, 152, 184, 185]"
KOTA BANJAR,698.492694476499,"[158, 159, 194, 182, 170, 169, 187, 186]"
KOTA BEKASI,485.2598215589376,"[158, 159, 194, 182, 170, 169, 187]"
KOTA BOGOR,529.3387763397386,"[158, 159, 194, 182, 170, 169, 187, 188]"
KOTA CIMAHI,514.168591160771,"[158, 190, 189]"
KOTA CIREBON,401.2692651150963,"[158, 190]"
KOTA DEPOK,596.6105085879669,"[158, 159, 194, 182, 183, 191]"
KOTA SUKABUMI,620.2443609949606,"[158, 159, 194, 193, 192]"
KOTA TASIKMALAYA,470.6415888827936,"[158, 159, 194, 193]"
KOTA JAKARTA,272.2023440686681,"[158, 159, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,340.54077996188187,"[158, 159, 194, 195]"
KAB. BANJARNEGARA,580.2695426568033,"[158, 159, 197, 196]"
KAB. BANYUMAS,526.5419581038312,"[158, 159, 197]"
KAB. BATANG,623.991556416104,"[158, 159, 197, 198]"
KAB. BLORA,787.1091370007306,"[158, 159, 197, 198, 199]"
KAB. BOYOLALI,753.6347903452042,"[158, 157, 172, 173, 200]"
KAB. BREBES,759.7015797128822,"[158, 159, 194, 182, 170, 169, 187, 186, 201]"
KAB. CILACAP,721.2864952686849,"[158, 159, 194, 182, 170, 169, 168, 202]"
KAB. DEMAK,724.1131351245475,"[158, 159, 226, 227, 203]"
KAB. GROBOGAN,748.9036547260221,"[158, 159, 226, 225, 204]"
KAB. JEPARA,733.8232786972644,"[158, 157, 172, 171, 205]"
