city,distance,through
KAB. ACEH BARAT,916.1703575909369,"[69, 68, 67, 73, 74, 51, 0]"
KAB. ACEH BARAT DAYA,1035.862154224105,"[69, 68, 67, 73, 74, 51, 0, 1]"
KAB. ACEH BESAR,919.8309156699042,"[69, 70, 4, 3, 2]"
KAB. ACEH JAYA,843.5274423328055,"[69, 70, 4, 3]"
KAB. ACEH SELATAN,593.0622605731672,"[69, 70, 4]"
KAB. ACEH SINGKIL,581.0711157304136,"[69, 70, 71, 72, 5]"
KAB. ACEH TAMIANG,639.9098846371356,"[69, 70, 6]"
KAB. ACEH TENGAH,771.5874098729129,"[69, 70, 6, 7]"
KAB. ACEH TENGGARA,629.3295274880804,"[69, 68, 67, 8]"
KAB. ACEH TIMUR,764.6076991603725,"[69, 68, 67, 8, 9]"
KAB. ACEH UTARA,787.6969171532927,"[69, 70, 11, 10]"
KAB. BENER MERIAH,748.575715453792,"[69, 70, 11]"
KAB. BIREUEN,799.5708890274136,"[69, 70, 11, 12]"
KAB. GAYO LUES,650.4368421991238,"[69, 70, 13]"
KAB. NAGAN RAYA,747.5316792841426,"[69, 70, 13, 14]"
KAB. PIDIE,869.557041368326,"[69, 70, 13, 14, 15]"
KAB. PIDIE JAYA,890.4774722748034,"[69, 70, 30, 26, 16]"
KAB. SIMEULUE,902.026648373422,"[69, 68, 67, 73, 58, 17]"
KOTA BANDA ACEH,970.8032113672432,"[69, 70, 6, 18]"
KOTA LANGSA,894.8975502789415,"[69, 34, 35, 36, 37, 19]"
KOTA LHOKSEUMAWE,829.6565562209219,"[69, 70, 30, 28, 20]"
KOTA SABANG,971.6076784929578,"[69, 70, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,557.5467320645474,"[69, 83, 22]"
KAB. ASAHAN,748.7611369562027,"[69, 83, 22, 23]"
KAB. BATUBARA,728.0758483156311,"[69, 70, 30, 29, 25, 24]"
KAB. DAIRI,586.7156769022978,"[69, 70, 30, 29, 25]"
KAB. DELI SERDANG,551.9580057616608,"[69, 70, 30, 26]"
KAB. HUMBANG HASUNDUTAN,545.527764770936,"[69, 70, 30, 29, 27]"
KAB. KARO,567.3318439845827,"[69, 70, 30, 28]"
KAB. LABUHANBATU,367.22423648069184,"[69, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,315.61867102495216,"[69, 70, 30]"
KAB. LABUHANBATU UTARA,380.99286671174696,"[69, 70, 30, 31]"
KAB. LANGKAT,618.4687687701613,"[69, 70, 30, 31, 32]"
KAB. MANDAILING NATAL,558.4308898606879,"[69, 34, 33]"
KAB. NIAS,373.6992300733684,"[69, 34]"
KAB. NIAS BARAT,403.82535057221446,"[69, 34, 35]"
KAB. NIAS SELATAN,455.0630987120793,"[69, 34, 35, 36]"
KAB. NIAS UTARA,538.102646495423,"[69, 34, 35, 36, 37]"
KAB. PADANG LAWAS,509.15615099011836,"[69, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,563.7256359925941,"[69, 70, 30, 29, 38, 39]"
KAB. PAKPAK BHARAT,602.9096595516529,"[69, 70, 71, 72, 41, 40]"
