city,distance,through
KAB. ACEH BARAT,890.3605466538063,"[70, 71, 73, 74, 51, 0]"
KAB. ACEH BARAT DAYA,1010.0523432869745,"[70, 71, 73, 74, 51, 0, 1]"
KAB. ACEH BESAR,866.3053248377457,"[70, 4, 3, 2]"
KAB. ACEH JAYA,790.001851500647,"[70, 4, 3]"
KAB. ACEH SELATAN,539.5366697410087,"[70, 4]"
KAB. ACEH SINGKIL,527.545524898255,"[70, 71, 72, 5]"
KAB. ACEH TAMIANG,586.3842938049771,"[70, 6]"
KAB. ACEH TENGAH,718.0618190407544,"[70, 6, 7]"
KAB. ACEH TENGGARA,660.9316540613388,"[70, 71, 73, 67, 8]"
KAB. ACEH TIMUR,796.2098257336309,"[70, 71, 73, 67, 8, 9]"
KAB. ACEH UTARA,734.1713263211342,"[70, 11, 10]"
KAB. BENER MERIAH,695.0501246216335,"[70, 11]"
KAB. BIREUEN,746.0452981952551,"[70, 11, 12]"
KAB. GAYO LUES,596.9112513669653,"[70, 13]"
KAB. NAGAN RAYA,694.006088451984,"[70, 13, 14]"
KAB. PIDIE,816.0314505361675,"[70, 13, 14, 15]"
KAB. PIDIE JAYA,836.9518814426449,"[70, 30, 26, 16]"
KAB. SIMEULUE,876.2168374362914,"[70, 71, 73, 58, 17]"
KOTA BANDA ACEH,917.2776205350847,"[70, 6, 18]"
KOTA LANGSA,897.6021868691402,"[70, 30, 28, 20, 19]"
KOTA LHOKSEUMAWE,776.1309653887633,"[70, 30, 28, 20]"
KOTA SABANG,918.0820876607993,"[70, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,584.5976704783567,"[70, 30, 29, 27, 22]"
KAB. ASAHAN,716.8828352838267,"[70, 30, 29, 25, 24, 23]"
KAB. BATUBARA,674.5502574834726,"[70, 30, 29, 25, 24]"
KAB. DAIRI,533.1900860701393,"[70, 30, 29, 25]"
KAB. DELI SERDANG,498.43241492950233,"[70, 30, 26]"
KAB. HUMBANG HASUNDUTAN,492.00217393877745,"[70, 30, 29, 27]"
KAB. KARO,513.8062531524242,"[70, 30, 28]"
KAB. LABUHANBATU,313.69864564853333,"[70, 30, 29]"
KAB. LABUHANBATU SELATAN,262.09308019279365,"[70, 30]"
KAB. LABUHANBATU UTARA,327.46727587958844,"[70, 30, 31]"
KAB. LANGKAT,564.9431779380028,"[70, 30, 31, 32]"
KAB. MANDAILING NATAL,547.1388890976787,"[70, 71, 73, 74, 63, 33]"
KAB. NIAS,427.22482090552694,"[70, 69, 34]"
KAB. NIAS BARAT,457.350941404373,"[70, 69, 34, 35]"
KAB. NIAS SELATAN,508.5886895442378,"[70, 69, 34, 35, 36]"
KAB. NIAS UTARA,591.6282373275815,"[70, 69, 34, 35, 36, 37]"
KAB. PADANG LAWAS,455.63056015795985,"[70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,510.2000451604356,"[70, 30, 29, 38, 39]"
KAB. PAKPAK BHARAT,549.3840687194943,"[70, 71, 72, 41, 40]"
KAB. SAMOSIR,484.71445654953357,"[70, 71, 72, 41]"
KAB. SERDANG BEDAGAI,568.943949380771,"[70, 71, 72, 41, 42]"
KAB. SIMALUNGUN,605.5263507633639,"[70, 71, 73, 74, 51, 52, 43]"
KAB. TAPANULI SELATAN,576.107035234585,"[70, 71, 73, 46, 45, 44]"
KAB. TAPANULI TENGAH,505.46282350796133,"[70, 71, 73, 46, 45]"
KAB. TAPANULI UTARA,456.46843935644694,"[70, 71, 73, 46]"
KAB. TOBA SAMOSIR,496.1423115731514,"[70, 71, 73, 46, 47]"
KOTA BINJAI,660.9436820919832,"[70, 71, 73, 46, 47, 48]"
KOTA GUNUNGSITOLI,490.72219678381657,"[70, 69, 34, 35, 49]"
KOTA MEDAN,659.0634947882836,"[70, 71, 73, 74, 51, 50]"
KOTA PADANGSIDEMPUAN,403.0260673056314,"[70, 71, 73, 74, 51]"
KOTA PEMATANGSIANTAR,582.1446646224675,"[70, 71, 73, 74, 51, 52]"
KOTA SIBOLGA,701.0579202835245,"[70, 71, 84, 78, 53]"
KOTA TANJUNGBALAI,697.5329929483771,"[70, 30, 28, 55, 54]"
KOTA TEBING TINGGI,615.7962452768188,"[70, 30, 28, 55]"
KAB. AGAM,671.8764988396306,"[70, 71, 73, 74, 80, 81, 57, 56]"
KAB. DHARMASRAYA,483.061658852522,"[70, 71, 73, 74, 80, 81, 57]"
KAB. KEPULAUAN MENTAWAI,320.6422419027035,"[70, 71, 73, 58]"
KAB. LIMA PULUH KOTA,498.5228670910644,"[70, 71, 73, 74, 63, 61, 59]"
KAB. PADANG PARIAMAN,541.7223249841755,"[70, 71, 73, 74, 63, 61, 60]"
KAB. PASAMAN,455.33515020309994,"[70, 71, 73, 74, 63, 61]"
KAB. PASAMAN BARAT,482.22915936092215,"[70, 71, 73, 74, 63, 62]"
KAB. PESISIR SELATAN,224.90965300362487,"[70, 71, 73, 74, 63]"
KAB. SIJUNJUNG,344.21654697542107,"[70, 71, 73, 74, 63, 64]"
KAB. SOLOK,309.1842879075359,"[70, 71, 73, 74, 63, 65]"
KAB. SOLOK SELATAN,260.5886312105385,"[70, 71, 73, 67, 66]"
KAB. TANAH DATAR,132.09362254938492,"[70, 71, 73, 67]"
KOTA BUKITTINGGI,125.14425538636411,"[70, 69, 68]"
KOTA PADANG,53.52559083215854,"[70, 69]"
KOTA PADANGPANJANG,0.0,[70]
KOTA PARIAMAN,35.363701920901995,"[70, 71]"
KOTA PAYAKUMBUH,106.94242361454096,"[70, 71, 72]"
KOTA SAWAHLUNTO,103.38765379419044,"[70, 71, 73]"
KOTA SOLOK,117.83172565446736,"[70, 71, 73, 74]"
KAB. BENGKALIS,385.01351899529675,"[70, 71, 73, 74, 75]"
KAB. INDRAGIRI HILIR,616.1099345684704,"[70, 71, 73, 74, 75, 76]"
KAB. INDRAGIRI HULU,539.3683409626423,"[70, 71, 84, 78, 77]"
KAB. KAMPAR,383.1345939894387,"[70, 71, 84, 78]"
KAB. KEPULAUAN MERANTI,419.6713015423819,"[70, 71, 73, 74, 80, 79]"
KAB. KUANTAN SINGINGI,221.96860278713183,"[70, 71, 73, 74, 80]"
KAB. PELALAWAN,326.14899761821584,"[70, 71, 73, 74, 80, 81]"
KAB. ROKAN HILIR,352.939433795852,"[70, 69, 83, 82]"
KAB. ROKAN HULU,274.61749873566913,"[70, 69, 83]"
KAB. SIAK,280.7787218593069,"[70, 71, 84]"
KOTA DUMAI,385.60198369679824,"[70, 71, 84, 85]"
KOTA PEKANBARU,514.6410547388596,"[70, 71, 84, 85, 86]"
KAB. BINTAN,562.4834229882823,"[70, 71, 72, 87]"
KAB. KARIMUN,525.2709778393377,"[70, 69, 107, 88]"
KAB. KEPULAUAN ANAMBAS,885.6885688150069,"[70, 69, 107, 88, 89]"
KAB. LINGGA,1225.1505544431786,"[70, 71, 73, 74, 111, 149, 90]"
KAB. NATUNA,1164.5007196054676,"[70, 71, 93, 92, 91]"
KOTA BATAM,599.5585019579996,"[70, 71, 93, 92]"
KOTA TANJUNG PINANG,547.910601894011,"[70, 71, 93]"
PULAU TAMBELAN KAB. BINTAN,866.6111840453003,"[70, 71, 93, 94]"
PEKAJANG KAB. LINGGA,972.589729844424,"[70, 71, 73, 58, 95]"
PULAU SERASAN KAB. NATUNA,1127.9517550287037,"[70, 71, 97, 96]"
PULAU MIDAI KAB. NATUNA,976.5351424330876,"[70, 71, 97]"
PULAU LAUT KAB. NATUNA,1102.2887878168663,"[70, 69, 98]"
KAB. BATANGHARI,596.066956506244,"[70, 71, 73, 74, 63, 64, 99]"
KAB. BUNGO,625.1948680071457,"[70, 71, 73, 74, 80, 81, 101, 100]"
KAB. KERINCI,568.4004059658517,"[70, 71, 73, 74, 80, 81, 101]"
KAB. MERANGIN,637.8762559697635,"[70, 71, 73, 74, 80, 81, 101, 102]"
KAB. MUARO JAMBI,459.2250002233779,"[70, 71, 103]"
