city,distance,through
KAB. ACEH BARAT,487.3344793481749,"[51, 0]"
KAB. ACEH BARAT DAYA,607.0262759813431,"[51, 0, 1]"
KAB. ACEH BESAR,829.292960213049,"[51, 26, 7, 20, 21, 2]"
KAB. ACEH JAYA,905.5964335501478,"[51, 26, 7, 20, 21, 2, 3]"
KAB. ACEH SELATAN,892.671028655368,"[51, 74, 73, 72, 5, 4]"
KAB. ACEH SINGKIL,772.0003037147866,"[51, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,604.771204708432,"[51, 26, 7, 6]"
KAB. ACEH TENGAH,473.0936794726548,"[51, 26, 7]"
KAB. ACEH TENGGARA,631.9017049542363,"[51, 26, 7, 8]"
KAB. ACEH TIMUR,620.8477417630248,"[51, 41, 42, 11, 10, 9]"
KAB. ACEH UTARA,554.2576076745372,"[51, 41, 42, 11, 10]"
KAB. BENER MERIAH,515.1364059750365,"[51, 41, 42, 11]"
KAB. BIREUEN,566.1315795486581,"[51, 41, 42, 11, 12]"
KAB. GAYO LUES,653.1573029330906,"[51, 26, 25, 14, 13]"
KAB. NAGAN RAYA,556.0624658480718,"[51, 26, 25, 14]"
KAB. PIDIE,604.385233071903,"[51, 26, 16, 15]"
KAB. PIDIE JAYA,574.8538364393224,"[51, 26, 16]"
KAB. SIMEULUE,799.0548846366621,"[51, 26, 25, 28, 55, 17]"
KOTA BANDA ACEH,935.6645314385396,"[51, 26, 7, 6, 18]"
KOTA LANGSA,682.8398791016942,"[51, 26, 7, 20, 19]"
KOTA LHOKSEUMAWE,561.3686576213174,"[51, 26, 7, 20]"
KOTA SABANG,777.5161973899955,"[51, 26, 7, 20, 21]"
KOTA SUBULUSSALAM,465.5211985849205,"[51, 26, 27, 22]"
KAB. ASAHAN,393.45024332608693,"[51, 50, 23]"
KAB. BATUBARA,435.782821126441,"[51, 50, 23, 24]"
KAB. DAIRI,314.76476207374145,"[51, 26, 25]"
KAB. DELI SERDANG,236.33436992617985,"[51, 26]"
KAB. HUMBANG HASUNDUTAN,372.92570204534127,"[51, 26, 27]"
KAB. KARO,341.1957961371531,"[51, 26, 25, 28]"
KAB. LABUHANBATU,524.2792701186282,"[51, 26, 30, 29]"
KAB. LABUHANBATU SELATAN,472.67370466288855,"[51, 26, 30]"
