city,distance,through
KAB. ACEH BARAT,2783.6675926135736,"[400, 336, 342, 0]"
KAB. ACEH BARAT DAYA,2771.6576066107136,"[400, 332, 331, 139, 140, 1]"
KAB. ACEH BESAR,2938.974974052516,"[400, 347, 4, 3, 2]"
KAB. ACEH JAYA,2862.671500715417,"[400, 347, 4, 3]"
KAB. ACEH SELATAN,2612.206318955779,"[400, 347, 4]"
KAB. ACEH SINGKIL,2635.054695679979,"[400, 332, 355, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,2585.0534582619766,"[400, 315, 6]"
KAB. ACEH TENGAH,2710.3609308124187,"[400, 332, 352, 7]"
KAB. ACEH TENGGARA,2662.7525210318813,"[400, 336, 137, 8]"
KAB. ACEH TIMUR,2635.403710216729,"[400, 315, 9]"
KAB. ACEH UTARA,2701.9938443052165,"[400, 315, 9, 10]"
KAB. BENER MERIAH,2740.7240838426787,"[400, 332, 355, 321, 320, 43, 42, 11]"
KAB. BIREUEN,2748.0515665313687,"[400, 332, 12]"
KAB. GAYO LUES,2734.2215137206367,"[400, 336, 137, 13]"
KAB. NAGAN RAYA,2745.50264958303,"[400, 336, 25, 14]"
KAB. PIDIE,2820.7593436536367,"[400, 332, 15]"
KAB. PIDIE JAYA,2850.2907402862174,"[400, 332, 15, 16]"
KAB. SIMEULUE,2780.6461681076166,"[400, 332, 352, 55, 17]"
KOTA BANDA ACEH,2902.2620953691617,"[400, 347, 19, 18]"
KOTA LANGSA,2585.1024398030554,"[400, 347, 19]"
KOTA LHOKSEUMAWE,2706.573661283432,"[400, 347, 19, 20]"
KOTA SABANG,2922.7212010521102,"[400, 347, 19, 20, 21]"
KOTA SUBULUSSALAM,2556.933425508314,"[400, 332, 331, 85, 27, 22]"
KAB. ASAHAN,2511.133502159092,"[400, 332, 333, 334, 94, 93, 92, 24, 23]"
KAB. BATUBARA,2468.800924358738,"[400, 332, 333, 334, 94, 93, 92, 24]"
KAB. DAIRI,2504.2049458086994,"[400, 336, 25]"
KAB. DELI SERDANG,2513.5902740693887,"[400, 332, 355, 321, 30, 26]"
