city,distance,through
KAB. ACEH BARAT,1993.5232524402431,"[226, 221, 153, 123, 62, 0]"
KAB. ACEH BARAT DAYA,1967.0395952604495,"[226, 221, 168, 167, 166, 165, 1]"
KAB. ACEH BESAR,2103.6367922933196,"[226, 3, 2]"
KAB. ACEH JAYA,2027.3333189562209,"[226, 3]"
KAB. ACEH SELATAN,1799.2338039725037,"[226, 221, 153, 5, 4]"
KAB. ACEH SINGKIL,1678.5630790319224,"[226, 221, 153, 5]"
KAB. ACEH TAMIANG,1847.3112344820397,"[226, 125, 70, 6]"
KAB. ACEH TENGAH,1933.3361559647803,"[226, 221, 153, 67, 8, 7]"
KAB. ACEH TENGGARA,1774.5281304831988,"[226, 221, 153, 67, 8]"
KAB. ACEH TIMUR,1908.1923440054497,"[226, 125, 126, 109, 9]"
KAB. ACEH UTARA,1951.917434669919,"[226, 33, 10]"
KAB. BENER MERIAH,1955.9770652986958,"[226, 125, 70, 11]"
KAB. BIREUEN,2006.9722388723173,"[226, 125, 70, 11, 12]"
KAB. GAYO LUES,1857.838192044028,"[226, 125, 70, 13]"
KAB. NAGAN RAYA,1908.8766649230893,"[226, 25, 14]"
KAB. PIDIE,2030.9020270072726,"[226, 25, 14, 15]"
KAB. PIDIE JAYA,2060.433423639853,"[226, 25, 14, 15, 16]"
KAB. SIMEULUE,1883.9886443203554,"[226, 221, 111, 112, 17]"
KOTA BANDA ACEH,2172.415592925153,"[226, 33, 39, 18]"
KOTA LANGSA,1858.2029581187453,"[226, 125, 19]"
KOTA LHOKSEUMAWE,1956.3347074485098,"[226, 25, 28, 20]"
KOTA SABANG,2155.413555116373,"[226, 3, 2, 21]"
KOTA SUBULUSSALAM,1746.0914327205319,"[226, 221, 168, 136, 22]"
KAB. ASAHAN,1708.4010964711317,"[226, 185, 24, 23]"
KAB. BATUBARA,1666.0685186707776,"[226, 185, 24]"
KAB. DAIRI,1667.578961148759,"[226, 25]"
KAB. DELI SERDANG,1722.4881312709547,"[226, 125, 107, 26]"
KAB. HUMBANG HASUNDUTAN,1671.7986139413601,"[226, 185, 130, 27]"
KAB. KARO,1694.0099952121707,"[226, 25, 28]"
KAB. LABUHANBATU,1559.2625282310312,"[226, 185, 30, 29]"
KAB. LABUHANBATU SELATAN,1507.6569627752915,"[226, 185, 30]"
KAB. LABUHANBATU UTARA,1573.0311584620863,"[226, 185, 30, 31]"
KAB. LANGKAT,1762.7117882523935,"[226, 221, 153, 32]"
KAB. MANDAILING NATAL,1424.1580970347716,"[226, 33]"
KAB. NIAS,1608.8897568220912,"[226, 33, 34]"
KAB. NIAS BARAT,1639.0158773209373,"[226, 33, 34, 35]"
KAB. NIAS SELATAN,1616.469926219068,"[226, 221, 153, 58, 36]"
KAB. NIAS UTARA,1686.1829793713723,"[226, 221, 153, 120, 37]"
KAB. PADANG LAWAS,1473.7347820398204,"[226, 221, 134, 133, 38]"
KAB. PADANG LAWAS UTARA,1521.3847641168504,"[226, 33, 39]"
KAB. PAKPAK BHARAT,1709.843333763147,"[226, 33, 39, 40]"
KAB. SAMOSIR,1663.4474425991,"[226, 125, 107, 72, 41]"
KAB. SERDANG BEDAGAI,1712.4599877842998,"[226, 221, 168, 149, 42]"
KAB. SIMALUNGUN,1677.695612857306,"[226, 221, 153, 123, 52, 43]"
KAB. TAPANULI SELATAN,1527.8111830716616,"[226, 125, 107, 44]"
KAB. TAPANULI TENGAH,1598.4553947982854,"[226, 125, 107, 44, 45]"
KAB. TAPANULI UTARA,1554.5029061215535,"[226, 221, 153, 46]"
KAB. TOBA SAMOSIR,1585.2917083530397,"[226, 221, 153, 123, 47]"
KOTA BINJAI,1749.5171906056135,"[226, 221, 153, 123, 52, 48]"
KOTA GUNUNGSITOLI,1617.4852053184532,"[226, 49]"
KOTA MEDAN,1761.327758865711,"[226, 221, 168, 50]"
KOTA PADANGSIDEMPUAN,1546.8852989233612,"[226, 221, 111, 74, 51]"
KOTA PEMATANGSIANTAR,1654.3139267164097,"[226, 221, 153, 123, 52]"
KOTA SIBOLGA,1606.0719248015541,"[226, 185, 66, 53]"
