city,distance,through
KAB. ACEH BARAT,1896.5010860541202,"[327, 137, 138, 103, 104, 107, 62, 0]"
KAB. ACEH BARAT DAYA,1902.7505023087183,"[327, 137, 138, 139, 140, 1]"
KAB. ACEH BESAR,1865.1078218403131,"[327, 328, 22, 21, 2]"
KAB. ACEH JAYA,1808.23780388505,"[327, 137, 78, 4, 3]"
KAB. ACEH SELATAN,1557.7726221254115,"[327, 137, 78, 4]"
KAB. ACEH SINGKIL,1517.1327984607246,"[327, 137, 66, 5]"
KAB. ACEH TAMIANG,1559.741670199921,"[327, 137, 86, 6]"
KAB. ACEH TENGAH,1552.2247570767693,"[327, 328, 8, 7]"
KAB. ACEH TENGGARA,1393.4167315951877,"[327, 328, 8]"
KAB. ACEH TIMUR,1528.6949032674797,"[327, 328, 8, 9]"
KAB. ACEH UTARA,1553.111562938719,"[327, 328, 11, 10]"
KAB. BENER MERIAH,1513.9903612392184,"[327, 328, 11]"
KAB. BIREUEN,1564.98553481284,"[327, 328, 11, 12]"
KAB. GAYO LUES,1584.3005092896647,"[327, 137, 13]"
KAB. NAGAN RAYA,1677.5353652012018,"[327, 137, 86, 25, 14]"
KAB. PIDIE,1699.6689702722326,"[327, 328, 22, 15]"
KAB. PIDIE JAYA,1729.200366904813,"[327, 328, 22, 15, 16]"
KAB. SIMEULUE,1745.9473987416268,"[327, 137, 138, 54, 55, 17]"
KOTA BANDA ACEH,1675.2684511307968,"[327, 18]"
KOTA LANGSA,1761.9709567058087,"[327, 328, 8, 7, 20, 19]"
KOTA LHOKSEUMAWE,1640.499735225432,"[327, 328, 8, 7, 20]"
KOTA SABANG,1813.3310590172596,"[327, 328, 22, 21]"
KOTA SUBULUSSALAM,1357.6493302293666,"[327, 328, 22]"
KAB. ASAHAN,1548.8637351210218,"[327, 328, 22, 23]"
KAB. BATUBARA,1577.5978328402048,"[327, 137, 86, 25, 24]"
KAB. DAIRI,1436.2376614268715,"[327, 137, 86, 25]"
KAB. DELI SERDANG,1513.1835350191197,"[327, 137, 29, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1403.5421631169156,"[327, 137, 29, 27]"
KAB. KARO,1453.150483038933,"[327, 137, 29, 28]"
KAB. LABUHANBATU,1225.2386348266714,"[327, 137, 29]"
KAB. LABUHANBATU SELATAN,1276.844200282411,"[327, 137, 29, 30]"
KAB. LABUHANBATU UTARA,1342.2183959692059,"[327, 137, 29, 30, 31]"
KAB. LANGKAT,1491.887909733394,"[327, 328, 44, 45, 32]"
KAB. MANDAILING NATAL,1407.4458843177586,"[327, 137, 138, 103, 65, 63, 33]"
KAB. NIAS,1505.9781449779773,"[327, 137, 138, 103, 65, 49, 35, 34]"
KAB. NIAS BARAT,1475.8520244791312,"[327, 137, 138, 103, 65, 49, 35]"
KAB. NIAS SELATAN,1479.3539003324859,"[327, 137, 66, 58, 36]"
KAB. NIAS UTARA,1562.3934481158296,"[327, 137, 66, 58, 36, 37]"
KAB. PADANG LAWAS,1367.1705493360978,"[327, 137, 29, 38]"
KAB. PADANG LAWAS UTARA,1364.6920953221475,"[327, 137, 78, 84, 39]"
KAB. PAKPAK BHARAT,1455.9965069150037,"[327, 328, 52, 43, 42, 41, 40]"
KAB. SAMOSIR,1391.3268947450429,"[327, 328, 52, 43, 42, 41]"
KAB. SERDANG BEDAGAI,1307.0974019138055,"[327, 328, 52, 43, 42]"
KAB. SIMALUNGUN,1260.2113363010183,"[327, 328, 52, 43]"
KAB. TAPANULI SELATAN,1192.805992826472,"[327, 328, 44]"
KAB. TAPANULI TENGAH,1263.4502045530958,"[327, 328, 44, 45]"
KAB. TAPANULI UTARA,1311.3276221491017,"[327, 137, 138, 46]"
KAB. TOBA SAMOSIR,1351.0014943658061,"[327, 137, 138, 46, 47]"
KOTA BINJAI,1332.0329140493257,"[327, 328, 52, 48]"
KOTA GUNUNGSITOLI,1442.4807690996874,"[327, 137, 138, 103, 65, 49]"
KOTA MEDAN,1583.4210761154932,"[327, 137, 138, 103, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,1410.6137689001594,"[327, 137, 66, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1236.829650160122,"[327, 328, 52]"
KOTA SIBOLGA,1325.139111659993,"[327, 137, 78, 53]"
KOTA TANJUNGBALAI,1308.341554694954,"[327, 137, 138, 54]"
KOTA TEBING TINGGI,1390.0783023665124,"[327, 137, 138, 54, 55]"
KAB. AGAM,1397.9258691957432,"[327, 137, 136, 135, 109, 56]"
KAB. DHARMASRAYA,1249.0416689184144,"[327, 117, 118, 57]"
KAB. KEPULAUAN MENTAWAI,1212.5479828200728,"[327, 137, 66, 58]"
KAB. LIMA PULUH KOTA,1358.8298623111446,"[327, 137, 138, 103, 65, 63, 61, 59]"
KAB. PADANG PARIAMAN,1402.0293202042556,"[327, 137, 138, 103, 65, 63, 61, 60]"
KAB. PASAMAN,1315.64214542318,"[327, 137, 138, 103, 65, 63, 61]"
KAB. PASAMAN BARAT,1287.3321865898072,"[327, 137, 138, 103, 104, 107, 62]"
KAB. PESISIR SELATAN,1085.2166482237049,"[327, 137, 138, 103, 65, 63]"
KAB. SIJUNJUNG,1039.8663071041,"[327, 137, 138, 103, 65, 64]"
KAB. SOLOK,1000.9420133197939,"[327, 137, 138, 103, 65]"
KAB. SOLOK SELATAN,953.7743779723703,"[327, 137, 66]"
KAB. TANAH DATAR,1082.269386633524,"[327, 137, 66, 67]"
KOTA BUKITTINGGI,1111.1422180554448,"[327, 137, 66, 67, 68]"
KOTA PADANG,1161.0149675242055,"[327, 137, 138, 103, 104, 107, 69]"
KOTA PADANGPANJANG,1127.8133681760896,"[327, 137, 138, 103, 71, 70]"
KOTA PARIAMAN,1092.4496662551876,"[327, 137, 138, 103, 71]"
KOTA PAYAKUMBUH,1162.73414430835,"[327, 137, 66, 67, 73, 72]"
KOTA SAWAHLUNTO,1110.9753553887185,"[327, 137, 66, 67, 73]"
KOTA SOLOK,1125.4194272489954,"[327, 137, 66, 67, 73, 74]"
KAB. BENGKALIS,1392.6012205898246,"[327, 137, 66, 67, 73, 74, 75]"
KAB. INDRAGIRI HILIR,1268.2602003585127,"[327, 137, 78, 77, 76]"
KAB. INDRAGIRI HULU,1163.4495323391109,"[327, 137, 78, 77]"
KAB. KAMPAR,1007.2157853659073,"[327, 137, 78]"
KAB. KEPULAUAN MERANTI,1195.489815566434,"[327, 137, 78, 79]"
KAB. KUANTAN SINGINGI,1229.5563043816599,"[327, 137, 66, 67, 73, 74, 80]"
KAB. PELALAWAN,1196.343316998646,"[327, 137, 138, 103, 102, 101, 81]"
KAB. ROKAN HILIR,1320.0054731106948,"[327, 137, 66, 67, 82]"
KAB. ROKAN HULU,1262.7233107207605,"[327, 137, 78, 84, 83]"
KAB. SIAK,1109.571657496039,"[327, 137, 78, 84]"
KOTA DUMAI,1124.8083892942743,"[327, 137, 86, 85]"
KOTA PEKANBARU,995.769318252213,"[327, 137, 86]"
KAB. BINTAN,1097.7186272251731,"[327, 137, 138, 139, 87]"
KAB. KARIMUN,1198.2232999802309,"[327, 137, 138, 103, 104, 107, 88]"
KAB. KEPULAUAN ANAMBAS,1558.6408909559002,"[327, 137, 138, 103, 104, 107, 88, 89]"
KAB. LINGGA,1217.006724000999,"[327, 137, 138, 139, 149, 90]"
KAB. NATUNA,1417.085087918298,"[327, 137, 138, 139, 140, 91]"
KOTA BATAM,1371.3665972995054,"[327, 154, 153, 120, 92]"
