city,distance,through
KAB. ACEH BARAT,1432.4881338707557,"[136, 135, 109, 59, 62, 0]"
KAB. ACEH BARAT DAYA,1552.179930503924,"[136, 135, 109, 59, 62, 0, 1]"
KAB. ACEH BESAR,1484.8659154615316,"[136, 21, 2]"
KAB. ACEH JAYA,1500.8723926179694,"[136, 135, 109, 59, 62, 4, 3]"
KAB. ACEH SELATAN,1250.407210858331,"[136, 135, 109, 59, 62, 4]"
KAB. ACEH SINGKIL,1156.6403981200206,"[136, 113, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,1263.422929402046,"[136, 135, 109, 59, 6]"
KAB. ACEH TENGAH,1302.2481728916744,"[136, 135, 84, 30, 26, 7]"
KAB. ACEH TENGGARA,1241.8225081838234,"[136, 113, 74, 73, 67, 8]"
KAB. ACEH TIMUR,1310.4448041170983,"[136, 135, 109, 9]"
KAB. ACEH UTARA,1377.034938205586,"[136, 135, 109, 9, 10]"
KAB. BENER MERIAH,1351.2404310716543,"[136, 135, 84, 52, 43, 42, 11]"
KAB. BIREUEN,1402.2356046452758,"[136, 135, 84, 52, 43, 42, 11, 12]"
KAB. GAYO LUES,1316.6408248641217,"[136, 113, 112, 13]"
KAB. NAGAN RAYA,1290.8783065258597,"[136, 135, 25, 14]"
KAB. PIDIE,1321.6943488333925,"[136, 22, 15]"
KAB. PIDIE JAYA,1351.225745465973,"[136, 22, 15, 16]"
KAB. SIMEULUE,1295.7526432611833,"[136, 113, 112, 17]"
KOTA BANDA ACEH,1518.8704254808194,"[136, 135, 84, 39, 18]"
KOTA LANGSA,1398.2644127818699,"[136, 135, 134, 133, 19]"
KOTA LHOKSEUMAWE,1338.3363490512802,"[136, 135, 25, 28, 20]"
KOTA SABANG,1433.089152638478,"[136, 21]"
KOTA SUBULUSSALAM,979.6747087905264,"[136, 22]"
KAB. ASAHAN,1170.8891136821817,"[136, 22, 23]"
KAB. BATUBARA,1190.9407741648627,"[136, 135, 25, 24]"
KAB. DAIRI,1049.5806027515293,"[136, 135, 25]"
KAB. DELI SERDANG,1065.4888633451994,"[136, 135, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1037.3575818099112,"[136, 135, 84, 85, 27]"
KAB. KARO,1076.011636814941,"[136, 135, 25, 28]"
KAB. LABUHANBATU,880.7550940642304,"[136, 135, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,829.1495286084908,"[136, 135, 84, 30]"
KAB. LABUHANBATU UTARA,894.5237242952855,"[136, 135, 84, 30, 31]"
KAB. LANGKAT,1128.0114847452533,"[136, 135, 84, 32]"
KAB. MANDAILING NATAL,965.0662637545956,"[136, 135, 84, 39, 33]"
KAB. NIAS,1053.347214740629,"[136, 113, 114, 115, 116, 69, 34]"
KAB. NIAS BARAT,1083.473335239475,"[136, 113, 114, 115, 116, 69, 34, 35]"
KAB. NIAS SELATAN,1134.71108337934,"[136, 113, 114, 115, 116, 69, 34, 35, 36]"
KAB. NIAS UTARA,1192.072450502997,"[136, 135, 84, 39, 38, 37]"
KAB. PADANG LAWAS,922.4090816749925,"[136, 135, 84, 39, 38]"
KAB. PADANG LAWAS UTARA,867.8395966725168,"[136, 135, 84, 39]"
KAB. PAKPAK BHARAT,1053.033975216854,"[136, 135, 41, 40]"
KAB. SAMOSIR,988.3643630468933,"[136, 135, 41]"
KAB. SERDANG BEDAGAI,1069.7823498799366,"[136, 135, 84, 52, 43, 42]"
KAB. SIMALUNGUN,1022.8962842671494,"[136, 135, 84, 52, 43]"
KAB. TAPANULI SELATAN,1105.311661775087,"[136, 113, 114, 45, 44]"
KAB. TAPANULI TENGAH,1034.6674500484635,"[136, 113, 114, 45]"
KAB. TAPANULI UTARA,1026.2180917257897,"[136, 135, 84, 78, 46]"
KAB. TOBA SAMOSIR,1065.8919639424942,"[136, 135, 84, 78, 46, 47]"
KOTA BINJAI,1094.7178620154568,"[136, 135, 84, 52, 48]"
KOTA GUNUNGSITOLI,1116.8445906189188,"[136, 113, 114, 115, 116, 69, 34, 35, 49]"
KOTA MEDAN,1210.920252897967,"[136, 113, 51, 50]"
KOTA PADANGSIDEMPUAN,954.8828254153146,"[136, 113, 51]"
KOTA PEMATANGSIANTAR,999.5145981262531,"[136, 135, 84, 52]"
KOTA SIBOLGA,1032.998357270626,"[136, 135, 84, 78, 53]"
KOTA TANJUNGBALAI,1129.9404153428368,"[136, 137, 138, 54]"
KOTA TEBING TINGGI,1122.239533233479,"[136, 135, 109, 56, 55]"
KAB. AGAM,712.0383020073609,"[136, 135, 109, 56]"
KAB. DHARMASRAYA,825.6508824205562,"[136, 135, 131, 117, 118, 57]"
KAB. KEPULAUAN MENTAWAI,901.5330960251881,"[136, 113, 74, 73, 58]"
KAB. LIMA PULUH KOTA,722.3955856523492,"[136, 135, 109, 59]"
KAB. PADANG PARIAMAN,800.4979899785004,"[136, 135, 109, 59, 60]"
KAB. PASAMAN,765.5833025403136,"[136, 135, 109, 59, 61]"
KAB. PASAMAN BARAT,823.3192344064429,"[136, 135, 109, 59, 62]"
KAB. PESISIR SELATAN,665.184039049838,"[136, 135, 131, 63]"
KAB. SIJUNJUNG,784.4909330216342,"[136, 135, 131, 63, 64]"
KAB. SOLOK,749.4586739537491,"[136, 135, 131, 63, 65]"
KAB. SOLOK SELATAN,775.3732386202531,"[136, 137, 66]"
KAB. TANAH DATAR,712.9844766718695,"[136, 113, 74, 73, 67]"
KOTA BUKITTINGGI,741.8573080937905,"[136, 113, 74, 73, 67, 68]"
KOTA PADANG,679.6479846672605,"[136, 113, 114, 115, 116, 69]"
