city,distance,through
KAB. ACEH BARAT,2332.874786364628,"[272, 273, 140, 1, 0]"
KAB. ACEH BARAT DAYA,2213.18298973146,"[272, 273, 140, 1]"
KAB. ACEH BESAR,2463.4778319349907,"[272, 273, 140, 1, 2]"
KAB. ACEH JAYA,2399.4404405959344,"[272, 271, 270, 3]"
KAB. ACEH SELATAN,2154.1941371026523,"[272, 273, 77, 78, 4]"
KAB. ACEH SINGKIL,2064.3648870576353,"[272, 271, 270, 73, 72, 5]"
KAB. ACEH TAMIANG,2154.7164353991366,"[272, 250, 6]"
KAB. ACEH TENGAH,2268.2853761440597,"[272, 7]"
KAB. ACEH TENGGARA,2116.163266876574,"[272, 8]"
KAB. ACEH TIMUR,2251.4414385488662,"[272, 8, 9]"
KAB. ACEH UTARA,2298.2701025853435,"[272, 252, 10]"
KAB. BENER MERIAH,2281.660822021945,"[272, 250, 11]"
KAB. BIREUEN,2332.6559955955668,"[272, 250, 11, 12]"
KAB. GAYO LUES,2204.381070884903,"[272, 271, 99, 13]"
KAB. NAGAN RAYA,2278.731903567015,"[272, 271, 81, 14]"
KAB. PIDIE,2390.669369666738,"[272, 271, 81, 30, 15]"
KAB. PIDIE JAYA,2376.922713077407,"[272, 271, 81, 30, 26, 16]"
KAB. SIMEULUE,2246.6427760756405,"[272, 271, 81, 17]"
KOTA BANDA ACEH,2485.6097621292442,"[272, 250, 6, 18]"
KOTA LANGSA,2231.083658541483,"[272, 225, 19]"
KOTA LHOKSEUMAWE,2292.7323616748026,"[272, 271, 20]"
KOTA SABANG,2508.879901443481,"[272, 271, 20, 21]"
KOTA SUBULUSSALAM,2060.4078292353975,"[272, 271, 270, 27, 22]"
KAB. ASAHAN,2054.940108139088,"[272, 225, 224, 24, 23]"
KAB. BATUBARA,2012.6075303387338,"[272, 225, 224, 24]"
KAB. DAIRI,2047.231394552558,"[272, 135, 25]"
KAB. DELI SERDANG,2038.4032465642645,"[272, 271, 81, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1967.8123326958182,"[272, 271, 270, 27]"
KAB. KARO,2053.777084787186,"[272, 271, 81, 30, 28]"
KAB. LABUHANBATU,1853.6694772832955,"[272, 271, 81, 30, 29]"
KAB. LABUHANBATU SELATAN,1802.0639118275558,"[272, 271, 81, 30]"
KAB. LABUHANBATU UTARA,1867.4381075143506,"[272, 271, 81, 30, 31]"
KAB. LANGKAT,2104.914009572765,"[272, 271, 81, 30, 31, 32]"
KAB. MANDAILING NATAL,1822.2077703040313,"[272, 236, 33]"
KAB. NIAS,2001.6306049409777,"[272, 271, 251, 108, 107, 62, 34]"
KAB. NIAS BARAT,2021.5258665113172,"[272, 236, 36, 35]"
KAB. NIAS SELATAN,1970.2881183714524,"[272, 236, 36]"
KAB. NIAS UTARA,2039.7042487165982,"[272, 271, 99, 100, 37]"
KAB. PADANG LAWAS,1844.935851981349,"[272, 271, 270, 133, 38]"
KAB. PADANG LAWAS UTARA,1865.4903884735454,"[272, 135, 84, 39]"
KAB. PAKPAK BHARAT,2050.6847670178827,"[272, 135, 41, 40]"
KAB. SAMOSIR,1986.015154847922,"[272, 135, 41]"
KAB. SERDANG BEDAGAI,2062.667314460302,"[272, 271, 251, 52, 43, 42]"
KAB. SIMALUNGUN,2015.781248847515,"[272, 271, 251, 52, 43]"
KAB. TAPANULI SELATAN,1862.5561864594881,"[272, 271, 44]"
KAB. TAPANULI TENGAH,1933.2003981861117,"[272, 271, 44, 45]"
KAB. TAPANULI UTARA,1914.7803610923975,"[272, 273, 77, 78, 46]"
KAB. TOBA SAMOSIR,1954.454233309102,"[272, 273, 77, 78, 46, 47]"
KOTA BINJAI,2066.6032423296965,"[272, 273, 48]"
KOTA GUNUNGSITOLI,2009.9498236000584,"[272, 273, 77, 49]"
KOTA MEDAN,2061.9796572108744,"[272, 236, 50]"
KOTA PADANGSIDEMPUAN,1891.6414103657307,"[272, 271, 270, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1992.3995627066186,"[272, 271, 251, 52]"
KOTA SIBOLGA,1921.5606266372338,"[272, 273, 77, 78, 53]"
KOTA TANJUNGBALAI,1921.65367244562,"[272, 236, 138, 54]"
KOTA TEBING TINGGI,2003.3904201171783,"[272, 236, 138, 54, 55]"
KAB. AGAM,1692.1750834202521,"[272, 236, 57, 56]"
KAB. DHARMASRAYA,1503.3602434331435,"[272, 236, 57]"
KAB. KEPULAUAN MENTAWAI,1732.2604414495236,"[272, 58]"
KAB. LIMA PULUH KOTA,1720.0463774533778,"[272, 135, 109, 59]"
KAB. PADANG PARIAMAN,1671.8676071430818,"[272, 271, 270, 133, 60]"
KAB. PASAMAN,1715.8388342016558,"[272, 236, 61]"
KAB. PASAMAN BARAT,1770.2514565103133,"[272, 271, 251, 108, 107, 62]"
KAB. PESISIR SELATAN,1548.356442783386,"[272, 236, 131, 63]"
KAB. SIJUNJUNG,1560.6392465365475,"[272, 271, 99, 64]"
