city,distance,through
KAB. ACEH BARAT,421.7634016597521,"[21, 2, 1, 0]"
KAB. ACEH BARAT DAYA,302.07160502658394,"[21, 2, 1]"
KAB. ACEH BESAR,51.77676282305351,"[21, 2]"
KAB. ACEH JAYA,128.08023616015225,"[21, 2, 3]"
KAB. ACEH SELATAN,378.5454179197906,"[21, 2, 3, 4]"
KAB. ACEH SINGKIL,499.21614286037203,"[21, 2, 3, 4, 5]"
KAB. ACEH TAMIANG,436.100043153118,"[21, 20, 7, 6]"
KAB. ACEH TENGAH,304.42251791734077,"[21, 20, 7]"
KAB. ACEH TENGGARA,463.23054339892224,"[21, 20, 7, 8]"
KAB. ACEH TIMUR,598.5087150712143,"[21, 20, 7, 8, 9]"
KAB. ACEH UTARA,665.0988491597019,"[21, 20, 7, 8, 9, 10]"
KAB. BENER MERIAH,704.2200508592026,"[21, 20, 7, 8, 9, 10, 11]"
KAB. BIREUEN,755.2152244328242,"[21, 20, 7, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,843.2958269277779,"[21, 20, 28, 25, 14, 13]"
KAB. NAGAN RAYA,746.2009898427591,"[21, 20, 28, 25, 14]"
KAB. PIDIE,797.7013688307591,"[21, 22, 15]"
KAB. PIDIE JAYA,827.2327654633395,"[21, 22, 15, 16]"
KAB. SIMEULUE,936.3313405045262,"[21, 20, 28, 55, 17]"
KOTA BANDA ACEH,654.7784168151611,"[21, 20, 19, 18]"
KOTA LANGSA,337.61876124905484,"[21, 20, 19]"
KOTA LHOKSEUMAWE,216.14753976867806,"[21, 20]"
KOTA SABANG,0.0,[21]
KOTA SUBULUSSALAM,455.6817287878929,"[21, 22]"
KAB. ASAHAN,646.8961336795481,"[21, 22, 23]"
KAB. BATUBARA,646.2634574817621,"[21, 20, 28, 25, 24]"
KAB. DAIRI,504.90328606842877,"[21, 20, 28, 25]"
KAB. DELI SERDANG,541.1818274638157,"[21, 20, 7, 26]"
KAB. HUMBANG HASUNDUTAN,548.2772253274721,"[21, 22, 27]"
KAB. KARO,478.47225200501714,"[21, 20, 28]"
KAB. LABUHANBATU,706.3841002172787,"[21, 20, 28, 29]"
KAB. LABUHANBATU SELATAN,730.1854249646476,"[21, 20, 28, 30]"
KAB. LABUHANBATU UTARA,795.5596206514424,"[21, 20, 28, 30, 31]"
KAB. LANGKAT,853.6560342685216,"[21, 20, 45, 32]"
KAB. MANDAILING NATAL,866.5735843754131,"[21, 22, 49, 35, 34, 33]"
KAB. NIAS,681.8419245880937,"[21, 22, 49, 35, 34]"
KAB. NIAS BARAT,651.7158040892476,"[21, 22, 49, 35]"
KAB. NIAS SELATAN,702.9535522291125,"[21, 22, 49, 35, 36]"
KAB. NIAS UTARA,694.4136650325734,"[21, 20, 19, 37]"
KAB. PADANG LAWAS,732.74139478434,"[21, 2, 38]"
KAB. PADANG LAWAS UTARA,787.3108797868157,"[21, 2, 38, 39]"
KAB. PAKPAK BHARAT,975.7694494331122,"[21, 2, 38, 39, 40]"
KAB. SAMOSIR,926.9650293420772,"[21, 20, 7, 26, 51, 41]"
KAB. SERDANG BEDAGAI,898.4993401786676,"[21, 20, 45, 44, 43, 42]"
KAB. SIMALUNGUN,851.6132745658804,"[21, 20, 45, 44, 43]"
KAB. TAPANULI SELATAN,695.8625408148469,"[21, 20, 45, 44]"
KAB. TAPANULI TENGAH,625.2183290882232,"[21, 20, 45]"
KAB. TAPANULI UTARA,674.2127132397376,"[21, 20, 45, 46]"
KAB. TOBA SAMOSIR,713.886585456442,"[21, 20, 45, 46, 47]"
KOTA BINJAI,878.6879559752739,"[21, 20, 45, 46, 47, 48]"
KOTA GUNUNGSITOLI,618.344548709804,"[21, 22, 49]"
KOTA MEDAN,784.3089495229829,"[21, 22, 23, 50]"
KOTA PADANGSIDEMPUAN,777.5161973899956,"[21, 20, 7, 26, 51]"
KOTA PEMATANGSIANTAR,874.9949607067767,"[21, 20, 45, 44, 43, 52]"
KOTA SIBOLGA,839.2971330342838,"[21, 20, 28, 55, 54, 53]"
KOTA TANJUNGBALAI,662.1989918009699,"[21, 20, 28, 55, 54]"
KOTA TEBING TINGGI,580.4622441294117,"[21, 20, 28, 55]"
KAB. AGAM,990.6634753555298,"[21, 20, 28, 55, 56]"
KAB. DHARMASRAYA,1179.4783153426386,"[21, 20, 28, 55, 56, 57]"
KAB. KEPULAUAN MENTAWAI,969.7594697415254,"[21, 22, 49, 35, 36, 58]"
KAB. LIMA PULUH KOTA,906.5570431257726,"[21, 2, 3, 4, 62, 59]"
KAB. PADANG PARIAMAN,951.642861477443,"[21, 2, 3, 4, 62, 61, 60]"
KAB. PASAMAN,865.2556866963674,"[21, 2, 3, 4, 62, 61]"
KAB. PASAMAN BARAT,805.6333943716788,"[21, 2, 3, 4, 62]"
KAB. PESISIR SELATAN,1062.9529007289761,"[21, 2, 3, 4, 62, 63]"
KAB. SIJUNJUNG,1032.1425255569159,"[21, 2, 3, 65, 64]"
KAB. SOLOK,993.2182317726098,"[21, 2, 3, 65]"
KAB. SOLOK SELATAN,1057.5510908472618,"[21, 2, 3, 65, 66]"
KAB. TANAH DATAR,929.7942416254389,"[21, 2, 3, 67]"
KOTA BUKITTINGGI,958.6670730473598,"[21, 2, 3, 67, 68]"
KOTA PADANG,971.6076784929578,"[21, 2, 3, 4, 70, 69]"
KOTA PADANGPANJANG,918.0820876607993,"[21, 2, 3, 4, 70]"
KOTA PARIAMAN,953.4457895817013,"[21, 2, 3, 4, 70, 71]"
