city,distance,through
KAB. ACEH BARAT,1629.095105723654,"[164, 144, 77, 0]"
KAB. ACEH BARAT DAYA,1598.7147872339815,"[164, 165, 1]"
KAB. ACEH BESAR,1759.5061884603303,"[164, 163, 3, 2]"
KAB. ACEH JAYA,1683.2027151232317,"[164, 163, 3]"
KAB. ACEH SELATAN,1445.5543353000382,"[164, 144, 77, 78, 4]"
KAB. ACEH SINGKIL,1340.8856498308055,"[164, 144, 145, 66, 5]"
KAB. ACEH TAMIANG,1497.8969844637668,"[164, 69, 70, 6]"
KAB. ACEH TENGAH,1592.146865040692,"[164, 144, 145, 67, 8, 7]"
KAB. ACEH TENGGARA,1433.3388395591105,"[164, 144, 145, 67, 8]"
KAB. ACEH TIMUR,1568.6170112314026,"[164, 144, 145, 67, 8, 9]"
KAB. ACEH UTARA,1604.6489644095127,"[164, 144, 33, 10]"
KAB. BENER MERIAH,1606.5628152804231,"[164, 69, 70, 11]"
KAB. BIREUEN,1636.3968285897745,"[164, 163, 13, 12]"
KAB. GAYO LUES,1487.1896678898825,"[164, 163, 13]"
KAB. NAGAN RAYA,1584.2845049749012,"[164, 163, 13, 14]"
KAB. PIDIE,1706.3098670590846,"[164, 163, 13, 14, 15]"
KAB. PIDIE JAYA,1677.9205288395665,"[164, 144, 77, 16]"
KAB. SIMEULUE,1490.9810523579974,"[164, 114, 17]"
KOTA BANDA ACEH,1771.7731805588337,"[164, 39, 18]"
KOTA LANGSA,1583.7065256926578,"[164, 165, 19]"
KOTA LHOKSEUMAWE,1635.9826296123003,"[164, 114, 45, 20]"
KOTA SABANG,1811.282951283384,"[164, 163, 3, 2, 21]"
KOTA SUBULUSSALAM,1410.1871548906138,"[164, 144, 135, 84, 83, 22]"
KAB. ASAHAN,1393.3229962581074,"[164, 144, 145, 63, 24, 23]"
KAB. BATUBARA,1350.9904184577533,"[164, 144, 145, 63, 24]"
KAB. DAIRI,1357.4421214099764,"[164, 144, 135, 25]"
KAB. DELI SERDANG,1373.3503820036465,"[164, 144, 135, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1333.4984298434929,"[164, 85, 27]"
KAB. KARO,1383.8731554733881,"[164, 144, 135, 25, 28]"
KAB. LABUHANBATU,1188.6166127226775,"[164, 144, 135, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,1137.0110472669378,"[164, 144, 135, 84, 30]"
