city,distance,through
KAB. ACEH BARAT,1367.5437447060133,"[93, 71, 73, 74, 51, 0]"
KAB. ACEH BARAT DAYA,1487.2355413391815,"[93, 71, 73, 74, 51, 0, 1]"
KAB. ACEH BESAR,1304.2145302340678,"[93, 92, 24, 25, 28, 20, 21, 2]"
KAB. ACEH JAYA,1314.532565927792,"[93, 65, 3]"
KAB. ACEH SELATAN,1087.4472716350197,"[93, 71, 70, 4]"
KAB. ACEH SINGKIL,1004.728722950462,"[93, 71, 72, 5]"
KAB. ACEH TAMIANG,1134.294895698988,"[93, 71, 70, 6]"
KAB. ACEH TENGAH,1062.724183036622,"[93, 92, 24, 25, 26, 7]"
KAB. ACEH TENGGARA,1138.1148521135458,"[93, 71, 73, 67, 8]"
KAB. ACEH TIMUR,1273.3930237858378,"[93, 71, 73, 67, 8, 9]"
KAB. ACEH UTARA,1245.6059383004942,"[93, 71, 11, 10]"
KAB. BENER MERIAH,1206.4847366009935,"[93, 71, 11]"
KAB. BIREUEN,1235.1341829018263,"[93, 92, 24, 25, 14, 13, 12]"
KAB. GAYO LUES,1085.9270222019343,"[93, 92, 24, 25, 14, 13]"
KAB. NAGAN RAYA,988.8321851169156,"[93, 92, 24, 25, 14]"
KAB. PIDIE,1110.8575472010991,"[93, 92, 24, 25, 14, 15]"
KAB. PIDIE JAYA,1140.3889438336796,"[93, 92, 24, 25, 14, 15, 16]"
KAB. SIMEULUE,1231.824603905506,"[93, 92, 24, 25, 28, 55, 17]"
KOTA BANDA ACEH,1465.1882224290957,"[93, 71, 70, 6, 18]"
KOTA LANGSA,1157.7614491227127,"[93, 92, 24, 25, 28, 20, 19]"
KOTA LHOKSEUMAWE,1036.290227642336,"[93, 92, 24, 25, 28, 20]"
KOTA SABANG,1252.4377674110142,"[93, 92, 24, 25, 28, 20, 21]"
KOTA SUBULUSSALAM,839.7212926212613,"[93, 92, 24, 23, 22]"
KAB. ASAHAN,648.5068877296061,"[93, 92, 24, 23]"
KAB. BATUBARA,606.174309929252,"[93, 92, 24]"
KAB. DAIRI,747.5344813425853,"[93, 92, 24, 25]"
KAB. DELI SERDANG,825.9648734901469,"[93, 92, 24, 25, 26]"
KAB. HUMBANG HASUNDUTAN,880.364953365094,"[93, 92, 24, 25, 28, 27]"
KAB. KARO,773.9655154059969,"[93, 92, 24, 25, 28]"
KAB. LABUHANBATU,861.6092475425444,"[93, 71, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,810.0036820868047,"[93, 71, 70, 30]"
KAB. LABUHANBATU UTARA,875.3778777735995,"[93, 71, 70, 30, 31]"
KAB. LANGKAT,1112.853779832014,"[93, 71, 70, 30, 31, 32]"
KAB. MANDAILING NATAL,855.8984413132991,"[93, 65, 63, 33]"
KAB. NIAS,954.4307019735174,"[93, 65, 49, 35, 34]"
KAB. NIAS BARAT,924.3045814746714,"[93, 65, 49, 35]"
KAB. NIAS SELATAN,975.5423296145362,"[93, 65, 49, 35, 36]"
KAB. NIAS UTARA,1058.58187739788,"[93, 65, 49, 35, 36, 37]"
KAB. PADANG LAWAS,1003.5411620519709,"[93, 71, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,953.125108395378,"[93, 65, 63, 33, 39]"
KAB. PAKPAK BHARAT,1026.5672667717015,"[93, 71, 72, 41, 40]"
KAB. SAMOSIR,961.8976546017407,"[93, 71, 72, 41]"
KAB. SERDANG BEDAGAI,1046.127147432978,"[93, 71, 72, 41, 42]"
KAB. SIMALUNGUN,1063.2044036276034,"[93, 108, 107, 44, 43]"
KAB. TAPANULI SELATAN,907.4536698765698,"[93, 108, 107, 44]"
KAB. TAPANULI TENGAH,978.0978816031935,"[93, 108, 107, 44, 45]"
KAB. TAPANULI UTARA,933.6516374086539,"[93, 71, 73, 46]"
KAB. TOBA SAMOSIR,973.3255096253583,"[93, 71, 73, 46, 47]"
KOTA BINJAI,1138.1268801441902,"[93, 71, 73, 46, 47, 48]"
KOTA GUNUNGSITOLI,890.9333260952278,"[93, 65, 49]"
KOTA MEDAN,785.9197035730408,"[93, 92, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,880.2092653578384,"[93, 71, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1059.3278626746744,"[93, 71, 73, 74, 51, 52]"
KOTA SIBOLGA,958.8439542169631,"[93, 65, 66, 53]"
KOTA TANJUNGBALAI,957.6922552019498,"[93, 92, 24, 25, 28, 55, 54]"
KOTA TEBING TINGGI,875.9555075303915,"[93, 92, 24, 25, 28, 55]"
KAB. AGAM,794.3741743860973,"[93, 108, 109, 56]"
KAB. DHARMASRAYA,934.5584171440024,"[93, 108, 125, 118, 57]"
KAB. KEPULAUAN MENTAWAI,772.5010342376888,"[93, 65, 66, 58]"
KAB. LIMA PULUH KOTA,804.7314580310856,"[93, 108, 109, 59]"
KAB. PADANG PARIAMAN,850.481877199796,"[93, 65, 63, 61, 60]"
KAB. PASAMAN,764.0947024187204,"[93, 65, 63, 61]"
KAB. PASAMAN BARAT,786.4516868996602,"[93, 108, 107, 62]"
KAB. PESISIR SELATAN,533.6692052192453,"[93, 65, 63]"
KAB. SIJUNJUNG,488.3188640996404,"[93, 65, 64]"
KAB. SOLOK,449.39457031533425,"[93, 65]"
KAB. SOLOK SELATAN,513.7274293899862,"[93, 65, 66]"
KAB. TANAH DATAR,609.2768206015919,"[93, 71, 73, 67]"
KOTA BUKITTINGGI,638.1496520235129,"[93, 71, 73, 67, 68]"
KOTA PADANG,601.4361927261696,"[93, 71, 70, 69]"
KOTA PADANGPANJANG,547.910601894011,"[93, 71, 70]"
KOTA PARIAMAN,512.546899973109,"[93, 71]"
KOTA PAYAKUMBUH,584.125621666748,"[93, 71, 72]"
KOTA SAWAHLUNTO,580.5708518463974,"[93, 71, 73]"
KOTA SOLOK,595.0149237066744,"[93, 71, 73, 74]"
KAB. BENGKALIS,862.1967170475037,"[93, 71, 73, 74, 75]"
KAB. INDRAGIRI HILIR,1046.5020635404908,"[93, 108, 79, 78, 77, 76]"
KAB. INDRAGIRI HULU,941.6913955210889,"[93, 108, 79, 78, 77]"
KAB. KAMPAR,785.4576485478854,"[93, 108, 79, 78]"
KAB. KEPULAUAN MERANTI,597.1836183473588,"[93, 108, 79]"
KAB. KUANTAN SINGINGI,699.1518008393389,"[93, 71, 73, 74, 80]"
KAB. PELALAWAN,803.3321956704228,"[93, 71, 73, 74, 80, 81]"
KAB. ROKAN HILIR,847.0129070787627,"[93, 71, 73, 67, 82]"
KAB. ROKAN HULU,822.5281006296801,"[93, 71, 70, 69, 83]"
KAB. SIAK,757.961919911514,"[93, 71, 84]"
KOTA DUMAI,862.7851817490052,"[93, 71, 84, 85]"
KOTA PEKANBARU,990.2293151015126,"[93, 108, 125, 124, 86]"
KAB. BINTAN,690.4430635312119,"[93, 108, 88, 87]"
KAB. KARIMUN,562.3998650051346,"[93, 108, 88]"
KAB. KEPULAUAN ANAMBAS,922.817455980804,"[93, 108, 88, 89]"
KAB. LINGGA,1270.7278264138988,"[93, 92, 91, 90]"
KAB. NATUNA,616.5901177114564,"[93, 92, 91]"
KOTA BATAM,51.64790006398857,"[93, 92]"
KOTA TANJUNG PINANG,0.0,[93]
PULAU TAMBELAN KAB. BINTAN,318.70058215128927,"[93, 94]"
PEKAJANG KAB. LINGGA,646.6151802514865,"[93, 94, 95]"
PULAU SERASAN KAB. NATUNA,1216.378432711822,"[93, 94, 95, 96]"
PULAU MIDAI KAB. NATUNA,1135.445069417374,"[93, 94, 95, 97]"
PULAU LAUT KAB. NATUNA,1327.086499953293,"[93, 94, 95, 97, 98]"
KAB. BATANGHARI,740.1692736304633,"[93, 65, 64, 99]"
KAB. BUNGO,872.9411062451434,"[93, 65, 64, 99, 100]"
KAB. KERINCI,852.3804104613351,"[93, 92, 120, 101]"
KAB. MERANGIN,786.3678376078585,"[93, 92, 120, 102]"
KAB. MUARO JAMBI,718.0240128543985,"[93, 108, 107, 104, 103]"
KAB. SAROLANGUN,567.9829425973238,"[93, 108, 107, 104]"
KAB. TANJUNG JABUNG BARAT,690.0387861309613,"[93, 108, 107, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,607.7911838173504,"[93, 108, 107, 106]"
KAB. TEBO,442.8659405584816,"[93, 108, 107]"
KOTA JAMBI,296.7565423559262,"[93, 108]"
KOTA SUNGAI PENUH,548.4036413802284,"[93, 108, 109]"
KAB. BENGKULU SELATAN,858.9163128616306,"[93, 108, 109, 110]"
KAB. BENGKULU TENGAH,842.8901509616135,"[93, 108, 125, 124, 112, 111]"
KAB. BENGKULU UTARA,776.7609345038229,"[93, 108, 125, 124, 112]"
KAB. KAUR,861.0154448403215,"[93, 108, 116, 115, 114, 113]"
KAB. KEPAHIANG,740.1150671817043,"[93, 108, 116, 115, 114]"
KAB. LEBONG,667.3576940108208,"[93, 108, 116, 115]"
KAB. MUKOMUKO,564.8504567419752,"[93, 108, 116]"
KAB. REJANG LEBONG,652.2471217400621,"[93, 108, 125, 118, 117]"
KAB. SELUMA,585.8793254623057,"[93, 108, 125, 118]"
KOTA BENGKULU,643.6663456365055,"[93, 108, 125, 118, 119]"
