city,distance,through
KAB. ACEH BARAT,984.2376126650355,"[54, 53, 52, 51, 0]"
KAB. ACEH BARAT DAYA,964.270596827554,"[54, 55, 28, 20, 21, 2, 1]"
KAB. ACEH BESAR,713.9757546240236,"[54, 55, 28, 20, 21, 2]"
KAB. ACEH JAYA,790.2792279611224,"[54, 55, 28, 20, 21, 2, 3]"
KAB. ACEH SELATAN,986.5794869204093,"[54, 55, 28, 25, 26, 7, 6, 5, 4]"
KAB. ACEH SINGKIL,865.9087619798279,"[54, 55, 28, 25, 26, 7, 6, 5]"
KAB. ACEH TAMIANG,657.0250007891782,"[54, 55, 28, 25, 26, 7, 6]"
KAB. ACEH TENGAH,525.347475553401,"[54, 55, 28, 25, 26, 7]"
KAB. ACEH TENGGARA,684.1555010349824,"[54, 55, 28, 25, 26, 7, 8]"
KAB. ACEH TIMUR,775.2217047334137,"[54, 53, 52, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,708.6315706449261,"[54, 53, 52, 43, 42, 11, 10]"
KAB. BENER MERIAH,669.5103689454254,"[54, 53, 52, 43, 42, 11]"
KAB. BIREUEN,697.7574754186056,"[54, 55, 28, 25, 14, 13, 12]"
KAB. GAYO LUES,548.5503147187136,"[54, 55, 28, 25, 14, 13]"
KAB. NAGAN RAYA,451.45547763369484,"[54, 55, 28, 25, 14]"
KAB. PIDIE,573.4808397178783,"[54, 55, 28, 25, 14, 15]"
KAB. PIDIE JAYA,603.0122363504588,"[54, 55, 28, 25, 14, 15, 16]"
KAB. SIMEULUE,437.6058440466727,"[54, 55, 17]"
KOTA BANDA ACEH,769.7952142312517,"[54, 55, 17, 18]"
KOTA LANGSA,567.5226735126687,"[54, 55, 28, 20, 19]"
KOTA LHOKSEUMAWE,446.05145203229193,"[54, 55, 28, 20]"
KOTA SABANG,662.19899180097,"[54, 55, 28, 20, 21]"
KOTA SUBULUSSALAM,382.7216742946291,"[54, 55, 28, 27, 22]"
KAB. ASAHAN,393.8505230730519,"[54, 55, 28, 25, 24, 23]"
KAB. BATUBARA,351.51794527269783,"[54, 55, 28, 25, 24]"
KAB. DAIRI,210.15777385936448,"[54, 55, 28, 25]"
KAB. DELI SERDANG,288.5881660069261,"[54, 55, 28, 25, 26]"
KAB. HUMBANG HASUNDUTAN,290.12617775504987,"[54, 55, 28, 27]"
KAB. KARO,183.72673979595282,"[54, 55, 28]"
KAB. LABUHANBATU,411.6385880082144,"[54, 55, 28, 29]"
KAB. LABUHANBATU SELATAN,435.43991275558335,"[54, 55, 28, 30]"
KAB. LABUHANBATU UTARA,500.81410844237814,"[54, 55, 28, 30, 31]"
KAB. LANGKAT,738.2900105007925,"[54, 55, 28, 30, 31, 32]"
KAB. MANDAILING NATAL,599.2462459011315,"[54, 53, 52, 43, 39, 33]"
KAB. NIAS,464.3577028778419,"[54, 55, 28, 25, 49, 35, 34]"
KAB. NIAS BARAT,434.2315823789959,"[54, 55, 28, 25, 49, 35]"
KAB. NIAS SELATAN,485.4693305188607,"[54, 55, 28, 25, 49, 35, 36]"
KAB. NIAS UTARA,568.5088783022044,"[54, 55, 28, 25, 49, 35, 36, 37]"
KAB. PADANG LAWAS,469.745300743665,"[54, 55, 28, 25, 38]"
KAB. PADANG LAWAS UTARA,502.0195788190527,"[54, 53, 52, 43, 39]"
KAB. PAKPAK BHARAT,536.951392754906,"[54, 53, 52, 43, 42, 41, 40]"
KAB. SAMOSIR,472.2817805849453,"[54, 53, 52, 43, 42, 41]"
KAB. SERDANG BEDAGAI,388.05228775370796,"[54, 53, 52, 43, 42]"
KAB. SIMALUNGUN,341.1662221409208,"[54, 53, 52, 43]"
KAB. TAPANULI SELATAN,496.9169558919543,"[54, 53, 52, 43, 44]"
KAB. TAPANULI TENGAH,567.5611676185779,"[54, 53, 52, 43, 44, 45]"
KAB. TAPANULI UTARA,616.5555517700923,"[54, 53, 52, 43, 44, 45, 46]"
KAB. TOBA SAMOSIR,577.78917040806,"[54, 53, 52, 48, 47]"
KOTA BINJAI,412.98779988922826,"[54, 53, 52, 48]"
KOTA GUNUNGSITOLI,400.8603269995523,"[54, 55, 28, 25, 49]"
KOTA MEDAN,531.2633389164865,"[54, 55, 28, 25, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,496.9031333168606,"[54, 53, 52, 51]"
KOTA PEMATANGSIANTAR,317.78453600002445,"[54, 53, 52]"
KOTA SIBOLGA,177.0981412333139,"[54, 53]"
KOTA TANJUNGBALAI,0.0,[54]
KOTA TEBING TINGGI,81.73674767155825,"[54, 55]"
KAB. AGAM,491.9379788976764,"[54, 55, 56]"
KAB. DHARMASRAYA,680.752818884785,"[54, 55, 56, 57]"
KAB. KEPULAUAN MENTAWAI,752.2752480312737,"[54, 55, 28, 25, 49, 35, 36, 58]"
KAB. LIMA PULUH KOTA,796.6605000626,"[54, 55, 28, 25, 49, 35, 34, 62, 59]"
KAB. PADANG PARIAMAN,839.5471555221732,"[54, 53, 52, 43, 42, 60]"
KAB. PASAMAN,755.3591436331949,"[54, 55, 28, 25, 49, 35, 34, 62, 61]"
KAB. PASAMAN BARAT,695.7368513085063,"[54, 55, 28, 25, 49, 35, 34, 62]"
KAB. PESISIR SELATAN,770.8221600388539,"[54, 53, 66, 65, 63]"
KAB. SIJUNJUNG,725.471818919249,"[54, 53, 66, 65, 64]"
KAB. SOLOK,686.5475251349428,"[54, 53, 66, 65]"
KAB. SOLOK SELATAN,622.2146660602908,"[54, 53, 66]"
KAB. TANAH DATAR,738.2678724348003,"[54, 55, 75, 74, 73, 67]"
KOTA BUKITTINGGI,767.1407038567213,"[54, 55, 75, 74, 73, 67, 68]"
KOTA PADANG,751.0585837805355,"[54, 55, 28, 30, 70, 69]"
KOTA PADANGPANJANG,697.532992948377,"[54, 55, 28, 30, 70]"
KOTA PARIAMAN,732.896694869279,"[54, 55, 28, 30, 70, 71]"
KOTA PAYAKUMBUH,761.3206925992374,"[54, 55, 75, 74, 73, 72]"
KOTA SAWAHLUNTO,709.5619036796058,"[54, 55, 75, 74, 73]"
KOTA SOLOK,695.1178318193289,"[54, 55, 75, 74]"
KAB. BENGKALIS,427.93603847849954,"[54, 55, 75]"
KAB. INDRAGIRI HILIR,659.0324540516731,"[54, 55, 75, 76]"
KAB. INDRAGIRI HULU,651.2552145006032,"[54, 53, 78, 77]"
KAB. KAMPAR,495.02146752739964,"[54, 53, 78]"
KAB. KEPULAUAN MERANTI,683.2954977279262,"[54, 53, 78, 79]"
KAB. KUANTAN SINGINGI,799.2547089519934,"[54, 55, 75, 74, 80]"
KAB. PELALAWAN,736.8891876294201,"[54, 55, 28, 30, 81]"
KAB. ROKAN HILIR,797.4984335158489,"[54, 55, 28, 27, 22, 83, 82]"
KAB. ROKAN HULU,719.176498455666,"[54, 55, 28, 27, 22, 83]"
KAB. SIAK,597.3773396575315,"[54, 53, 78, 84]"
KOTA DUMAI,609.9413388810615,"[54, 55, 28, 27, 85]"
KOTA PEKANBARU,650.6261170340231,"[54, 55, 28, 25, 86]"
KAB. BINTAN,931.13220909248,"[54, 107, 88, 87]"
KAB. KARIMUN,803.0890105664027,"[54, 107, 88]"
KAB. KEPULAUAN ANAMBAS,1083.1449399567505,"[54, 55, 28, 27, 89]"
KAB. LINGGA,1503.7683430953437,"[54, 55, 28, 27, 89, 90]"
KAB. NATUNA,1343.2639216555167,"[54, 53, 52, 91]"
KOTA BATAM,906.0443551379612,"[54, 55, 28, 25, 24, 92]"
KOTA TANJUNG PINANG,957.6922552019498,"[54, 55, 28, 25, 24, 92, 93]"
PULAU TAMBELAN KAB. BINTAN,1235.2840817933325,"[54, 55, 28, 30, 94]"
PEKAJANG KAB. LINGGA,1404.222735972994,"[54, 55, 28, 25, 49, 35, 36, 58, 95]"
PULAU SERASAN KAB. NATUNA,1398.4593335831182,"[54, 55, 28, 29, 96]"
PULAU MIDAI KAB. NATUNA,1549.8759461787342,"[54, 55, 28, 29, 96, 97]"
PULAU LAUT KAB. NATUNA,1741.5173767146532,"[54, 55, 28, 29, 96, 97, 98]"
KAB. BATANGHARI,966.4442541454382,"[54, 55, 28, 29, 99]"
KAB. BUNGO,1035.93505801835,"[54, 55, 28, 30, 81, 101, 100]"
KAB. KERINCI,979.140595977056,"[54, 55, 28, 30, 81, 101]"
KAB. MERANGIN,950.4084714215195,"[54, 107, 106, 102]"
KAB. MUARO JAMBI,823.7702231307173,"[54, 107, 104, 103]"
KAB. SAROLANGUN,673.7291528736426,"[54, 107, 104]"
KAB. TANJUNG JABUNG BARAT,795.7849964072801,"[54, 107, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,713.5373940936693,"[54, 107, 106]"
KAB. TEBO,548.6121508348004,"[54, 107]"
KOTA JAMBI,694.7215490373559,"[54, 107, 108]"
KOTA SUNGAI PENUH,737.9085119035453,"[54, 55, 56, 109]"
KAB. BENGKULU SELATAN,1048.4211833849477,"[54, 55, 56, 109, 110]"
KAB. BENGKULU TENGAH,1071.6618975922288,"[54, 55, 75, 74, 111]"
KAB. BENGKULU UTARA,1073.1361800064685,"[54, 107, 125, 124, 112]"
KAB. KAUR,1088.4711712431472,"[54, 55, 116, 115, 114, 113]"
KAB. KEPAHIANG,967.5707935845298,"[54, 55, 116, 115, 114]"
KAB. LEBONG,894.8134204136463,"[54, 55, 116, 115]"
KAB. MUKOMUKO,792.3061831448008,"[54, 55, 116]"
KAB. REJANG LEBONG,948.6223672427078,"[54, 107, 125, 118, 117]"
KAB. SELUMA,882.2545709649514,"[54, 107, 125, 118]"
KOTA BENGKULU,940.0415911391513,"[54, 107, 125, 118, 119]"
KAB. BANYUASIN,1142.5170138831097,"[54, 122, 121, 120]"
KAB. EMPAT LAWANG,901.9378724804977,"[54, 122, 121]"
KAB. LAHAT,850.1377814835685,"[54, 122]"
KAB. MUARA ENIM,922.7777391574876,"[54, 122, 123]"
KAB. MUSI BANYUASIN,863.0267009249479,"[54, 107, 125, 124]"
KAB. MUSI RAWAS,768.5519754532264,"[54, 107, 125]"
KAB. MUSI RAWAS UTARA,821.8895875722061,"[54, 107, 125, 126]"
KAB. OGAN ILIR,1044.3347684906523,"[54, 107, 125, 126, 127]"
KAB. OGAN KOMERING ILIR,1111.8325358929094,"[54, 107, 125, 126, 127, 128]"
KAB. OGAN KOMERING ULU,1041.7969780374615,"[54, 53, 129]"
KAB. OGAN KOMERING ULU SELATAN,971.3156114562161,"[54, 107, 125, 130]"
KAB. OGAN KOMERING ULU TIMUR,1004.8558509052647,"[54, 122, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,1087.5338406403905,"[54, 134, 133, 132]"
KOTA LUBUKLINGGAU,959.6948012619255,"[54, 134, 133]"
KOTA PAGAR ALAM,867.462579193286,"[54, 134]"
KOTA PALEMBANG,1076.1377966849598,"[54, 134, 135]"
KOTA PRABUMULIH,1129.9404153428368,"[54, 138, 137, 136]"
KAB. BANGKA,876.1972014247042,"[54, 138, 137]"
KAB. BANGKA BARAT,829.0918549313329,"[54, 138]"
KAB. BANGKA SELATAN,973.7922208111186,"[54, 138, 139]"
KAB. BANGKA TENGAH,1019.7942197137514,"[54, 138, 139, 140]"
KAB. BELITUNG,1196.5571515795873,"[54, 138, 139, 140, 141]"
KAB. BELITUNG TIMUR,1241.7071655211396,"[54, 138, 139, 140, 141, 142]"
KOTA PANGKAL PINANG,1441.5829415148744,"[54, 55, 28, 27, 22, 143]"
KAB. LAMPUNG TENGAH,1216.593869156882,"[54, 53, 78, 77, 144]"
KAB. LAMPUNG UTARA,1164.140083190122,"[54, 53, 66, 145]"
KAB. LAMPUNG SELATAN,1285.3397809060798,"[54, 53, 66, 146]"
KAB. LAMPUNG BARAT,1201.1905979568912,"[54, 55, 116, 115, 147]"
KAB. LAMPUNG TIMUR,1292.0734542514472,"[54, 138, 139, 149, 148]"
KAB. MESUJI,1161.9379683418622,"[54, 138, 139, 149]"
KAB. PESAWARAN,1113.1783590590321,"[54, 107, 104, 150]"
KAB. PESISIR BARAT,1038.567146624158,"[54, 107, 151]"
KAB. PRINGSEWU,1134.1326363523108,"[54, 107, 151, 152]"
KAB. TULANG BAWANG,1101.6113046017074,"[54, 122, 123, 153]"
KAB. TULANG BAWANG BARAT,1153.7410058290207,"[54, 122, 123, 153, 154]"
KAB. TANGGAMUS,1228.6296713607685,"[54, 55, 156, 155]"
KAB. WAY KANAN,1138.9732020072609,"[54, 55, 156]"
KOTA BANDAR LAMPUNG,1166.066712482834,"[54, 107, 151, 152, 157]"
KOTA METRO,1197.4455513253497,"[54, 107, 151, 152, 157, 158]"
KAB. LEBAK,1287.127043930661,"[54, 107, 104, 159]"
KAB. PANDEGLANG,1342.664907434101,"[54, 122, 131, 160]"
KAB. SERANG,1367.1133951714637,"[54, 53, 129, 161]"
KAB. TANGERANG,1318.4124803492296,"[54, 107, 151, 162]"
KOTA CILEGON,1374.9691523142656,"[54, 107, 151, 162, 163]"
KOTA SERANG,1390.0189660679337,"[54, 53, 78, 77, 144, 164]"
KOTA TANGERANG,1445.0064997654242,"[54, 53, 78, 77, 144, 164, 165]"
KOTA TANGERANG SELATAN,1456.1096133241822,"[54, 53, 78, 77, 144, 164, 165, 166]"
KAB. BANDUNG,1532.313699563317,"[54, 107, 125, 124, 168, 167]"
KAB. BANDUNG BARAT,1499.1730633900952,"[54, 107, 125, 124, 168]"
KAB. BEKASI,1490.2579645759922,"[54, 138, 139, 149, 187, 169]"
KAB. BOGOR,1444.6971493845826,"[54, 107, 108, 194, 182, 170]"
KAB. CIAMIS,1560.9063828262265,"[54, 107, 125, 130, 172, 171]"
KAB. CIANJUR,1433.6519498018304,"[54, 107, 125, 130, 172]"
KAB. CIREBON,1593.197301370047,"[54, 107, 125, 130, 172, 173]"
KAB. GARUT,1549.9425514862978,"[54, 107, 104, 180, 181, 174]"
KAB. INDRAMAYU,1438.6814439823183,"[54, 176, 175]"
KAB. KARAWANG,1329.4564844320419,"[54, 176]"
KAB. KUNINGAN,1485.7703283500696,"[54, 176, 177]"
KAB. MAJALENGKA,1526.6383129661692,"[54, 176, 177, 178]"
KAB. PANGANDARAN,1530.5467206281287,"[54, 107, 179]"
KAB. PURWAKARTA,1378.0048073897483,"[54, 107, 104, 180]"
KAB. SUBANG,1421.8015180211082,"[54, 107, 104, 180, 181]"
KAB. SUKABUMI,1394.734276217681,"[54, 107, 108, 194, 182]"
KAB. SUMEDANG,1426.4152561026758,"[54, 107, 183]"
KAB. TASIKMALAYA,1506.5606040675682,"[54, 107, 184]"
KOTA BANDUNG,1442.6892154816064,"[54, 107, 125, 130, 185]"
KOTA BANJAR,1546.918342822912,"[54, 122, 186]"
KOTA BEKASI,1471.119602941226,"[54, 138, 139, 149, 187]"
KOTA BOGOR,1486.094828636174,"[54, 107, 189, 188]"
KOTA CIMAHI,1398.8521369077166,"[54, 107, 189]"
KOTA CIREBON,1469.6219012065221,"[54, 138, 190]"
KOTA DEPOK,1320.2677546492084,"[54, 107, 125, 191]"
KOTA SUKABUMI,1380.5624912996825,"[54, 107, 125, 191, 192]"
KOTA TASIKMALAYA,1508.1903462856849,"[54, 107, 125, 193]"
KOTA JAKARTA,1317.4100015391111,"[54, 107, 108, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,1291.3904984452934,"[54, 122, 123, 153, 195]"
KAB. BANJARNEGARA,1675.5670726606604,"[54, 107, 104, 159, 197, 196]"
KAB. BANYUMAS,1621.8394881076883,"[54, 107, 104, 159, 197]"
KAB. BATANG,1641.8795432075892,"[54, 107, 125, 198]"
KAB. BLORA,1804.997123792216,"[54, 107, 125, 198, 199]"
KAB. BOYOLALI,1756.298170796895,"[54, 176, 207, 224, 200]"
KAB. BREBES,1598.3359782227844,"[54, 107, 125, 191, 192, 201]"
KAB. CILACAP,1577.2561409701502,"[54, 107, 104, 202]"
KAB. DEMAK,1764.4588832612226,"[54, 107, 125, 226, 227, 203]"
KAB. GROBOGAN,1780.8886790878548,"[54, 107, 216, 225, 204]"
KAB. JEPARA,1831.1809293118158,"[54, 107, 125, 130, 172, 171, 205]"
KAB. KARANGANYAR,1779.1218475595579,"[54, 176, 207, 206]"
KAB. KEBUMEN,1625.5173137811275,"[54, 176, 207]"
KAB. KENDAL,1674.0245688221262,"[54, 107, 183, 208]"
KAB. KLATEN,1687.840023999182,"[54, 209]"
KAB. KUDUS,1675.9605041697005,"[54, 107, 210]"
KAB. MAGELANG,1742.3139941223396,"[54, 107, 104, 159, 211]"
KAB. PATI,1813.5229476634227,"[54, 134, 214, 213, 212]"
KAB. PEKALONGAN,1652.0560784647605,"[54, 134, 214, 213]"
KAB. PEMALANG,1631.0251217823836,"[54, 134, 214]"
KAB. PURBALINGGA,1641.8094795788584,"[54, 107, 106, 215]"
KAB. PURWOREJO,1658.215082369321,"[54, 107, 216]"
KAB. REMBANG,1805.5817628804364,"[54, 107, 125, 226, 217]"
KAB. SEMARANG,1773.39323328017,"[54, 107, 125, 191, 192, 201, 218]"
KAB. SRAGEN,1831.1108415753529,"[54, 134, 221, 220, 219]"
KAB. SUKOHARJO,1801.5143859447862,"[54, 134, 221, 220]"
KAB. TEGAL,1589.402533203559,"[54, 134, 221]"
KAB. TEMANGGUNG,1659.5350020053634,"[54, 176, 175, 222]"
KAB. WONOGIRI,1735.611704475655,"[54, 223]"
KAB. WONOSOBO,1669.0497357963413,"[54, 176, 207, 224]"
KOTA MAGELANG,1692.314205394642,"[54, 107, 216, 225]"
KOTA PEKALONGAN,1611.8356045883738,"[54, 107, 125, 226]"
KOTA SALATIGA,1716.0735886714876,"[54, 107, 125, 226, 227]"
KOTA SEMARANG,1753.0783335802337,"[54, 107, 125, 226, 227, 228]"
KOTA SURAKARTA,1792.7323262004143,"[54, 122, 123, 230, 229]"
KOTA TEGAL,1590.003353625421,"[54, 122, 123, 230]"
KAB. BANTUL,1737.818167614375,"[54, 107, 125, 231]"
KAB. GUNUNGKIDUL,1738.0382785901522,"[54, 176, 232]"
KAB. KULON PROGO,1748.1865585067958,"[54, 122, 123, 153, 233]"
KAB. SLEMAN,1763.077229653953,"[54, 107, 104, 159, 234]"
KOTA YOGYAKARTA,1770.974626131691,"[54, 107, 104, 159, 234, 235]"
KAB. BANGKALAN,1833.5816086107593,"[54, 138, 236]"
KAB. BANYUWANGI,2040.85897492292,"[54, 138, 236, 237]"
KAB. BLITAR,1905.8602675218606,"[54, 176, 207, 238]"
KAB. BOJONEGORO,1878.909281480314,"[54, 107, 104, 150, 239]"
KAB. BONDOWOSO,1982.555107409674,"[54, 241, 240]"
KAB. GRESIK,1809.989931320099,"[54, 241]"
KAB. JEMBER,1976.3904683485648,"[54, 241, 242]"
KAB. JOMBANG,1911.4571074345015,"[54, 107, 183, 243]"
KAB. KEDIRI,1909.4268408341757,"[54, 107, 125, 226, 227, 244]"
KAB. LAMONGAN,1865.8673644044206,"[54, 107, 104, 245]"
KAB. LUMAJANG,2005.693309577502,"[54, 107, 104, 245, 246]"
KAB. MADIUN,1879.4269139600256,"[54, 122, 123, 230, 248, 247]"
KAB. MAGETAN,1850.2613765853494,"[54, 122, 123, 230, 248]"
KAB. MALANG,1922.8241729547137,"[54, 209, 249]"
KAB. MOJOKERTO,1864.2409772321491,"[54, 138, 137, 252, 251, 250]"
KAB. NGANJUK,1804.1448109034202,"[54, 138, 137, 252, 251]"
KAB. NGAWI,1739.3253224639955,"[54, 138, 137, 252]"
KAB. PACITAN,1816.2316167039828,"[54, 138, 137, 252, 253]"
KAB. PAMEKASAN,2039.0653186403697,"[54, 176, 175, 222, 254]"
KAB. PASURUAN,1990.0118712576173,"[54, 176, 207, 238, 255]"
