city,distance,through
KAB. ACEH BARAT,3634.610192327682,"[471, 322, 323, 0]"
KAB. ACEH BARAT DAYA,3536.082627969461,"[471, 463, 357, 1]"
KAB. ACEH BESAR,3659.3084101434392,"[471, 20, 21, 2]"
KAB. ACEH JAYA,3717.3774036566233,"[471, 472, 346, 347, 4, 3]"
KAB. ACEH SELATAN,3466.912221896985,"[471, 472, 346, 347, 4]"
KAB. ACEH SINGKIL,3466.687432399356,"[471, 322, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,3524.4287302324265,"[471, 472, 346, 345, 321, 86, 6]"
KAB. ACEH TENGAH,3479.6590857003703,"[471, 20, 7]"
KAB. ACEH TENGGARA,3490.098486178539,"[471, 463, 363, 362, 8]"
KAB. ACEH TIMUR,3481.67487561278,"[471, 472, 346, 345, 9]"
KAB. ACEH UTARA,3539.5657593137375,"[471, 472, 346, 345, 10]"
KAB. BENER MERIAH,3564.014540099679,"[471, 472, 346, 42, 11]"
KAB. BIREUEN,3590.688859606184,"[471, 463, 13, 12]"
KAB. GAYO LUES,3441.481698906292,"[471, 463, 13]"
KAB. NAGAN RAYA,3505.0131418654123,"[471, 472, 29, 25, 14]"
KAB. PIDIE,3614.3047385127215,"[471, 472, 29, 16, 15]"
KAB. PIDIE JAYA,3584.773341880141,"[471, 472, 29, 16]"
KAB. SIMEULUE,3561.9238208334364,"[471, 322, 59, 17]"
KOTA BANDA ACEH,3756.967998310368,"[471, 472, 346, 347, 19, 18]"
KOTA LANGSA,3439.8083427442616,"[471, 472, 346, 347, 19]"
KOTA LHOKSEUMAWE,3391.3841075517075,"[471, 20]"
KOTA SABANG,3607.5316473203857,"[471, 20, 21]"
KOTA SUBULUSSALAM,3315.1230224992996,"[471, 472, 29, 27, 22]"
KAB. ASAHAN,3228.487761005548,"[471, 463, 357, 23]"
KAB. BATUBARA,3270.820338805902,"[471, 463, 357, 23, 24]"
KAB. DAIRI,3263.715438091082,"[471, 472, 29, 25]"
KAB. DELI SERDANG,3287.8557125732486,"[471, 463, 26]"
KAB. HUMBANG HASUNDUTAN,3222.52752595972,"[471, 472, 29, 27]"
KAB. KARO,3272.1358458817376,"[471, 472, 29, 28]"
KAB. LABUHANBATU,3044.223997669476,"[471, 472, 29]"
KAB. LABUHANBATU SELATAN,3095.829563125216,"[471, 472, 29, 30]"
KAB. LABUHANBATU UTARA,3161.2037588120106,"[471, 472, 29, 30, 31]"
KAB. LANGKAT,3398.679660870425,"[471, 472, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,3241.2020686326996,"[471, 322, 323, 33]"
KAB. NIAS,3317.735002942872,"[471, 322, 59, 62, 34]"
KAB. NIAS BARAT,3347.861123441718,"[471, 322, 59, 62, 34, 35]"
KAB. NIAS SELATAN,3399.098871581583,"[471, 322, 59, 62, 34, 35, 36]"
KAB. NIAS UTARA,3455.8192810069067,"[471, 472, 29, 38, 37]"
KAB. PADANG LAWAS,3186.1559121789023,"[471, 472, 29, 38]"
KAB. PADANG LAWAS UTARA,3181.5305618263924,"[471, 472, 346, 345, 321, 84, 39]"
KAB. PAKPAK BHARAT,3245.4344621107366,"[471, 40]"
KAB. SAMOSIR,3310.104074280697,"[471, 40, 41]"
KAB. SERDANG BEDAGAI,3282.5564589079613,"[471, 472, 346, 42]"
KAB. SIMALUNGUN,3261.3828125891005,"[471, 472, 346, 345, 321, 320, 43]"
KAB. TAPANULI SELATAN,3214.9103741281774,"[471, 472, 346, 347, 44]"
KAB. TAPANULI TENGAH,3204.574822176479,"[471, 472, 45]"
KAB. TAPANULI UTARA,3253.5692063279935,"[471, 472, 45, 46]"
KAB. TOBA SAMOSIR,3293.243078544698,"[471, 472, 45, 46, 47]"
KOTA BINJAI,3379.9677626192006,"[471, 472, 346, 345, 321, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,3381.2323788211615,"[471, 322, 59, 62, 34, 35, 49]"
KOTA MEDAN,3365.9005768489824,"[471, 463, 357, 23, 50]"
KOTA PADANGSIDEMPUAN,3265.0758119868974,"[471, 322, 74, 51]"
KOTA PEMATANGSIANTAR,3284.764498729997,"[471, 472, 346, 345, 321, 320, 43, 52]"
KOTA SIBOLGA,3346.6893224245014,"[471, 472, 346, 345, 321, 84, 78, 53]"
KOTA TANJUNGBALAI,3255.3694866669885,"[471, 463, 428, 54]"
KOTA TEBING TINGGI,3237.093909394951,"[471, 463, 55]"
KAB. AGAM,3115.0855724006947,"[471, 142, 57, 56]"
KAB. DHARMASRAYA,2926.270732413586,"[471, 142, 57]"
KAB. KEPULAUAN MENTAWAI,3211.580130304523,"[471, 322, 74, 73, 58]"
KAB. LIMA PULUH KOTA,2985.432205758114,"[471, 322, 59]"
KAB. PADANG PARIAMAN,3063.5346100842653,"[471, 322, 59, 60]"
KAB. PASAMAN,3028.6199226460785,"[471, 322, 59, 61]"
KAB. PASAMAN BARAT,3086.3558545122078,"[471, 322, 59, 62]"
KAB. PESISIR SELATAN,3006.3775918659485,"[471, 472, 346, 345, 63]"
KAB. SIJUNJUNG,3044.910820913555,"[471, 472, 346, 345, 65, 64]"
KAB. SOLOK,3005.986527129249,"[471, 472, 346, 345, 65]"
KAB. SOLOK SELATAN,3027.9662282906893,"[471, 463, 357, 137, 66]"
KAB. TANAH DATAR,3023.031510951205,"[471, 322, 74, 73, 67]"
KOTA BUKITTINGGI,3051.904342373126,"[471, 322, 74, 73, 67, 68]"
KOTA PADANG,3104.9242161724965,"[471, 104, 107, 69]"
KOTA PADANGPANJANG,3097.7131959902003,"[471, 322, 74, 73, 71, 70]"
KOTA PARIAMAN,3062.3494940692985,"[471, 322, 74, 73, 71]"
KOTA PAYAKUMBUH,3046.084331115642,"[471, 322, 74, 73, 72]"
KOTA SAWAHLUNTO,2994.3255421960102,"[471, 322, 74, 73]"
KOTA SOLOK,2979.8814703357334,"[471, 322, 74]"
KAB. BENGKALIS,3208.7161095232095,"[471, 334, 333, 332, 331, 330, 341, 76, 75]"
KAB. INDRAGIRI HILIR,2977.619693950036,"[471, 334, 333, 332, 331, 330, 341, 76]"
KAB. INDRAGIRI HULU,2938.079950598062,"[471, 334, 333, 332, 77]"
KAB. KAMPAR,3028.7659961304157,"[471, 472, 346, 345, 321, 84, 78]"
KAB. KEPULAUAN MERANTI,2863.896689678886,"[471, 463, 357, 79]"
KAB. KUANTAN SINGINGI,3061.599388434136,"[471, 463, 357, 79, 80]"
KAB. PELALAWAN,3083.183393647892,"[471, 142, 57, 81]"
KAB. ROKAN HILIR,3133.370700076077,"[471, 142, 82]"
KAB. ROKAN HULU,3079.5617772250052,"[471, 472, 346, 345, 321, 84, 83]"
KAB. SIAK,2926.4101240002838,"[471, 472, 346, 345, 321, 84]"
KOTA DUMAI,3031.233385837775,"[471, 472, 346, 345, 321, 84, 85]"
KOTA PEKANBARU,2960.4563782847185,"[471, 472, 346, 345, 321, 86]"
KAB. BINTAN,2774.417054641471,"[471, 334, 333, 332, 352, 353, 87]"
KAB. KARIMUN,2855.654958382133,"[471, 463, 428, 318, 88]"
KAB. KEPULAUAN ANAMBAS,2660.121416120968,"[471, 464, 445, 89]"
KAB. LINGGA,2675.4187897658526,"[471, 470, 90]"
KAB. NATUNA,2393.56651231537,"[471, 464, 371, 91]"
KOTA BATAM,2730.5403005679564,"[471, 334, 94, 93, 92]"
KOTA TANJUNG PINANG,2678.892400503968,"[471, 334, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,2360.1918183526786,"[471, 334, 94]"
PEKAJANG KAB. LINGGA,2688.106416452876,"[471, 334, 94, 95]"
PULAU SERASAN KAB. NATUNA,2267.681411917495,"[471, 322, 323, 96]"
PULAU MIDAI KAB. NATUNA,2361.731792981792,"[471, 463, 365, 97]"
PULAU LAUT KAB. NATUNA,2497.3556953590846,"[471, 463, 363, 362, 98]"
KAB. BATANGHARI,3041.042211951583,"[471, 472, 346, 345, 321, 100, 99]"
KAB. BUNGO,2908.270379336903,"[471, 472, 346, 345, 321, 100]"
KAB. KERINCI,2965.064841378197,"[471, 472, 346, 345, 321, 100, 101]"
KAB. MERANGIN,2929.9564957685106,"[471, 149, 102]"
KAB. MUARO JAMBI,2739.655893206011,"[471, 470, 138, 103]"
KAB. SAROLANGUN,2762.538686858077,"[471, 104]"
KAB. TANJUNG JABUNG BARAT,2867.230657482638,"[471, 472, 346, 347, 348, 105]"
KAB. TANJUNG JABUNG TIMUR,2843.194634745298,"[471, 463, 386, 106]"
KAB. TEBO,2887.6556888969194,"[471, 104, 107]"
KOTA JAMBI,2922.93104922128,"[471, 463, 386, 387, 449, 448, 108]"
KOTA SUNGAI PENUH,2930.124146339812,"[471, 142, 109]"
KAB. BENGKULU SELATAN,2764.6044227597677,"[471, 142, 110]"
KAB. BENGKULU TENGAH,2819.8184923030603,"[471, 111]"
KAB. BENGKULU UTARA,2885.947708760851,"[471, 111, 112]"
KAB. KAUR,2846.9069348999087,"[471, 187, 113]"
KAB. KEPAHIANG,2948.4541060845386,"[471, 472, 346, 345, 115, 114]"
KAB. LEBONG,2875.696732913655,"[471, 472, 346, 345, 115]"
KAB. MUKOMUKO,2949.1945655850186,"[471, 117, 116]"
KAB. REJANG LEBONG,2785.257656075037,"[471, 117]"
KAB. SELUMA,2851.6254523527937,"[471, 117, 118]"
KOTA BENGKULU,2909.4124725269935,"[471, 117, 118, 119]"
KAB. BANYUASIN,2702.056694880316,"[471, 153, 120]"
KAB. EMPAT LAWANG,2777.46460545084,"[471, 149, 121]"
KAB. LAHAT,2746.229292984985,"[471, 153, 123, 122]"
KAB. MUARA ENIM,2673.589335311066,"[471, 153, 123]"
KAB. MUSI BANYUASIN,2756.224709641382,"[471, 334, 333, 332, 124]"
KAB. MUSI RAWAS,2850.3159840400212,"[471, 400, 125]"
KAB. MUSI RAWAS UTARA,2847.4548465178113,"[471, 142, 141, 140, 128, 127, 126]"
KAB. OGAN ILIR,2625.0096655993652,"[471, 142, 141, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,2557.511898197108,"[471, 142, 141, 140, 128]"
KAB. OGAN KOMERING ULU,2706.319032068969,"[471, 142, 141, 140, 128, 129]"
KAB. OGAN KOMERING ULU SELATAN,2675.7689330582925,"[471, 142, 130]"
KAB. OGAN KOMERING ULU TIMUR,2739.023015407075,"[471, 334, 333, 332, 352, 353, 135, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,2726.14875668828,"[471, 322, 132]"
KOTA LUBUKLINGGAU,2853.987796066745,"[471, 322, 132, 133]"
KOTA PAGAR ALAM,2843.7250094808815,"[471, 463, 134]"
KOTA PALEMBANG,2641.0594999031555,"[471, 334, 333, 332, 352, 353, 135]"
KOTA PRABUMULIH,2718.1068576896223,"[471, 334, 333, 332, 352, 353, 135, 136]"
KAB. BANGKA,2506.336203588569,"[471, 463, 357, 137]"
KAB. BANGKA BARAT,2550.3172250169205,"[471, 470, 138]"
KAB. BANGKA SELATAN,2443.057984986863,"[471, 142, 141, 140, 139]"
KAB. BANGKA TENGAH,2397.0559860842304,"[471, 142, 141, 140]"
KAB. BELITUNG,2220.2930542183944,"[471, 142, 141]"
KAB. BELITUNG TIMUR,2175.143040276842,"[471, 142]"
KOTA PANGKAL PINANG,2414.633294975434,"[471, 142, 143]"
KAB. LAMPUNG TENGAH,2555.612931514389,"[471, 142, 144]"
KAB. LAMPUNG UTARA,2617.789646815957,"[471, 142, 144, 145]"
KAB. LAMPUNG SELATAN,2632.7740165354744,"[471, 334, 333, 332, 352, 353, 146]"
KAB. LAMPUNG BARAT,2795.828698450781,"[471, 334, 333, 332, 352, 353, 146, 147]"
KAB. LAMPUNG TIMUR,2637.859087048048,"[471, 149, 148]"
KAB. MESUJI,2507.723601138463,"[471, 149]"
KAB. PESAWARAN,2596.065480676747,"[471, 472, 346, 150]"
KAB. PESISIR BARAT,2704.1852277863245,"[471, 472, 346, 150, 151]"
KAB. PRINGSEWU,2621.25807420395,"[471, 153, 152]"
KAB. TULANG BAWANG,2494.755769866846,"[471, 153]"
KAB. TULANG BAWANG BARAT,2546.8854710941596,"[471, 153, 154]"
KAB. TANGGAMUS,2650.3370450046614,"[471, 153, 154, 155]"
KAB. WAY KANAN,2691.3761573483816,"[471, 334, 333, 332, 352, 353, 156]"
KOTA BANDAR LAMPUNG,2653.192150334473,"[471, 153, 152, 157]"
KOTA METRO,2653.2922713171647,"[471, 463, 428, 158]"
KAB. LEBAK,2594.3284104741415,"[471, 209, 226, 159]"
KAB. PANDEGLANG,2592.895412020971,"[471, 172, 160]"
KAB. SERANG,2614.796934955858,"[471, 472, 174, 161]"
KAB. TANGERANG,2571.2327349020584,"[471, 334, 333, 332, 355, 162]"
KOTA CILEGON,2544.438008195858,"[471, 400, 165, 164, 163]"
KOTA SERANG,2523.706620036581,"[471, 400, 165, 164]"
KOTA TANGERANG,2468.7190863390906,"[471, 400, 165]"
KOTA TANGERANG SELATAN,2479.8221998978483,"[471, 400, 165, 166]"
KAB. BANDUNG,2407.5470228592985,"[471, 472, 168, 167]"
KAB. BANDUNG BARAT,2374.406386686077,"[471, 472, 168]"
KAB. BEKASI,2413.2221663922933,"[471, 187, 169]"
KAB. BOGOR,2472.057727352366,"[471, 205, 170]"
KAB. CIAMIS,2294.9800280927902,"[471, 205, 171]"
KAB. CIANJUR,2413.254438478106,"[471, 172]"
KAB. CIREBON,2344.6920845331106,"[471, 243, 173]"
KAB. GARUT,2371.670439135365,"[471, 472, 174]"
KAB. INDRAMAYU,2325.560893933369,"[471, 472, 346, 175]"
KAB. KARAWANG,2434.785853483645,"[471, 472, 346, 175, 176]"
KAB. KUNINGAN,2424.01907578786,"[471, 334, 333, 332, 331, 330, 341, 177]"
KAB. MAJALENGKA,2441.2459896698656,"[471, 334, 333, 332, 217, 178]"
KAB. PANGANDARAN,2398.1378985719175,"[471, 334, 333, 332, 179]"
KAB. PURWAKARTA,2487.20464898505,"[471, 265, 180]"
KAB. SUBANG,2458.9546222339445,"[471, 265, 181]"
KAB. SUKABUMI,2508.3273199736936,"[471, 243, 183, 182]"
KAB. SUMEDANG,2397.912702958368,"[471, 243, 183]"
KAB. TASIKMALAYA,2365.580578357628,"[471, 472, 220, 184]"
KOTA BANDUNG,2441.592825815378,"[471, 209, 226, 185]"
KOTA BANJAR,2397.9605703149214,"[471, 472, 220, 219, 218, 201, 186]"
KOTA BEKASI,2394.083804757527,"[471, 187]"
KOTA BOGOR,2438.162759538328,"[471, 187, 188]"
KOTA CIMAHI,2467.297622540628,"[471, 265, 189]"
KOTA CIREBON,2403.651574039534,"[471, 463, 363, 190]"
KOTA DEPOK,2534.5819757837708,"[471, 243, 183, 191]"
KOTA SUKABUMI,2476.7476909427974,"[471, 400, 193, 192]"
KOTA TASIKMALAYA,2327.1449188306306,"[471, 400, 193]"
KOTA JAKARTA,2525.5841636447562,"[471, 400, 193, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,2593.92259953797,"[471, 400, 193, 194, 195]"
KAB. BANJARNEGARA,2248.796750806574,"[471, 265, 253, 196]"
KAB. BANYUMAS,2302.524335359546,"[471, 265, 253, 196, 197]"
KAB. BATANG,2244.917231897102,"[471, 265, 266, 267, 251, 198]"
KAB. BLORA,2179.4059398631525,"[471, 334, 335, 199]"
KAB. BOYOLALI,2151.801402812716,"[471, 400, 378, 257, 200]"
KAB. BREBES,2336.7516850785382,"[471, 472, 220, 219, 218, 201]"
KAB. CILACAP,2344.7377674010577,"[471, 205, 204, 203, 202]"
KAB. DEMAK,2135.6433119425415,"[471, 205, 204, 203]"
KAB. GROBOGAN,2094.990660290003,"[471, 205, 204]"
KAB. JEPARA,2024.7054816072007,"[471, 205]"
KAB. KARANGANYAR,2148.9244048510177,"[471, 205, 206]"
KAB. KEBUMEN,2243.6168687934032,"[471, 243, 244, 224, 207]"
KAB. KENDAL,2163.7471935746557,"[471, 209, 208]"
KAB. KLATEN,2076.0373561332517,"[471, 209]"
KAB. KUDUS,2177.282128886055,"[471, 209, 210]"
KAB. MAGELANG,2230.162410019578,"[471, 243, 244, 212, 211]"
KAB. PATI,2116.6069640079018,"[471, 243, 244, 212]"
KAB. PEKALONGAN,2242.670846098437,"[471, 205, 204, 213]"
KAB. PEMALANG,2263.7018027808135,"[471, 205, 204, 213, 214]"
KAB. PURBALINGGA,2254.184949394917,"[471, 265, 215]"
KAB. PURWOREJO,2217.6642570085364,"[471, 205, 204, 225, 216]"
KAB. REMBANG,2094.2659783566473,"[471, 334, 333, 332, 217]"
KAB. SEMARANG,2161.6944300211526,"[471, 472, 220, 219, 218]"
KAB. SRAGEN,2096.2564924468,"[471, 472, 220, 219]"
KAB. SUKOHARJO,2066.6600368162335,"[471, 472, 220]"
KAB. TEGAL,2277.6658303753256,"[471, 209, 226, 221]"
KAB. TEMANGGUNG,2254.64879392925,"[471, 400, 378, 379, 222]"
KAB. WONOGIRI,2176.884088924722,"[471, 205, 204, 223]"
KAB. WONOSOBO,2200.0844467781894,"[471, 243, 244, 224]"
KOTA MAGELANG,2183.5651339832157,"[471, 205, 204, 225]"
KOTA PEKALONGAN,2214.6680679492465,"[471, 209, 226]"
KOTA SALATIGA,2135.850536099065,"[471, 243, 244, 227]"
KOTA SEMARANG,2150.874402253667,"[471, 243, 268, 229, 228]"
KOTA SURAKARTA,2074.4725967762743,"[471, 243, 268, 229]"
KOTA TEGAL,2277.2015693512676,"[471, 243, 268, 229, 230]"
KAB. BANTUL,2166.408576413398,"[471, 470, 255, 238, 231]"
KAB. GUNUNGKIDUL,2139.3096732123045,"[471, 470, 255, 238, 232]"
KAB. KULON PROGO,2143.8550958176634,"[471, 472, 233]"
KAB. SLEMAN,2172.121363195851,"[471, 472, 233, 234]"
KOTA YOGYAKARTA,2180.0187596735886,"[471, 472, 233, 234, 235]"
KAB. BANGKALAN,1981.8383986488016,"[471, 470, 384, 383, 236]"
KAB. BANYUWANGI,2170.1356538429045,"[471, 464, 445, 444, 443, 376, 397, 237]"
KAB. BLITAR,1969.1684326156885,"[471, 470, 255, 238]"
KAB. BOJONEGORO,2066.2291359920428,"[471, 470, 255, 238, 239]"
KAB. BONDOWOSO,2163.1441489649915,"[471, 400, 378, 257, 258, 259, 240]"
KAB. GRESIK,2011.3961454681641,"[471, 400, 378, 257, 258, 241]"
KAB. JEMBER,1942.8534433676277,"[471, 470, 419, 242]"
KAB. JOMBANG,1912.8708516265424,"[471, 243]"
KAB. KEDIRI,1942.4972839363768,"[471, 243, 244]"
KAB. LAMONGAN,2016.1737755375057,"[471, 463, 408, 245]"
KAB. LUMAJANG,2051.7447900914517,"[471, 243, 244, 246]"
KAB. MADIUN,2111.5739990809047,"[471, 463, 408, 245, 247]"
KAB. MAGETAN,2140.739536455581,"[471, 463, 408, 245, 247, 248]"
KAB. MALANG,2025.5434603073331,"[471, 400, 378, 379, 394, 249]"
KAB. MOJOKERTO,2073.3876463568695,"[471, 463, 428, 391, 250]"
KAB. NGANJUK,2015.5974231878472,"[471, 265, 266, 267, 251]"
KAB. NGAWI,2080.416911627272,"[471, 265, 266, 267, 251, 252]"
KAB. PACITAN,2061.3607036889803,"[471, 265, 253]"
KAB. PAMEKASAN,1908.3400305018727,"[471, 463, 428, 254]"
KAB. PASURUAN,1885.0168288799318,"[471, 470, 255]"
KAB. PONOROGO,2038.2367394178616,"[471, 470, 255, 256]"
KAB. PROBOLINGGO,1840.5501266232372,"[471, 400, 378, 257]"
KAB. SAMPANG,1936.6769247437878,"[471, 400, 378, 257, 258]"
KAB. SIDOARJO,2015.9940363772525,"[471, 400, 378, 257, 258, 259]"
KAB. SITUBONDO,2075.1740451518936,"[471, 464, 445, 260]"
KAB. SUMENEP,1976.579120511412,"[471, 400, 274, 275, 261]"
KAB. TRENGGALEK,2012.7899786039638,"[471, 243, 262]"
KAB. TUBAN,2055.2844440653757,"[471, 334, 333, 263]"
KAB. TULUNGAGUNG,1972.5314739593332,"[471, 265, 264]"
KOTA BATU,1905.718361285896,"[471, 265]"
KOTA BLITAR,1953.04997869047,"[471, 265, 266]"
KOTA KEDIRI,1984.7629532609174,"[471, 265, 266, 267]"
KOTA MADIUN,1996.4469441955766,"[471, 243, 268]"
KOTA MALANG,2059.4002865384,"[471, 470, 419, 242, 269]"
KOTA MOJOKERTO,2118.5014920498725,"[471, 470, 419, 242, 269, 270]"
KOTA PASURUAN,2075.3990131380465,"[471, 463, 386, 385, 390, 398, 272, 271]"
KOTA PROBOLINGGO,2038.957810966102,"[471, 463, 386, 385, 390, 398, 272]"
KOTA SURABAYA,1975.6072999184098,"[471, 463, 386, 273]"
KAB. BADUNG,1718.5501007011544,"[471, 400, 274]"
KAB. BANGLI,1755.7228627472573,"[471, 400, 274, 275]"
KAB. BULELENG,1756.409340370151,"[471, 400, 378, 277, 276]"
KAB. GIANYAR,1715.784715933331,"[471, 400, 378, 277]"
KAB. JEMBRANA,1782.0219122202009,"[471, 400, 378, 277, 278]"
KAB. KARANGASEM,1804.7766984480181,"[471, 463, 386, 385, 279]"
KAB. KLUNGKUNG,1847.2442448879406,"[471, 463, 386, 385, 279, 280]"
KAB. TABANAN,1894.2574829604077,"[471, 400, 378, 379, 380, 292, 282, 281]"
KOTA DENPASAR,1864.540430653206,"[471, 400, 378, 379, 380, 292, 282]"
KAB. BIMA,1594.3893242443376,"[471, 470, 310, 283]"
KAB. DOMPU,1627.198081804799,"[471, 470, 310, 283, 284]"
KAB. LOMBOK BARAT,1668.3880822813426,"[471, 400, 378, 285]"
KAB. LOMBOK TENGAH,1687.3398993143428,"[471, 400, 378, 285, 286]"
KAB. LOMBOK TIMUR,1724.4356908988102,"[471, 400, 378, 285, 286, 287]"
