city,distance,through
KAB. ACEH BARAT,1959.9967167894636,"[98, 99, 100, 0]"
KAB. ACEH BARAT DAYA,1930.9735380990815,"[98, 97, 19, 20, 21, 2, 1]"
KAB. ACEH BESAR,1680.678695895551,"[98, 97, 19, 20, 21, 2]"
KAB. ACEH JAYA,1756.9821692326498,"[98, 97, 19, 20, 21, 2, 3]"
KAB. ACEH SELATAN,1641.8254575578749,"[98, 69, 70, 4]"
KAB. ACEH SINGKIL,1624.9946940254574,"[98, 97, 71, 72, 5]"
KAB. ACEH TAMIANG,1632.7068966882593,"[98, 97, 19, 20, 7, 6]"
KAB. ACEH TENGAH,1501.029371452482,"[98, 97, 19, 20, 7]"
KAB. ACEH TENGGARA,1659.8373969340637,"[98, 97, 19, 20, 7, 8]"
KAB. ACEH TIMUR,1795.1155686063557,"[98, 97, 19, 20, 7, 8, 9]"
KAB. ACEH UTARA,1836.4601141380006,"[98, 69, 70, 11, 10]"
KAB. BENER MERIAH,1797.3389124384998,"[98, 69, 70, 11]"
KAB. BIREUEN,1848.3340860121214,"[98, 69, 70, 11, 12]"
KAB. GAYO LUES,1699.2000391838314,"[98, 69, 70, 13]"
KAB. NAGAN RAYA,1790.6679329023748,"[98, 97, 96, 29, 25, 14]"
KAB. PIDIE,1899.9595295496838,"[98, 97, 96, 29, 16, 15]"
KAB. PIDIE JAYA,1870.4281329171033,"[98, 97, 96, 29, 16]"
KAB. SIMEULUE,1887.9934031771147,"[98, 97, 95, 58, 17]"
KOTA BANDA ACEH,1608.442827389549,"[98, 97, 19, 18]"
KOTA LANGSA,1291.2831718234427,"[98, 97, 19]"
KOTA LHOKSEUMAWE,1412.7543933038194,"[98, 97, 19, 20]"
KOTA SABANG,1628.9019330724975,"[98, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,1600.777813536262,"[98, 97, 96, 29, 27, 22]"
KAB. ASAHAN,1733.0629783417319,"[98, 97, 96, 29, 25, 24, 23]"
KAB. BATUBARA,1690.7304005413778,"[98, 97, 96, 29, 25, 24]"
KAB. DAIRI,1549.3702291280445,"[98, 97, 96, 29, 25]"
KAB. DELI SERDANG,1600.7212027463686,"[98, 69, 70, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1508.1823169966829,"[98, 97, 96, 29, 27]"
KAB. KARO,1557.7906369187003,"[98, 97, 96, 29, 28]"
KAB. LABUHANBATU,1329.8787887064386,"[98, 97, 96, 29]"
KAB. LABUHANBATU SELATAN,1364.38186800966,"[98, 69, 70, 30]"
KAB. LABUHANBATU UTARA,1429.7560636964547,"[98, 69, 70, 30, 31]"
KAB. LANGKAT,1667.2319657548692,"[98, 69, 70, 30, 31, 32]"
KAB. MANDAILING NATAL,1533.3386851898317,"[98, 97, 96, 38, 39, 33]"
KAB. NIAS,1422.4624270580762,"[98, 69, 34]"
KAB. NIAS BARAT,1452.5885475569223,"[98, 69, 34, 35]"
KAB. NIAS SELATAN,1503.8262956967872,"[98, 69, 34, 35, 36]"
KAB. NIAS UTARA,1586.865843480131,"[98, 69, 34, 35, 36, 37]"
KAB. PADANG LAWAS,1381.542533105277,"[98, 97, 96, 38]"
KAB. PADANG LAWAS UTARA,1436.1120181077529,"[98, 97, 96, 38, 39]"
KAB. PAKPAK BHARAT,1624.5705877540495,"[98, 97, 96, 38, 39, 40]"
KAB. SAMOSIR,1582.163625676736,"[98, 97, 71, 72, 41]"
KAB. SERDANG BEDAGAI,1643.851440398672,"[98, 97, 96, 38, 39, 43, 42]"
KAB. SIMALUNGUN,1596.9653747858847,"[98, 97, 96, 38, 39, 43]"
KAB. TAPANULI SELATAN,1576.639974336914,"[98, 99, 79, 44]"
KAB. TAPANULI TENGAH,1580.0358314297996,"[98, 69, 68, 67, 73, 46, 45]"
KAB. TAPANULI UTARA,1531.0414472782852,"[98, 69, 68, 67, 73, 46]"
KAB. TOBA SAMOSIR,1570.7153194949897,"[98, 69, 68, 67, 73, 46, 47]"
KOTA BINJAI,1715.5503248159848,"[98, 97, 96, 38, 39, 43, 52, 48]"
KOTA GUNUNGSITOLI,1485.959802936366,"[98, 69, 34, 35, 49]"
KOTA MEDAN,1692.3184611200613,"[98, 99, 64, 50]"
KOTA PADANGSIDEMPUAN,1477.5990752274695,"[98, 69, 68, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1620.347060926781,"[98, 97, 96, 38, 39, 43, 52]"
KOTA SIBOLGA,1697.1373697946035,"[98, 99, 64, 65, 66, 53]"
KOTA TANJUNGBALAI,1741.5173767146532,"[98, 97, 96, 29, 28, 55, 54]"
KOTA TEBING TINGGI,1659.780629043095,"[98, 97, 96, 29, 28, 55]"
KAB. AGAM,1502.50101201042,"[98, 97, 96, 323, 56]"
KAB. DHARMASRAYA,1485.6436468157613,"[98, 99, 100, 101, 81, 57]"
KAB. KEPULAUAN MENTAWAI,1332.4188076435269,"[98, 97, 95, 58]"
KAB. LIMA PULUH KOTA,1524.4453059546918,"[98, 99, 79, 61, 59]"
KAB. PADANG PARIAMAN,1567.6447638478028,"[98, 99, 79, 61, 60]"
KAB. PASAMAN,1481.2575890667272,"[98, 99, 79, 61]"
KAB. PASAMAN BARAT,1525.3900924377617,"[98, 99, 64, 63, 62]"
KAB. PESISIR SELATAN,1268.0705860804644,"[98, 99, 64, 63]"
KAB. SIJUNJUNG,1148.7636921086682,"[98, 99, 64]"
KAB. SOLOK,1187.6879858929744,"[98, 99, 64, 65]"
KAB. SOLOK SELATAN,1252.0208449676265,"[98, 99, 64, 65, 66]"
KAB. TANAH DATAR,1149.254692960834,"[98, 69, 68, 67]"
KOTA BUKITTINGGI,1120.3818615389132,"[98, 69, 68]"
KOTA PADANG,1048.7631969847077,"[98, 69]"
KOTA PADANGPANJANG,1102.2887878168663,"[98, 69, 70]"
KOTA PARIAMAN,1132.8128710481044,"[98, 97, 71]"
KOTA PAYAKUMBUH,1204.3915927417434,"[98, 97, 71, 72]"
KOTA SAWAHLUNTO,1177.9606617160287,"[98, 69, 68, 67, 73]"
KOTA SOLOK,1192.4047335763055,"[98, 69, 68, 67, 73, 74]"
KAB. BENGKALIS,1459.586526917135,"[98, 69, 68, 67, 73, 74, 75]"
KAB. INDRAGIRI HILIR,1616.07548514949,"[98, 97, 96, 323, 324, 325, 76]"
KAB. INDRAGIRI HULU,1537.390580898989,"[98, 99, 79, 78, 77]"
KAB. KAMPAR,1381.1568339257853,"[98, 99, 79, 78]"
KAB. KEPULAUAN MERANTI,1192.8828037252588,"[98, 99, 79]"
KAB. KUANTAN SINGINGI,1296.54161070897,"[98, 69, 68, 67, 73, 74, 80]"
KAB. PELALAWAN,1328.7309855814551,"[98, 99, 100, 101, 81]"
KAB. ROKAN HILIR,1348.1770399484012,"[98, 69, 83, 82]"
KAB. ROKAN HULU,1269.8551048882184,"[98, 69, 83]"
KAB. SIAK,1378.2278909865092,"[98, 97, 71, 84]"
KOTA DUMAI,1483.0511528240006,"[98, 97, 71, 84, 85]"
KOTA PEKANBARU,1590.9151315330498,"[98, 99, 87, 86]"
KAB. BINTAN,1243.9296565694087,"[98, 99, 87]"
KAB. KARIMUN,1371.972855095486,"[98, 99, 87, 88]"
KAB. KEPULAUAN ANAMBAS,1732.3904460711553,"[98, 99, 87, 88, 89]"
KAB. LINGGA,1762.9546984651563,"[98, 97, 96, 323, 138, 139, 149, 90]"
KAB. NATUNA,1943.6766176647493,"[98, 97, 95, 94, 93, 92, 91]"
KOTA BATAM,1378.7344000172814,"[98, 97, 95, 94, 93, 92]"
KOTA TANJUNG PINANG,1327.0864999532928,"[98, 97, 95, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,1008.3859178020036,"[98, 97, 95, 94]"
PEKAJANG KAB. LINGGA,680.4713197018064,"[98, 97, 95]"
PULAU SERASAN KAB. NATUNA,343.05804313153493,"[98, 97, 96]"
PULAU MIDAI KAB. NATUNA,191.64143053591891,"[98, 97]"
PULAU LAUT KAB. NATUNA,0.0,[98]
KAB. BATANGHARI,896.9132825778454,"[98, 99]"
KAB. BUNGO,1029.6851151925255,"[98, 99, 100]"
KAB. KERINCI,1086.4795772338193,"[98, 99, 100, 101]"
KAB. MERANGIN,1155.955427237731,"[98, 99, 100, 101, 102]"
KAB. MUARO JAMBI,1214.5363424168688,"[98, 97, 96, 323, 138, 103]"
KAB. SAROLANGUN,1364.5774126739436,"[98, 97, 96, 323, 138, 103, 104]"
KAB. TANJUNG JABUNG BARAT,1475.0741068791922,"[98, 99, 100, 101, 102, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,1392.8265045655812,"[98, 99, 100, 101, 102, 106]"
KAB. TEBO,1266.0317242602846,"[98, 69, 107]"
KOTA JAMBI,1412.14112246284,"[98, 69, 107, 108]"
KOTA SUNGAI PENUH,1495.6371088095557,"[98, 97, 95, 110, 109]"
KAB. BENGKULU SELATAN,1185.1244373281534,"[98, 97, 95, 110]"
KAB. BENGKULU TENGAH,1175.0081875302344,"[98, 112, 111]"
KAB. BENGKULU UTARA,1108.8789710724438,"[98, 112]"
KAB. KAUR,1308.4535177633086,"[98, 112, 113]"
KAB. KEPAHIANG,1429.3538954219257,"[98, 112, 113, 114]"
KAB. LEBONG,1371.2878706154168,"[98, 69, 116, 115]"
KAB. MUKOMUKO,1268.7806333465712,"[98, 69, 116]"
